method,seeds,task_accuracy,negative_log_likelihood,ece,complete_latency_ms_batch128,stored_bytes
single_canonical_raw,10,0.2245,4.4960394440409015,0.453084287704747,1.885858247987926,58024
d4_test_time_augmentation,10,0.22945000000000002,2.4174551890902927,0.2097905794392799,23.767104279249907,58024
direct_d4_equivariant_task_classifier,10,0.6061,1.1577627168103677,0.05890103754878777,8.795412769541144,46920
ordinary_chart_soft_moe,10,0.26965000000000006,2.082151741194088,0.09842598963899948,8.490241505205631,290816
d4_chart_soft_moe,10,0.5553,1.2570660911980966,0.07496757436559115,16.552224825136364,243700
d4_chart_hard_branch_selection,10,0.5478,1.351763916543556,0.04731475071718296,15.86058761458844,243700
inverse_transform_one_canonical_expert,10,0.65425,1.0037695395824915,0.030642559453730633,26.709220837801695,69628
inverse_transform_four_expert_average,10,0.6638,0.9752208371017884,0.03609431575439857,130.03351262304932,243700
canonicalize_pool_retransport,10,0.34064999999999995,2.127718546137299,0.25219682815718103,140.44116660952568,243700
uncertainty_weighted_retransport,10,0.35300000000000004,1.9838736923270972,0.20104376662396511,172.44499986991286,243700
abstaining_retransport,10,0.34525,2.052154601259774,0.22220610666678225,174.693808471784,243700
supplied_chart_oracle,10,0.73295,0.7124871596849456,0.031889177182267386,138.75896248500794,232096
random_chart_control,10,0.26409999999999995,4.162412115720867,0.41253433669008316,137.7415747847408,232096
wrong_group_action_control,10,0.09015,5.99762783527593,0.6399607645568429,138.36702487897128,243700
wrong_multiplication_order_control,10,0.5151,1.7070251248438946,0.08346802180686771,131.1396831413731,243700
ensemble_reference,10,0.22535,4.404657244674929,0.44529179520975964,8.082541450858116,232096
generic_low_rank_context_adapter,10,0.31325000000000003,1.9918093355229807,0.12098397180011697,4.140108567662537,121608
