group,method,target_storage_reduction,mean_student_accuracy,median_executable_bytes,median_student_latency_ms,storage_accuracy_pareto_evaluable,latency_accuracy_pareto_evaluable,latency_accuracy_pareto_optimal,storage_accuracy_pareto_optimal
D4,chart_token_student,0.25,0.98015625,5105,0.3721041139215231,True,False,False,False
D4,chart_token_student,0.5,0.954609375,4589,0.3721041139215231,True,False,False,False
D4,chart_token_student,0.75,0.790546875,4048,0.3721041139215231,True,False,False,False
D4,finite_state_chart_module,0.25,0.9990625,4759,0.4579374799504876,True,False,False,True
D4,finite_state_chart_module,0.5,0.991484375,4345,0.4579374799504876,True,False,False,False
D4,finite_state_chart_module,0.75,0.995234375,3912,0.4579374799504876,True,False,False,False
D4,low_rank_group_generators,0.25,0.9575,4759,0.5566875915974379,True,False,False,False
D4,low_rank_group_generators,0.5,0.903203125,4344,0.5566875915974379,True,False,False,False
D4,low_rank_group_generators,0.75,0.749140625,3910,0.5566875915974379,True,False,False,False
D4,ordinary_single_model_control,0.25,0.9559375,4758,0.3691875608637929,True,False,False,False
D4,ordinary_single_model_control,0.5,0.904765625,4345,0.3691875608637929,True,False,False,False
D4,ordinary_single_model_control,0.75,0.743203125,3911,0.3691875608637929,True,False,False,False
D4,pruned_structured_student,0.25,0.99921875,11702,0.4579793894663453,True,False,False,True
D4,pruned_structured_student,0.5,0.998671875,11126,0.4579793894663453,True,False,False,False
D4,pruned_structured_student,0.75,0.98078125,10106,0.4579793894663453,True,False,False,False
D4,quantized_structured_student,0.25,0.998828125,6140,0.4472085274755955,True,False,False,False
D4,quantized_structured_student,0.5,0.998203125,6029,0.4472085274755955,True,False,False,False
D4,quantized_structured_student,0.75,0.98484375,5917,0.4472085274755955,True,False,False,False
D4,shared_canonical_backbone_group_head,0.25,0.9990625,4760,0.4549585282802582,True,False,False,False
D4,shared_canonical_backbone_group_head,0.5,0.998671875,4347,0.4549585282802582,True,False,False,False
D4,shared_canonical_backbone_group_head,0.75,0.998125,3910,0.4549585282802582,True,False,False,True
D4,tensor_factorized_equivariant_head,0.25,0.998515625,4761,0.44264551252126694,True,False,False,False
D4,tensor_factorized_equivariant_head,0.5,0.998828125,4347,0.44264551252126694,True,False,False,True
D4,tensor_factorized_equivariant_head,0.75,0.99625,3910,0.44264551252126694,True,False,False,False
FashionMNIST,chart_token_student,0.25,0.229921875,29970,1.9366039196029305,True,False,False,False
FashionMNIST,chart_token_student,0.5,0.196640625,16474,1.9366039196029305,True,False,False,False
FashionMNIST,chart_token_student,0.75,0.159375,7705,1.9366039196029305,True,False,False,True
FashionMNIST,finite_state_chart_module,0.25,0.24453125,29998,1.9476250745356083,True,False,False,False
FashionMNIST,finite_state_chart_module,0.5,0.234453125,16471,1.9476250745356083,True,False,False,False
FashionMNIST,finite_state_chart_module,0.75,0.1784375,7707,1.9476250745356083,True,False,False,False
FashionMNIST,low_rank_group_generators,0.25,0.24234375,30008,2.0306664519011974,True,False,False,False
FashionMNIST,low_rank_group_generators,0.5,0.226796875,16471,2.0306664519011974,True,False,False,False
FashionMNIST,low_rank_group_generators,0.75,0.181796875,7707,2.0306664519011974,True,False,False,True
FashionMNIST,ordinary_single_model_control,0.25,0.24421875,29998,1.9242505077272654,True,False,False,False
FashionMNIST,ordinary_single_model_control,0.5,0.221484375,16471,1.9242505077272654,True,False,False,False
FashionMNIST,ordinary_single_model_control,0.75,0.163359375,7709,1.9242505077272654,True,False,False,False
FashionMNIST,pruned_structured_student,0.25,0.233984375,37421,1.9207289442420006,True,False,False,False
FashionMNIST,pruned_structured_student,0.5,0.198359375,19184,1.9207289442420006,True,False,False,False
FashionMNIST,pruned_structured_student,0.75,0.112890625,11402,1.9207289442420006,True,False,False,False
FashionMNIST,quantized_structured_student,0.25,0.24796875,12883,1.9985204562544823,True,False,False,True
FashionMNIST,quantized_structured_student,0.5,0.22375,9584,1.9985204562544823,True,False,False,True
FashionMNIST,quantized_structured_student,0.75,0.158671875,7350,1.9985204562544823,True,False,False,True
FashionMNIST,shared_canonical_backbone_group_head,0.25,0.2440625,29992,1.9499785266816616,True,False,False,False
FashionMNIST,shared_canonical_backbone_group_head,0.5,0.21796875,16470,1.9499785266816616,True,False,False,False
FashionMNIST,shared_canonical_backbone_group_head,0.75,0.16125,7708,1.9499785266816616,True,False,False,False
FashionMNIST,tensor_factorized_equivariant_head,0.25,0.24078125,29993,1.9353126408532262,True,False,False,False
FashionMNIST,tensor_factorized_equivariant_head,0.5,0.2275,16475,1.9353126408532262,True,False,False,False
FashionMNIST,tensor_factorized_equivariant_head,0.75,0.16578125,7709,1.9353126408532262,True,False,False,False
S3,chart_token_student,0.25,0.98640625,4756,0.3718954976648092,True,False,False,False
