method,task_accuracy,chart_training_examples,pareto_optimal
single_ordinary_cnn,0.2245,0,False
direct_d4_equivariant_task_cnn,0.6061,0,False
d4_test_time_augmentation,0.22945000000000002,0,False
generic_low_rank_context_adapter,0.31325000000000003,1000,False
generic_moe,0.26965000000000006,1000,False
d4_chart_soft_routing,0.5553,1000,False
hard_branch_selection,0.5478,1000,False
canonicalize_pool_retransport,0.34064999999999995,1000,False
uncertainty_weighted_retransport,0.35300000000000004,1000,False
abstaining_retransport,0.34525,1000,False
ensemble,0.22535,0,False
supplied_chart_oracle_diagnostic,0.73295,0,True
