seed,path,bytes
30,reports/tmp/chart_followup/checkpoints/zeroshot/seed_30.pt,285993
31,reports/tmp/chart_followup/checkpoints/zeroshot/seed_31.pt,285993
32,reports/tmp/chart_followup/checkpoints/zeroshot/seed_32.pt,285993
33,reports/tmp/chart_followup/checkpoints/zeroshot/seed_33.pt,286057
34,reports/tmp/chart_followup/checkpoints/zeroshot/seed_34.pt,285993
35,reports/tmp/chart_followup/checkpoints/zeroshot/seed_35.pt,285993
36,reports/tmp/chart_followup/checkpoints/zeroshot/seed_36.pt,285993
37,reports/tmp/chart_followup/checkpoints/zeroshot/seed_37.pt,286057
38,reports/tmp/chart_followup/checkpoints/zeroshot/seed_38.pt,285993
39,reports/tmp/chart_followup/checkpoints/zeroshot/seed_39.pt,285993
