setting_id,seed,method,element_role,task_accuracy,negative_log_likelihood,ece,classwise_ece,chart_accuracy,trainable_parameters,stored_parameters,stored_bytes,branch_count,complete_latency_ms_batch128,peak_process_memory_mb,peak_accelerator_memory_mb,training_time_seconds,chart_training_examples,validation_examples,calibration_examples,threshold_selection_examples,test_examples,chart_information,expert_evaluations,heldout_chart_labels_exposed_during_fitting,logits_path,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
FashionMNIST_zeroshot_seed30,30,d4_equivariant_chart_classifier,seen,0.746,0.759355148759153,0.024399837956348775,"[0.01747865827175272, 0.009460975836449675, 0.016074020499542135, 0.020002192905060535, 0.043803539661705984, 0.015480790428424148, 0.01379837216268175, 0.014031021603673446, 0.02867145975754869, 0.006503804854941201]",0.7179999947547913,17407,17407,69628,8,25.803708005696535,900.265625,1220.578125,4.889246875885874,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,d4_equivariant_chart_classifier,unseen,0.732,0.7357890739503506,0.035822076576925564,"[0.018869472676587184, 0.006268750965195533, 0.01867762064272459, 0.013630144385805289, 0.050031615747762374, 0.021761324823220577, 0.017495998222580855, 0.017651477829361446, 0.025669180630264705, 0.009231983397271706]",0.7200000286102295,17407,17407,69628,8,25.803708005696535,900.265625,1220.578125,4.889246875885874,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,capacity_matched_ordinary_chart_classifier,seen,0.738,0.8101531842411671,0.025774954862545163,"[0.019863164122266706, 0.011042061100749642, 0.017777787107982706, 0.0190750536612336, 0.047004403969445, 0.019167412959386912, 0.012558357353099498, 0.013760027801794276, 0.03499573912733189, 0.005024656278810191]",0.7770000100135803,20968,20968,83872,8,20.681458991020918,900.265625,1220.578125,1.6129769589751959,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,capacity_matched_ordinary_chart_classifier,unseen,0.285,2.5800898316480443,0.27499196592855035,"[0.09976046076860481, 0.018251881432365374, 0.04658291724648573, 0.1169518989456739, 0.08806113210385245, 0.048767500123712955, 0.07498770771228365, 0.09355910034733135, 0.12256966813373263, 0.08956210215192467]",0.0,20968,20968,83872,8,20.681458991020918,900.265625,1220.578125,1.6129769589751959,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,augmentation_trained_ordinary_chart_classifier,seen,0.751,0.8017724335372592,0.0231505496361647,"[0.01610023497272485, 0.012325114573850347, 0.01596448957298717, 0.02274861158138228, 0.047873475665866395, 0.018142451824771845, 0.014955468351855645, 0.013583759603189872, 0.034242118752905885, 0.007877327021988427]",0.7419999837875366,24274,24274,97096,8,27.683999855071306,900.265625,1220.578125,1.6540097929537296,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,augmentation_trained_ordinary_chart_classifier,unseen,0.311,2.492775638480988,0.2524794508034406,"[0.10281296244486376, 0.014941779403877822, 0.04249666530143646, 0.12220963314924298, 0.08806705097178393, 0.04784165516001286, 0.08501032259110841, 0.09933646802780524, 0.09252176983386408, 0.0915496594619387]",0.0,24274,24274,97096,8,27.683999855071306,900.265625,1220.578125,1.6540097929537296,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,learned_multiplication_table_model,seen,0.758,0.723829193219319,0.02175728295545293,"[0.019369193943883905, 0.007960366187143738, 0.020173438681835267, 0.017574185207201817, 0.0402222651857102, 0.019451850501556716, 0.009753666237963402, 0.013433545731096423, 0.02373836814459352, 0.006447011219150579]",0.7260000109672546,17920,17920,71680,8,30.78533406369388,900.265625,1220.578125,4.853765666950494,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,learned_multiplication_table_model,unseen,0.735,0.7176365989655676,0.034273849715973824,"[0.014234405810014603, 0.006121985222903322, 0.01935996936091781, 0.010657959454577426, 0.048504857848733325, 0.018639978469947673, 0.015265610733173991, 0.01831415715447352, 0.018799159692241923, 0.007090956537652167]",0.7289999723434448,17920,17920,71680,8,30.78533406369388,900.265625,1220.578125,4.853765666950494,1000,500,500,0,1000,inferred,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,d4_equivariant_task_classifier,seen,0.643,1.0730154833301995,0.09753194680116269,"[0.034202324396333535, 0.03614231262375386, 0.01788173804656314, 0.044306665844467984, 0.02269078608082879, 0.022906119332438316, 0.04581000590629865, 0.0263899714474131, 0.02988831708435659, 0.038452295552432667]",,11730,11730,46920,8,8.881916059181094,900.265625,1220.578125,5.400498959003016,0,500,500,0,1000,none,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
FashionMNIST_zeroshot_seed30,30,d4_equivariant_task_classifier,unseen,0.655,1.0548794127571255,0.11658754650357439,"[0.02463695050021782, 0.034798199947690435, 0.03046931980403654, 0.042052005509131504, 0.023477584771982148, 0.02129720230296513, 0.033061965248331986, 0.035410587831790255, 0.0336951813572245, 0.03543870650656509]",,11730,11730,46920,8,8.881916059181094,900.265625,1220.578125,5.400498959003016,0,500,500,0,1000,none,1,False,reports/tmp/chart_followup/logits/zeroshot_seed_30.npz,c548ab24a244c0f27d35b08152e2dc38da6724762ca78e2a96d9a5832016f6a4,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,python experiments/strict_zeroshot_chart_generalization.py
