group,noise,context_budget,best_generic,mean_delta,ci_low,ci_high,n_settings
D4,0.0,16,generic_mixture_of_experts,0.19374999999999998,0.11699583333333333,0.27484583333333323,10
D4,0.0,64,generic_mixture_of_experts,0.0,0.0,0.0,10
D4,0.0,256,generic_mixture_of_experts,0.0,0.0,0.0,10
D4,0.0,1024,generic_mixture_of_experts,0.0,0.0,0.0,10
D4,0.2,16,generic_mixture_of_experts,0.2698333333333333,0.18865416666666662,0.3484229166666667,10
D4,0.2,64,generic_mixture_of_experts,0.09908333333333333,0.07083124999999998,0.1296729166666666,10
D4,0.2,256,generic_mixture_of_experts,0.04400000000000002,0.03757916666666666,0.05016666666666669,10
D4,0.2,1024,generic_mixture_of_experts,0.031000000000000007,0.02483333333333332,0.03691666666666665,10
D4,0.5,16,generic_mixture_of_experts,0.2881666666666667,0.24790208333333336,0.32833749999999995,10
D4,0.5,64,generic_mixture_of_experts,0.1936666666666667,0.16458333333333336,0.22250624999999996,10
D4,0.5,256,generic_mixture_of_experts,0.10700000000000003,0.09083333333333338,0.12308333333333332,10
D4,0.5,1024,generic_mixture_of_experts,0.07991666666666666,0.07358333333333333,0.08558541666666666,10
D4,1.0,16,generic_low_rank_context_adapter,-0.019749999999999997,-0.028835416666666665,-0.009997916666666672,10
D4,1.0,64,generic_low_rank_context_adapter,-0.016000000000000004,-0.027999999999999997,-0.005583333333333345,10
D4,1.0,256,generic_low_rank_context_adapter,-0.0205,-0.028666666666666667,-0.011666666666666669,10
D4,1.0,1024,generic_low_rank_context_adapter,-0.01558333333333333,-0.02141875,-0.009416666666666665,10
S3,0.0,16,generic_mixture_of_experts,0.13383333333333333,0.07540833333333333,0.18500208333333332,10
S3,0.0,64,generic_mixture_of_experts,0.0,0.0,0.0,10
S3,0.0,256,generic_mixture_of_experts,0.0,0.0,0.0,10
S3,0.0,1024,generic_mixture_of_experts,0.0,0.0,0.0,10
S3,0.2,16,generic_mixture_of_experts,0.23283333333333336,0.15799791666666665,0.30775,10
S3,0.2,64,generic_mixture_of_experts,0.05274999999999998,0.0418333333333333,0.06350208333333329,10
S3,0.2,256,generic_mixture_of_experts,0.02483333333333333,0.021414583333333317,0.028583333333333315,10
S3,0.2,1024,generic_mixture_of_experts,0.01958333333333333,0.015249999999999996,0.023668750000000002,10
S3,0.5,16,generic_mixture_of_experts,0.25516666666666665,0.21132708333333333,0.2961770833333333,10
S3,0.5,64,generic_mixture_of_experts,0.15224999999999997,0.11341666666666668,0.19449999999999998,10
S3,0.5,256,generic_mixture_of_experts,0.06533333333333334,0.05833333333333338,0.07375208333333334,10
S3,0.5,1024,generic_mixture_of_experts,0.05216666666666668,0.04383124999999999,0.060585416666666655,10
S3,1.0,16,generic_low_rank_context_adapter,-0.0075000000000000015,-0.013252083333333336,-0.0023333333333333344,10
S3,1.0,64,generic_low_rank_context_adapter,-0.010916666666666672,-0.022250000000000006,-0.000416666666666679,10
S3,1.0,256,generic_low_rank_context_adapter,-0.016,-0.024,-0.007916666666666669,10
S3,1.0,1024,generic_low_rank_context_adapter,-0.01,-0.02266875,0.0014999999999999985,10
