phase,setting_id,group,width,seed,noise,context_budget,evaluation_split,context_source,method,accuracy,loss,ece,context_action_accuracy,trainable_parameters,stored_parameters,branch_count,latency_ms,inference_multiplier,peak_memory_mb,candidate_count,selector_validation_budget,leakage_hash_passed,logits_sha256
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,word_length_4_5,noisy_group_element,c2m3_strict_synchronization,0.21916666666666668,2.0228279192645346,0.17826516421906866,nan,0,0,1,0.021625077351927757,1.0,123.140625,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,heldout_rs_order,noisy_group_element,c2m3_strict_synchronization,0.2850467289719626,1.9564112267892413,0.12351077807587073,nan,0,0,1,0.021625077351927757,1.0,123.265625,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,word_length_4_5,noisy_group_element,supplied_context_structured_retransport,1.0,0.9636908444386214,0.6025681691142646,nan,0,0,6,0.022042077034711838,1.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,heldout_rs_order,noisy_group_element,supplied_context_structured_retransport,1.0,0.9679886008672902,0.6041264768071105,nan,0,0,6,0.022042077034711838,1.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,word_length_4_5,noisy_group_element,twistedmerge_hodge_lr,1.0,0.9636908444386219,0.602568169114265,1.0,30,30,1,0.022042077034711838,1.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,heldout_rs_order,noisy_group_element,twistedmerge_hodge_lr,1.0,0.9679886008672908,0.6041264768071106,1.0,30,30,1,0.022042077034711838,1.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,word_length_4_5,noisy_group_element,structured_learned_router,0.8016666666666666,1.2326136556276415,0.40423483578093133,0.8016666666666666,42,42,6,0.021208077669143677,6.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,heldout_rs_order,noisy_group_element,structured_learned_router,0.6985981308411215,1.3817200021751952,0.305367709021066,0.8016666666666666,42,42,6,0.021208077669143677,6.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,word_length_4_5,noisy_group_element,generic_linear,0.1725,1.8673098017975405,0.09435830683597353,nan,234,234,1,0.018750084564089775,1.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
discovery,discovery_S3_w32_s0_n0.00_b16,S3,32,0,0.0,16,heldout_rs_order,noisy_group_element,generic_linear,0.1542056074766355,1.8872212784779916,0.11503051398296053,nan,234,234,1,0.018750084564089775,1.0,123.3125,1,0,True,a5d4903f8c6b9d04004efaef8e754bc4510247e0b998f7f4290ad9d49617651f
