phase,group,width,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
confirmation,D4,64,0.2,16,generic_mixture_of_experts,0.5068333333333334,1.984163247135303,0.35984546767699094,72.0,0.008292030543088913
confirmation,D4,64,0.2,16,learned_matrix_context_action,0.21566666666666667,1.9949189808100516,0.042415991840102446,520.0,0.008416129276156425
confirmation,D4,64,0.2,16,twistedmerge_hodge_lr,0.8279166666666666,1.3586385529596035,0.4729873969192349,56.0,0.008250470273196697
confirmation,D4,64,0.2,64,generic_mixture_of_experts,0.7120833333333334,1.9537172399816325,0.5644314394347475,72.0,0.008333590812981129
confirmation,D4,64,0.2,64,learned_matrix_context_action,0.38316666666666666,1.8474919857441439,0.08897489657648075,520.0,0.00816606916487217
confirmation,D4,64,0.2,64,twistedmerge_hodge_lr,0.8265833333333333,1.3559859621812504,0.4714061741769072,56.0,0.008167000487446785
confirmation,D4,64,0.5,16,generic_mixture_of_experts,0.26908333333333334,2.0485850538053203,0.12294318935407933,72.0,0.008062459528446198
confirmation,D4,64,0.5,16,learned_matrix_context_action,0.152,2.1322833407883666,0.07716217045690418,520.0,0.00804150477051735
confirmation,D4,64,0.5,16,twistedmerge_hodge_lr,0.5587500000000001,1.785549268654382,0.21862501710174484,56.0,0.008124974556267262
confirmation,D4,64,0.5,64,generic_mixture_of_experts,0.4021666666666667,2.0272315409862935,0.2611312863063063,72.0,0.008020433597266674
confirmation,D4,64,0.5,64,learned_matrix_context_action,0.209,2.284030573799558,0.15369954071408848,520.0,0.008082948625087738
confirmation,D4,64,0.5,64,twistedmerge_hodge_lr,0.5691666666666666,1.7634286504526446,0.22318580290546075,56.0,0.008104601874947548
confirmation,S3,64,0.2,16,generic_mixture_of_experts,0.6284166666666666,1.660018837679744,0.4234830672850471,42.0,0.02095848321914673
confirmation,S3,64,0.2,16,learned_matrix_context_action,0.33408333333333334,1.6430817607274115,0.053268465544217145,222.0,0.01929188147187233
confirmation,S3,64,0.2,16,twistedmerge_hodge_lr,0.8341666666666667,1.1632445829157418,0.41307164353547127,30.0,0.02097897231578827
confirmation,S3,64,0.2,64,generic_mixture_of_experts,0.7737499999999999,1.641194685294682,0.5705340028704703,42.0,0.02131203655153513
confirmation,S3,64,0.2,64,learned_matrix_context_action,0.4955833333333334,1.5061430221966658,0.11393084183483397,222.0,0.02166710328310728
confirmation,S3,64,0.2,64,twistedmerge_hodge_lr,0.8307499999999999,1.1599917536858426,0.4091273016268492,30.0,0.021124957129359245
confirmation,S3,64,0.5,16,generic_mixture_of_experts,0.33341666666666664,1.7474644226631155,0.14502546062161525,42.0,0.02097897231578827
confirmation,S3,64,0.5,16,learned_matrix_context_action,0.2245,1.8762469864761275,0.10121702693690508,222.0,0.019728904590010643
confirmation,S3,64,0.5,16,twistedmerge_hodge_lr,0.5775833333333333,1.5406783339741488,0.17901593568480328,30.0,0.02133287489414215
confirmation,S3,64,0.5,64,generic_mixture_of_experts,0.47058333333333335,1.7331225052994377,0.2788123502726111,42.0,0.021125073544681072
confirmation,S3,64,0.5,64,learned_matrix_context_action,0.29041666666666666,1.913810185684449,0.13303223178849072,222.0,0.021020532585680485
confirmation,S3,64,0.5,64,twistedmerge_hodge_lr,0.58825,1.5393400694264956,0.1897135285555554,30.0,0.021188054233789444
discovery,D4,32,0.0,16,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008166534826159477
discovery,D4,32,0.0,16,generic_linear,0.11975,2.128626773802715,0.07993039407707239,328.0,0.008395989425480366
discovery,D4,32,0.0,16,generic_low_rank_context_adapter,0.14541666666666667,2.488352374036773,0.22891757622099468,392.0,0.008167000487446785
discovery,D4,32,0.0,16,generic_mixture_of_experts,0.80625,1.894762992778637,0.6534743232065189,72.0,0.008083065040409565
discovery,D4,32,0.0,16,generic_two_layer_mlp,0.12425,2.23202592730398,0.14581271759924366,792.0,0.008125090971589088
discovery,D4,32,0.0,16,learned_matrix_context_action,0.29833333333333334,1.8379108998795224,0.08061923323542515,520.0,0.008083414286375046
discovery,D4,32,0.0,16,shuffled_context_control,0.13241666666666668,2.5122835657093803,0.23335937334457219,0.0,0.008082948625087738
discovery,D4,32,0.0,16,structured_learned_router,0.806,1.3827949174827634,0.44471148972600877,72.0,0.008312053978443146
discovery,D4,32,0.0,16,supplied_context_structured_retransport,1.0,1.0590482569086954,0.6345452695996907,0.0,0.008292030543088913
discovery,D4,32,0.0,16,twistedmerge_hodge_lr,1.0,1.0590482569086954,0.6345452695996908,56.0,0.00827084295451641
discovery,D4,32,0.0,64,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.00814592931419611
discovery,D4,32,0.0,64,generic_linear,0.13183333333333333,2.169924958635497,0.09508994520675487,328.0,0.008145463652908802
discovery,D4,32,0.0,64,generic_low_rank_context_adapter,0.14024999999999999,2.5217124714056043,0.239648499238998,392.0,0.008166534826159477
discovery,D4,32,0.0,64,generic_mixture_of_experts,1.0,1.8398469842207625,0.8405134814359801,72.0,0.008167000487446785
discovery,D4,32,0.0,64,generic_two_layer_mlp,0.11825000000000001,2.102094988649195,0.04789084122016695,792.0,0.008104019798338413
discovery,D4,32,0.0,64,learned_matrix_context_action,0.6958333333333333,1.33032807531049,0.37753963711750477,520.0,0.008124858140945435
discovery,D4,32,0.0,64,shuffled_context_control,0.12833333333333333,2.5193866883503175,0.23796290587960295,0.0,0.008083414286375046
discovery,D4,32,0.0,64,structured_learned_router,1.0,1.0590482569086954,0.6345452695996907,72.0,0.008291448466479778
discovery,D4,32,0.0,64,supplied_context_structured_retransport,1.0,1.0590482569086954,0.6345452695996907,0.0,0.00816606916487217
discovery,D4,32,0.0,64,twistedmerge_hodge_lr,1.0,1.0590482569086954,0.6345452695996908,56.0,0.008437433280050755
discovery,D4,32,0.0,256,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008333008736371994
