family,baseline,mean_delta,ci_low,ci_high
controlled_D4,strict_synchronization,0.6485833333333334,0.6389145833333334,0.6585833333333334
controlled_D4,low_rank_generic_router,0.683,0.6721666666666668,0.6938333333333333
controlled_S3,strict_synchronization,0.6143333333333333,0.6064145833333332,0.62166875
controlled_S3,low_rank_generic_router,0.6528333333333334,0.6457458333333332,0.6601666666666667
controlled_mu2,strict_synchronization,0.5034166666666666,0.49716666666666676,0.5092916666666667
controlled_mu2,low_rank_generic_router,0.49854166666666677,0.49254166666666677,0.5042916666666666
rotated_frame_FashionMNIST_exact,strict_synchronization,-0.0008333333333333526,-0.005499999999999949,0.0044999999999999485
rotated_frame_FashionMNIST_exact,low_rank_generic_router,0.001666666666666668,-0.0010000000000000009,0.006500000000000061
rotated_frame_FashionMNIST_noisy,strict_synchronization,0.0008333333333333156,-0.0010000000000000009,0.0034999999999999476
rotated_frame_FashionMNIST_noisy,low_rank_generic_router,0.0013333333333333346,-0.007000000000000006,0.007000000000000006
rotated_frame_MNIST_exact,strict_synchronization,-0.0018333333333333535,-0.0040000000000000036,0.0004999999999999449
rotated_frame_MNIST_exact,low_rank_generic_router,0.007333333333333303,0.0010000000000000009,0.01749999999999996
rotated_frame_MNIST_noisy,strict_synchronization,-0.0018333333333333164,-0.0030000000000000027,-0.0010000000000000009
rotated_frame_MNIST_noisy,low_rank_generic_router,0.00583333333333332,0.000500000000000056,0.015499999999999958
