setting_id,dataset,architecture,model_count,relation,seed,method,accuracy,loss,ece,merge_degradation,calibration_samples,selector_validation_samples,test_samples,training_examples_per_local_model,training_time_seconds,inference_time_seconds,trainable_parameters,stored_parameters,branch_count,peak_memory_mb,lift_activated,leakage_hash_passed,logits_sha256
MNIST_mlp_3_independent_seeds_s0,MNIST,mlp,3,independent_seeds,0,weight_average,0.755,1.1306062936782837,0.3605793729275466,0.15249999999999997,500,500,2000,5000,0.0,0.01828141720034182,0,50890,1,475.8125,False,True,9f5cb6697d475b2c47c87626477a8f0d97ae9c8e175abc90478d85c8cf281a0c
MNIST_mlp_3_independent_seeds_s0,MNIST,mlp,3,independent_seeds,0,strict_synchronization,0.908,0.3779387618564892,0.09082006673496952,-0.000500000000000056,500,500,2000,5000,0.0,0.01828141720034182,0,50890,1,475.8125,False,True,9f5cb6697d475b2c47c87626477a8f0d97ae9c8e175abc90478d85c8cf281a0c
MNIST_mlp_3_independent_seeds_s0,MNIST,mlp,3,independent_seeds,0,generic_low_rank_correction,0.8145,0.6976824338055596,0.15198398253404716,0.09299999999999997,500,500,2000,5000,0.0,0.01828141720034182,110,50890,1,475.8125,False,True,9f5cb6697d475b2c47c87626477a8f0d97ae9c8e175abc90478d85c8cf281a0c
MNIST_mlp_3_independent_seeds_s0,MNIST,mlp,3,independent_seeds,0,twistedmerge_hodge_lr,0.908,0.3779387618564892,0.09082006673496952,-0.000500000000000056,500,500,2000,5000,0.0,0.01828141720034182,110,50890,1,475.8125,False,True,9f5cb6697d475b2c47c87626477a8f0d97ae9c8e175abc90478d85c8cf281a0c
MNIST_mlp_3_independent_seeds_s0,MNIST,mlp,3,independent_seeds,0,ensemble_reference,0.9075,0.37286877632141113,0.0850998572856188,0.0,500,500,2000,5000,0.0,0.01828141720034182,0,152670,3,475.8125,False,True,9f5cb6697d475b2c47c87626477a8f0d97ae9c8e175abc90478d85c8cf281a0c
MNIST_mlp_4_independent_seeds_s0,MNIST,mlp,4,independent_seeds,0,weight_average,0.804,1.2396376132965088,0.4696195206567646,0.09999999999999998,500,500,2000,5000,0.0,0.023693751078099012,0,50890,1,475.8125,False,True,e34036e4cbe166304d7d2ebdd3db4c2341f498bb1b53b4108475cb9b28dea9a1
MNIST_mlp_4_independent_seeds_s0,MNIST,mlp,4,independent_seeds,0,strict_synchronization,0.9075,0.37690354275591625,0.08899667432800867,-0.0034999999999999476,500,500,2000,5000,0.0,0.023693751078099012,0,50890,1,475.8125,False,True,e34036e4cbe166304d7d2ebdd3db4c2341f498bb1b53b4108475cb9b28dea9a1
MNIST_mlp_4_independent_seeds_s0,MNIST,mlp,4,independent_seeds,0,generic_low_rank_correction,0.7985,0.6972592371051539,0.1227850736859788,0.10550000000000004,500,500,2000,5000,0.0,0.023693751078099012,110,50890,1,475.8125,False,True,e34036e4cbe166304d7d2ebdd3db4c2341f498bb1b53b4108475cb9b28dea9a1
MNIST_mlp_4_independent_seeds_s0,MNIST,mlp,4,independent_seeds,0,twistedmerge_hodge_lr,0.9075,0.37690354275591625,0.08899667432800867,-0.0034999999999999476,500,500,2000,5000,0.0,0.023693751078099012,110,50890,1,475.8125,False,True,e34036e4cbe166304d7d2ebdd3db4c2341f498bb1b53b4108475cb9b28dea9a1
MNIST_mlp_4_independent_seeds_s0,MNIST,mlp,4,independent_seeds,0,ensemble_reference,0.904,0.3697888255119324,0.07916362154483797,0.0,500,500,2000,5000,0.0,0.023693751078099012,0,203560,4,475.8125,False,True,e34036e4cbe166304d7d2ebdd3db4c2341f498bb1b53b4108475cb9b28dea9a1
