role,method,batch_size,accuracy,trainable_parameters,stored_parameters,latency_ms,peak_memory_mb,context_or_calibration_samples,branch_count
best_structured,twistedmerge_hodge_lr,1,0.815,30,30,0.0032919924706220627,127.859375,256,1
best_structured,twistedmerge_hodge_lr,32,0.815,30,30,0.005083158612251282,127.859375,256,1
best_structured,twistedmerge_hodge_lr,128,0.815,30,30,0.01100008375942707,127.875,256,1
best_generic_context,generic_mixture_of_experts,1,0.7841666666666667,42,42,0.0031669624149799347,127.875,256,1
best_generic_context,generic_mixture_of_experts,32,0.7841666666666667,42,42,0.004959059879183769,127.875,256,1
best_generic_context,generic_mixture_of_experts,128,0.7841666666666667,42,42,0.010875053703784943,127.875,256,1
strict_synchronization,c2m3_strict_synchronization,1,0.21916666666666668,0,0,0.0031669624149799347,127.875,0,1
strict_synchronization,c2m3_strict_synchronization,32,0.21916666666666668,0,0,0.004958128556609154,127.875,0,1
strict_synchronization,c2m3_strict_synchronization,128,0.21916666666666668,0,0,0.011084135621786118,127.875,0,1
greedy_soup,strict_synchronization,1,0.7841481481481481,27954,27954,0.003166031092405319,127.90625,0,1
greedy_soup,strict_synchronization,32,0.7841481481481481,27954,27954,0.004959059879183769,127.90625,0,1
greedy_soup,strict_synchronization,128,0.7841481481481481,27954,27954,0.01091696321964264,127.90625,0,1
best_natural_or_pretrained_baseline,strict_synchronization,1,0.7841481481481481,27954,27954,0.003166031092405319,127.921875,0,1
best_natural_or_pretrained_baseline,strict_synchronization,32,0.7841481481481481,27954,27954,0.004875008016824722,127.921875,0,1
best_natural_or_pretrained_baseline,strict_synchronization,128,0.7841481481481481,27954,27954,0.01091696321964264,127.921875,0,1
ensemble_reference,ensemble_reference,1,0.7865555555555555,98488,393952,0.0034580007195472717,127.921875,0,4
ensemble_reference,ensemble_reference,32,0.7865555555555555,98488,393952,0.010249903425574303,127.921875,0,4
ensemble_reference,ensemble_reference,128,0.7865555555555555,98488,393952,0.03283284604549408,127.96875,0,4
