setting_id,seed,method,accuracy,loss,ece,mean_task_accuracy,worst_task_accuracy,interference,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,calibration_samples,selector_validation_samples,candidate_count,hodge_selected,leakage_hash_passed,logits_sha256
cifar10_resnet18_s0,0,weight_average,0.356,2.3345839977264404,0.27702826345711945,0.3558284921220235,0.24294354838709678,0.13759259555456269,0,11191262,1,296.53099994175136,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,greedy_soup,0.4415,1.5800530910491943,0.051314878299832355,0.44241831809091864,0.3336623889437315,0.05100276958566749,0,11191262,1,279.2529580183327,954.6875,0,1000,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,c2m3_identity_synchronization,0.356,2.3345839977264404,0.27702826345711945,0.3558284921220235,0.24294354838709678,0.13759259555456269,0,11191262,1,279.909583972767,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,task_arithmetic,0.356,2.3345839977264404,0.27702826345711945,0.3558284921220235,0.24294354838709678,0.13759259555456269,0,11191262,1,278.29799987375736,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,ties,0.331,2.2193095684051514,0.30520377124845977,0.330995620131442,0.18850806451612903,0.16242546754514414,0,11191262,1,283.11795787885785,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,dare,0.219,3.1698427200317383,0.23754911337792875,0.2189265121054114,0.19254032258064516,0.27449457557117474,0,11191262,1,278.38366688229144,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,generic_low_rank_merge,0.357,2.333934783935547,0.2760018893405795,0.35683510973704013,0.2439516129032258,0.13658597793954597,0,11191262,1,280.7455000001937,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,generic_router,0.4895,1.4839924651945862,0.04262653568955596,0.49019688132737976,0.4027640671273445,0.0032242063492063516,44,44765048,4,1312.3030420392752,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,twistedmerge_exact_gauge_selector,0.4415,1.5800530910491943,0.051314878299832355,0.44241831809091864,0.3336623889437315,0.05100276958566749,0,11191262,1,279.2529580183327,954.6875,0,1000,5,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
cifar10_resnet18_s0,0,twistedmerge_hodge_lr,0.356,2.3345839977264404,0.27702826345711945,0.3558284921220235,0.24294354838709678,0.13759259555456269,0,11191262,1,296.53099994175136,954.6875,0,0,1,False,True,bb398934f3d6e280e2c890ecfa9e5cb05bb589e0e8c8b7ac2896bf77f14efbb7
