method,accuracy,worst_task_accuracy,interference,latency_ms,stored_parameters
c2m3_identity_synchronization,0.36483333333333334,0.25739247311827956,0.13540035874709777,279.909583972767,11191262.0
dare,0.19216666666666668,0.12264784946236558,0.3079896438037903,278.38366688229144,11191262.0
ensemble_reference,0.4831666666666667,0.3889437314906219,0.016064134753647905,1153.9958328939974,44765048.0
generic_low_rank_merge,0.36566666666666664,0.25705645161290325,0.13457267879862198,286.55516589060426,11191262.0
generic_router,0.48933333333333334,0.397499177360974,0.009919002700345245,1153.9958328939974,44765048.0
greedy_soup,0.43366666666666664,0.33037183283974997,0.06551330864432216,279.2529580183327,11191262.0
task_arithmetic,0.36483333333333334,0.25739247311827956,0.13540035874709777,281.5119579900056,11191262.0
ties,0.3526666666666667,0.2231182795698925,0.14750950723172215,283.8730840012431,11191262.0
twistedmerge_exact_gauge_selector,0.43366666666666664,0.33037183283974997,0.06551330864432216,279.2529580183327,11191262.0
twistedmerge_hodge_lr,0.36483333333333334,0.25739247311827956,0.13540035874709777,296.3216248899698,11191262.0
weight_average,0.36483333333333334,0.25739247311827956,0.13540035874709777,296.3216248899698,11191262.0
