dataset,architecture,n_models,width,domain_shift,matching,method,n_rows,n_unique_seeds,mean_val_midpoint_loss_barrier,mean_val_max_loss_barrier,mean_val_accuracy_drop_barrier_t05,mean_test_max_loss_barrier,pearson_cycle_vs_val_max_loss_barrier,pearson_ci_low,pearson_ci_high,claim_status,claim_supported
fashion_mnist,mlp2,3,128,input_noise,activation,c2m3_synchronized,30,30,-0.008982905000448228,0.007136491934458414,-0.012044270833333334,0.006926931689182917,-0.06643971889809629,-0.4262063286554419,0.2850968170730653,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,input_noise,activation,git_rebasin_pairwise_ref0,30,30,-0.01578210194905599,0.0009373842428127924,-0.0123046875,0.003822745382785797,-0.056560897165470476,-0.49433837146863874,0.19604459475012706,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,input_noise,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,input_noise,activation,monomial_shrinkage,30,30,-0.014713955918947856,0.0009247968594233195,-0.012760416666666666,0.004612581431865692,0.0371495608919556,-0.40875346949030994,0.29238483666995385,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,input_noise,activation,weight_average,30,30,-0.16738989402850468,0.08241708079973857,-0.07734375,0.05135399301846822,-0.034721763360809205,-0.4028107344947545,0.3704089259627854,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,none,activation,c2m3_synchronized,30,30,0.00044842114051183064,0.015991958106557527,-0.0048177083333333336,0.011874603728453318,0.17888411275221083,-0.18697009436084114,0.5071895516770315,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,none,activation,git_rebasin_pairwise_ref0,30,30,-0.0014404152830441793,0.015733343611160914,-0.0035807291666666665,0.012556788076957067,-0.1609651860509528,-0.47052100229783445,0.19567623371866746,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,none,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,none,activation,monomial_shrinkage,30,30,-0.002045222620169322,0.012388636916875839,-0.0049479166666666664,0.011648324131965638,-0.21398909700421917,-0.5115804765774391,0.1135156979171899,descriptive_barrier_target,False
fashion_mnist,mlp2,3,128,none,activation,weight_average,30,30,-0.1714706445733706,0.09928217629591624,-0.03704427083333333,0.07388351261615753,-0.2892163866623514,-0.6263297531809333,0.10598382074223103,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,input_noise,activation,c2m3_synchronized,30,30,-0.0056253028412659965,0.014154290407896042,-0.009700520833333334,0.0107869287331899,-0.0552545449268403,-0.5229963515641243,0.35085740579201424,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,input_noise,activation,git_rebasin_pairwise_ref0,30,30,-0.024296922981739043,3.8189440965652464e-05,-0.013736979166666666,0.0017446701725323994,0.31196830910734413,0.24156333397992003,0.5814462880891472,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,input_noise,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,input_noise,activation,monomial_shrinkage,30,30,-0.02253191222747167,0.00033307249347368874,-0.015559895833333334,0.0018536890546480814,0.1939726854625194,-0.13566607467687014,0.5083243619514713,descriptive_barrier_target,False
