setting_id,dataset,architecture,n_models,width,domain_shift,matching,seed,run_id,method,status,max_eval_batches,best_model_index,mean_cycle_score,max_cycle_score,nonidentity_triangle_fraction,sync_disagreement,pairwise_alignment_residual_mean,activation_assignment_similarity_mean,combined_obstruction_score,monomial_defect_score,cycle_score,meaningful,selection_indices,alignment_conditioned,val_loss_t0,val_loss_t05,val_loss_t1,val_accuracy_t0,val_accuracy_t05,val_accuracy_t1,val_midpoint_loss_barrier,val_max_loss_barrier,val_accuracy_drop_barrier_t05,val_logit_interpolation_disagreement_t05,val_t_grid_json,test_loss_t0,test_loss_t05,test_loss_t1,test_accuracy_t0,test_accuracy_t05,test_accuracy_t1,test_midpoint_loss_barrier,test_max_loss_barrier,test_accuracy_drop_barrier_t05,test_logit_interpolation_disagreement_t05,test_t_grid_json,sync_reference_model,sync_disagreement_for_path,monomial_scale_method,linear_mode_connectivity_barrier,c2m3_barrier_delta_vs_git_rebasin,c2m3_barrier_delta_vs_weight_average,monomial_barrier_delta_vs_c2m3
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3000,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,weight_average,ok,0,0,0.9100137361600648,0.9100137361600648,1.0,0.2152777777777778,0.2862329284350077,0.7039878077436393,0.6604895315621665,,0.9100137361600648,True,,False,0.4338729362487793,0.8876970138549805,1.6798113784790039,0.855,0.747,0.442,-0.16914514350891108,0.05839568996429456,-0.09850000000000003,0.158,"[0.0,0.25,0.5,0.75,1.0]",0.49133039364814757,0.9179435438156128,1.7016013671875,0.8278,0.7298,0.4298,-0.17852233660221095,0.051362715995311614,-0.10099999999999998,0.1694,"[0.0,0.25,0.5,0.75,1.0]",,,,0.015832601070403962,-0.00973635721206656,0.0425630888938906,0.009189754486083945
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3000,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,git_rebasin_pairwise_ref0,ok,0,0,0.9100137361600648,0.9100137361600648,1.0,0.2152777777777778,0.2862329284350077,0.7039878077436393,0.6604895315621665,,0.9100137361600648,True,,True,0.4338729362487793,0.507334415435791,0.589504150390625,0.855,0.834,0.8065,-0.004354127883911096,0.006096243858337402,-0.003249999999999975,0.038,"[0.0,0.25,0.5,0.75,1.0]",0.49133039364814757,0.5618108951568603,0.6444478792190552,0.8278,0.8104,0.781,-0.006078241276741059,0.0053810644507408245,-0.006000000000000005,0.0336,"[0.0,0.25,0.5,0.75,1.0]",,,,0.015832601070403962,-0.00973635721206656,0.0425630888938906,0.009189754486083945
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3000,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,c2m3_synchronized,ok,0,0,0.9100137361600648,0.9100137361600648,1.0,0.2152777777777778,0.2862329284350077,0.7039878077436393,0.6604895315621665,,0.9100137361600648,True,,True,0.43387292861938476,0.5109961090087891,0.5765893802642822,0.855,0.829,0.81,0.005764954566955582,0.015832601070403962,0.0035000000000000586,0.0425,"[0.0,0.25,0.5,0.75,1.0]",0.49133039064407347,0.5649608649253846,0.6299726763725281,0.8278,0.805,0.7868,0.004309331417083784,0.015512556886672968,0.0022999999999999687,0.0436,"[0.0,0.25,0.5,0.75,1.0]","hidden1:0,hidden2:1",0.2152777777777778,,0.015832601070403962,-0.00973635721206656,0.0425630888938906,0.009189754486083945
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3000,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,greedy_soup,ok,0,0,0.9100137361600648,0.9100137361600648,1.0,0.2152777777777778,0.2862329284350077,0.7039878077436393,0.6604895315621665,,0.9100137361600648,False,0,False,0.4338729362487793,0.4338729362487793,0.4338729362487793,0.855,0.855,0.855,0.0,0.0,0.0,0.0,"[0.0,0.25,0.5,0.75,1.0]",0.49133039364814757,0.49133039364814757,0.49133039364814757,0.8278,0.8278,0.8278,0.0,0.0,0.0,0.0,"[0.0,0.25,0.5,0.75,1.0]",,,,0.015832601070403962,-0.00973635721206656,0.0425630888938906,0.009189754486083945
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3000,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,monomial_shrinkage,ok,0,0,0.9100137361600648,0.9100137361600648,1.0,0.2152777777777778,0.2862329284350077,0.7039878077436393,0.6604895315621665,,0.9100137361600648,True,,True,0.4338729362487793,0.5074585037231445,0.5869635334014892,0.855,0.828,0.7955,-0.002959731101989771,0.006642846584320017,-0.002749999999999919,0.0295,"[0.0,0.25,0.5,0.75,1.0]",0.49133039364814757,0.5624786202430725,0.6424397422790528,0.8278,0.8056,0.7738,-0.004406447720527673,0.006049746167659853,-0.0048000000000000265,0.033,"[0.0,0.25,0.5,0.75,1.0]",,,shrinkage,0.015832601070403962,-0.00973635721206656,0.0425630888938906,0.009189754486083945
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3001,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,weight_average,ok,0,0,0.8970437559004577,0.8970437559004577,1.0,0.2122395833333333,0.2796631852785746,0.7176519426672409,0.6520557245318267,,0.8970437559004577,True,,False,0.43454388236999514,0.9041482772827149,1.6583783416748046,0.855,0.6945,0.4675,-0.14231283473968503,0.08719805574417117,-0.03325,0.2345,"[0.0,0.25,0.5,0.75,1.0]",0.4958956871986389,0.9372291757583618,1.676103968811035,0.827,0.6844,0.459,-0.14877065224647523,0.0825423867940902,-0.04139999999999999,0.2418,"[0.0,0.25,0.5,0.75,1.0]",,,,0.017847045421600316,-0.013312531471252442,0.06935101032257085,0.016141658306121798
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3001,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,git_rebasin_pairwise_ref0,ok,0,0,0.8970437559004577,0.8970437559004577,1.0,0.2122395833333333,0.2796631852785746,0.7176519426672409,0.6520557245318267,,0.8970437559004577,True,,True,0.43454388236999514,0.5062958145141602,0.5937221755981446,0.855,0.8285,0.785,-0.007837214469909703,0.004534513950347874,-0.008499999999999952,0.0365,"[0.0,0.25,0.5,0.75,1.0]",0.4958956871986389,0.5579708905696869,0.6411590596199036,0.827,0.8034,0.768,-0.010556482839584436,0.0029900060653687,-0.005900000000000016,0.0424,"[0.0,0.25,0.5,0.75,1.0]",,,,0.017847045421600316,-0.013312531471252442,0.06935101032257085,0.016141658306121798
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3001,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,c2m3_synchronized,ok,0,0,0.8970437559004577,0.8970437559004577,1.0,0.2122395833333333,0.2796631852785746,0.7176519426672409,0.6520557245318267,,0.8970437559004577,True,,True,0.43454390144348143,0.5172884006500245,0.5886933059692383,0.855,0.8295,0.8065,0.00566979694366454,0.017847045421600316,0.0012499999999999734,0.0445,"[0.0,0.25,0.5,0.75,1.0]",0.4958956841945648,0.569166678237915,0.6404156326293945,0.827,0.808,0.7848,0.001011019825935322,0.015010818064212783,-0.0020999999999999908,0.0484,"[0.0,0.25,0.5,0.75,1.0]","hidden1:1,hidden2:1",0.21223958333333331,,0.017847045421600316,-0.013312531471252442,0.06935101032257085,0.016141658306121798
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3001,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,greedy_soup,ok,0,0,0.8970437559004577,0.8970437559004577,1.0,0.2122395833333333,0.2796631852785746,0.7176519426672409,0.6520557245318267,,0.8970437559004577,False,0,False,0.43454388236999514,0.43454388236999514,0.43454388236999514,0.855,0.855,0.855,0.0,0.0,0.0,0.0,"[0.0,0.25,0.5,0.75,1.0]",0.4958956871986389,0.4958956871986389,0.4958956871986389,0.827,0.827,0.827,0.0,0.0,0.0,0.0,"[0.0,0.25,0.5,0.75,1.0]",,,,0.017847045421600316,-0.013312531471252442,0.06935101032257085,0.016141658306121798
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist,mlp2,3,128,input_noise,activation,3001,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,monomial_shrinkage,ok,0,0,0.8970437559004577,0.8970437559004577,1.0,0.2122395833333333,0.2796631852785746,0.7176519426672409,0.6520557245318267,,0.8970437559004577,True,,True,0.43454388236999514,0.49799581336975096,0.5798699626922608,0.855,0.8385,0.811,-0.009211109161377018,0.0017053871154785183,-0.00550000000000006,0.024,"[0.0,0.25,0.5,0.75,1.0]",0.4958956871986389,0.5511302033424378,0.6291681370735168,0.827,0.809,0.7804,-0.011401708793640108,5.706176757813708e-05,-0.005300000000000082,0.028,"[0.0,0.25,0.5,0.75,1.0]",,,shrinkage,0.017847045421600316,-0.013312531471252442,0.06935101032257085,0.016141658306121798
