setting_id,true_family,n_models,width,block_size,n_blocks,noise_level,seed,observed_cycle_score,observed_centrality_score,observed_scalar_finite_order_candidate,observed_detected_orders,projected_cycle_score,projected_centrality_score,spectral_connection_residual,optimized_connection_residual,optimized_improvement_over_spectral,max_connection_residual,optimized_iterations,optimized_converged,runtime_seconds,raw_calibrated_threshold,effective_threshold,numerical_floor,calibrated_acceptance_flag,strict_policy_decision,balanced_policy_decision,loose_diagnostic_policy_decision,evidence_label,expected_evidence_label,should_accept_global_gauge,false_accept,false_reject,post_projection_cycle_only_warning,diagnostic_only_no_projective_claim
exact_global_block_gauge_N3_W4_B2_Z0.0_S0,exact_global_block_gauge,3,4,2,2,0.0,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.00697700004093349,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B2_Z0.0_S0,noisy_global_block_gauge,3,4,2,2,0.0,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006785542005673051,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
edge_corrupted_global_gauge_N3_W4_B2_Z0.0_S0,edge_corrupted_global_gauge,3,4,2,2,0.0,0,1.414213562373095,1.0,False,,3.930929549614024e-16,3.4284722006755755e-16,0.3142696805273546,0.3142696805273546,0.0,1.4142135623730947,1,True,0.004870582954026759,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B2_Z0.0_S0,noncentral_block_holonomy,3,4,2,2,0.0,0,1.4142135623730951,1.0,False,,1.7135328579437533e-16,1.7135328579437533e-16,0.3142696805273548,0.3142696805273546,2.220446049250313e-16,1.414213562373095,1,True,0.004724500002339482,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B2_Z0.0_S0,scalar_block_phase_mu2,3,4,2,2,0.0,0,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,0.6696354347929158,0.5078522624318847,0.161783172361031,1.9760921937120446,6,True,0.007350792060606182,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B2_Z0.0_S0,fake_projection_trap,3,4,2,2,0.0,0,1.000005219431769,0.8660284172116685,False,1,4.496657295380722e-16,4.3574455438585623e-16,0.1576425318908154,0.1576425318626854,2.8129998330683748e-11,1.4142135623730947,4,True,0.0044621669221669436,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
learned_noncontiguous_block_positive_control_N3_W4_B2_Z0.0_S0,learned_noncontiguous_block_positive_control,3,4,2,2,0.0,0,3.753044824738785e-16,3.753044824738785e-16,False,1,3.5424326711173796e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006882208050228655,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
exact_global_block_gauge_N3_W4_B2_Z0.01_S0,exact_global_block_gauge,3,4,2,2,0.01,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006673166994005442,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B2_Z0.01_S0,noisy_global_block_gauge,3,4,2,2,0.01,0,1.4142135623730951,0.9999999999999999,False,,6.654490774829873e-16,4.955877807388978e-16,0.3142696805273547,0.3142696805273546,1.1102230246251565e-16,1.414213562373095,3,True,0.004124291939660907,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,global_gauge_consistent,True,False,False,True,False
edge_corrupted_global_gauge_N3_W4_B2_Z0.01_S0,edge_corrupted_global_gauge,3,4,2,2,0.01,0,1.414213562373095,1.0,False,,3.930929549614024e-16,3.4284722006755755e-16,0.3142696805273546,0.3142696805273546,0.0,1.4142135623730947,1,True,0.0048169170040637255,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B2_Z0.01_S0,noncentral_block_holonomy,3,4,2,2,0.01,0,1.4142135623730951,1.0,False,,1.7135328579437533e-16,1.7135328579437533e-16,0.3142696805273548,0.3142696805273546,2.220446049250313e-16,1.414213562373095,1,True,0.004493000102229416,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B2_Z0.01_S0,scalar_block_phase_mu2,3,4,2,2,0.01,0,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,0.6696354347929158,0.5078522624318847,0.161783172361031,1.9760921937120446,6,True,0.0068613330367952585,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B2_Z0.01_S0,fake_projection_trap,3,4,2,2,0.01,0,1.000005219431769,0.8660284172116685,False,1,4.496657295380722e-16,4.3574455438585623e-16,0.1576425318908154,0.1576425318626854,2.8129998330683748e-11,1.4142135623730947,4,True,0.00549708295147866,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
learned_noncontiguous_block_positive_control_N3_W4_B2_Z0.01_S0,learned_noncontiguous_block_positive_control,3,4,2,2,0.01,0,3.753044824738785e-16,3.753044824738785e-16,False,1,3.5424326711173796e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006636000005528331,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
exact_global_block_gauge_N3_W4_B2_Z0.03_S0,exact_global_block_gauge,3,4,2,2,0.03,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.0071125420508906245,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B2_Z0.03_S0,noisy_global_block_gauge,3,4,2,2,0.03,0,1.4142135623730951,1.0,False,,7.915061024374579e-16,6.360933741223264e-16,0.3142696805273548,0.31426968052735466,1.6653345369377348e-16,1.4142135623730954,3,True,0.004287666990421712,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,global_gauge_consistent,True,False,False,True,False
edge_corrupted_global_gauge_N3_W4_B2_Z0.03_S0,edge_corrupted_global_gauge,3,4,2,2,0.03,0,1.414213562373095,1.0,False,,3.930929549614024e-16,3.4284722006755755e-16,0.3142696805273546,0.3142696805273546,0.0,1.4142135623730947,1,True,0.004861333058215678,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B2_Z0.03_S0,noncentral_block_holonomy,3,4,2,2,0.03,0,1.4142135623730951,1.0,False,,1.7135328579437533e-16,1.7135328579437533e-16,0.3142696805273548,0.3142696805273546,2.220446049250313e-16,1.414213562373095,1,True,0.004549958975985646,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B2_Z0.03_S0,scalar_block_phase_mu2,3,4,2,2,0.03,0,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,0.6696354347929158,0.5078522624318847,0.161783172361031,1.9760921937120446,6,True,0.006911707925610244,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B2_Z0.03_S0,fake_projection_trap,3,4,2,2,0.03,0,1.000005219431769,0.8660284172116685,False,1,4.496657295380722e-16,4.3574455438585623e-16,0.1576425318908154,0.1576425318626854,2.8129998330683748e-11,1.4142135623730947,4,True,0.004689458059147,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
learned_noncontiguous_block_positive_control_N3_W4_B2_Z0.03_S0,learned_noncontiguous_block_positive_control,3,4,2,2,0.03,0,3.753044824738785e-16,3.753044824738785e-16,False,1,3.5424326711173796e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.00672645797021687,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
exact_global_block_gauge_N3_W4_B2_Z0.1_S0,exact_global_block_gauge,3,4,2,2,0.1,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.0067266670521348715,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B2_Z0.1_S0,noisy_global_block_gauge,3,4,2,2,0.1,0,1.4142135623730951,1.0,False,,4.754743302251262e-16,4.754743302251262e-16,0.3142696805273546,0.3142696805273546,0.0,1.4142135623730947,1,True,0.004231375060044229,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,global_gauge_consistent,True,False,False,True,False
edge_corrupted_global_gauge_N3_W4_B2_Z0.1_S0,edge_corrupted_global_gauge,3,4,2,2,0.1,0,1.414213562373095,1.0,False,,3.930929549614024e-16,3.4284722006755755e-16,0.3142696805273546,0.3142696805273546,0.0,1.4142135623730947,1,True,0.005415959050878882,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B2_Z0.1_S0,noncentral_block_holonomy,3,4,2,2,0.1,0,1.4142135623730951,1.0,False,,1.7135328579437533e-16,1.7135328579437533e-16,0.3142696805273548,0.3142696805273546,2.220446049250313e-16,1.414213562373095,1,True,0.004552166908979416,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B2_Z0.1_S0,scalar_block_phase_mu2,3,4,2,2,0.1,0,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,0.6696354347929158,0.5078522624318847,0.161783172361031,1.9760921937120446,6,True,0.006859750021249056,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B2_Z0.1_S0,fake_projection_trap,3,4,2,2,0.1,0,1.000005219431769,0.8660284172116685,False,1,4.496657295380722e-16,4.3574455438585623e-16,0.1576425318908154,0.1576425318626854,2.8129998330683748e-11,1.4142135623730947,4,True,0.004447582992725074,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
learned_noncontiguous_block_positive_control_N3_W4_B2_Z0.1_S0,learned_noncontiguous_block_positive_control,3,4,2,2,0.1,0,3.753044824738785e-16,3.753044824738785e-16,False,1,3.5424326711173796e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006672375020571053,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
exact_global_block_gauge_N3_W4_B2_Z0.2_S0,exact_global_block_gauge,3,4,2,2,0.2,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006987500004470348,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B2_Z0.2_S0,noisy_global_block_gauge,3,4,2,2,0.2,0,1.4142135623730951,1.0,False,,6.167046411140991e-16,6.167046411140991e-16,0.31426968052735477,0.3142696805273546,1.6653345369377348e-16,1.414213562373095,3,True,0.003948750090785325,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,global_gauge_consistent,True,False,False,True,False
edge_corrupted_global_gauge_N3_W4_B2_Z0.2_S0,edge_corrupted_global_gauge,3,4,2,2,0.2,0,1.414213562373095,1.0,False,,3.930929549614024e-16,3.4284722006755755e-16,0.3142696805273546,0.3142696805273546,0.0,1.4142135623730947,1,True,0.004850875004194677,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B2_Z0.2_S0,noncentral_block_holonomy,3,4,2,2,0.2,0,1.4142135623730951,1.0,False,,1.7135328579437533e-16,1.7135328579437533e-16,0.3142696805273548,0.3142696805273546,2.220446049250313e-16,1.414213562373095,1,True,0.004678791970945895,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B2_Z0.2_S0,scalar_block_phase_mu2,3,4,2,2,0.2,0,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,0.6696354347929158,0.5078522624318847,0.161783172361031,1.9760921937120446,6,True,0.006745917024090886,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B2_Z0.2_S0,fake_projection_trap,3,4,2,2,0.2,0,1.000005219431769,0.8660284172116685,False,1,4.496657295380722e-16,4.3574455438585623e-16,0.1576425318908154,0.1576425318626854,2.8129998330683748e-11,1.4142135623730947,4,True,0.0046854999382048845,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
learned_noncontiguous_block_positive_control_N3_W4_B2_Z0.2_S0,learned_noncontiguous_block_positive_control,3,4,2,2,0.2,0,3.753044824738785e-16,3.753044824738785e-16,False,1,3.5424326711173796e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006772874970920384,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
exact_global_block_gauge_N3_W4_B2_Z0.4_S0,exact_global_block_gauge,3,4,2,2,0.4,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006737458985298872,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B2_Z0.4_S0,noisy_global_block_gauge,3,4,2,2,0.4,0,1.4142135623730951,1.0000000000000002,False,,1.824739554407237e-16,1.824739554407237e-16,0.3142696805273547,0.3142696805273546,1.1102230246251565e-16,1.4142135623730947,3,True,0.0041994580533355474,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,global_gauge_consistent,True,False,False,True,False
edge_corrupted_global_gauge_N3_W4_B2_Z0.4_S0,edge_corrupted_global_gauge,3,4,2,2,0.4,0,1.4142135623730951,1.0000000000000002,False,,3.040051980673978e-16,2.354597747381978e-16,0.3142696805273551,0.3142696805273546,4.996003610813204e-16,1.414213562373095,3,True,0.0044544999254867435,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B2_Z0.4_S0,noncentral_block_holonomy,3,4,2,2,0.4,0,1.4142135623730951,1.0,False,,1.7135328579437533e-16,1.7135328579437533e-16,0.3142696805273548,0.3142696805273546,2.220446049250313e-16,1.414213562373095,1,True,0.004479042021557689,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B2_Z0.4_S0,scalar_block_phase_mu2,3,4,2,2,0.4,0,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,0.6696354347929158,0.5078522624318847,0.161783172361031,1.9760921937120446,6,True,0.006814667023718357,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B2_Z0.4_S0,fake_projection_trap,3,4,2,2,0.4,0,1.000005219431769,0.8660284172116685,False,1,4.496657295380722e-16,4.3574455438585623e-16,0.1576425318908154,0.1576425318626854,2.8129998330683748e-11,1.4142135623730947,4,True,0.004681374994106591,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
learned_noncontiguous_block_positive_control_N3_W4_B2_Z0.4_S0,learned_noncontiguous_block_positive_control,3,4,2,2,0.4,0,3.753044824738785e-16,3.753044824738785e-16,False,1,3.5424326711173796e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.0067049580393359065,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
exact_global_block_gauge_N3_W4_B2_Z0.8_S0,exact_global_block_gauge,3,4,2,2,0.8,0,3.753044824738785e-16,3.7530448247387844e-16,False,1,3.542432671117379e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.006713249953463674,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B2_Z0.8_S0,noisy_global_block_gauge,3,4,2,2,0.8,0,1.4142135623730951,1.0000000000000002,False,,3.7587242663194736e-16,3.7587242663194736e-16,0.3142696805273546,0.31426968052735454,5.551115123125783e-17,1.4142135623730947,1,True,0.004071458010002971,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,global_gauge_consistent,True,False,False,True,False
edge_corrupted_global_gauge_N3_W4_B2_Z0.8_S0,edge_corrupted_global_gauge,3,4,2,2,0.8,0,1.4142135623730951,1.0000000000000002,False,,5.063273542200977e-16,4.550423969864908e-16,0.3142696805273547,0.31426968052735466,5.551115123125783e-17,1.4142135623730947,3,True,0.004061833024024963,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B2_Z0.8_S0,noncentral_block_holonomy,3,4,2,2,0.8,0,1.4142135623730951,1.0,False,,1.7135328579437533e-16,1.7135328579437533e-16,0.3142696805273548,0.3142696805273546,2.220446049250313e-16,1.414213562373095,1,True,0.004492916981689632,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B2_Z0.8_S0,scalar_block_phase_mu2,3,4,2,2,0.8,0,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,0.6696354347929158,0.5078522624318847,0.161783172361031,1.9760921937120446,6,True,0.006991249974817038,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B2_Z0.8_S0,fake_projection_trap,3,4,2,2,0.8,0,1.000005219431769,0.8660284172116685,False,1,4.496657295380722e-16,4.3574455438585623e-16,0.1576425318908154,0.1576425318626854,2.8129998330683748e-11,1.4142135623730947,4,True,0.004642708110623062,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
learned_noncontiguous_block_positive_control_N3_W4_B2_Z0.8_S0,learned_noncontiguous_block_positive_control,3,4,2,2,0.8,0,3.753044824738785e-16,3.753044824738785e-16,False,1,3.5424326711173796e-16,2.7601537224887475e-16,2.939335939256519e-16,1.7075897344827557e-16,1.231746204773763e-16,4.77731388639464e-16,1,True,0.0066706250654533505,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
exact_global_block_gauge_N3_W4_B4_Z0.0_S0,exact_global_block_gauge,3,4,4,1,0.0,0,3.668823362175027e-16,3.1244966586024344e-16,False,1,5.464553637879835e-16,4.993091808051842e-16,5.134706851886949e-16,4.201848726555451e-16,9.328581253314976e-17,6.340177404493825e-16,1,True,0.004412667010910809,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B4_Z0.0_S0,noisy_global_block_gauge,3,4,4,1,0.0,0,3.668823362175027e-16,3.1244966586024344e-16,False,1,5.464553637879835e-16,4.993091808051842e-16,5.134706851886949e-16,4.201848726555451e-16,9.328581253314976e-17,6.340177404493825e-16,1,True,0.0038327500224113464,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
edge_corrupted_global_gauge_N3_W4_B4_Z0.0_S0,edge_corrupted_global_gauge,3,4,4,1,0.0,0,1.7288459828892448,0.8692036746394654,False,2,4.340533202489294e-16,4.1961450543926783e-16,0.5689407646233674,0.5689407646233674,0.0,1.2073109779972124,1,True,0.0036494169617071748,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
noncentral_block_holonomy_N3_W4_B4_Z0.0_S0,noncentral_block_holonomy,3,4,4,1,0.0,0,1.0,0.8660254037844386,False,1,4.9638226226352995e-16,4.838071916019661e-16,0.22222222222222252,0.22222222222222252,0.0,1.0,1,True,0.0038792500272393227,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,noncentral_block_holonomy,False,False,False,True,False
scalar_block_phase_mu2_N3_W4_B4_Z0.0_S0,scalar_block_phase_mu2,3,4,4,1,0.0,0,2.0,0.0,True,2,1.0955654529330493e-15,7.141501029839682e-16,0.7742613671033262,0.6666666668299235,0.10759470027340268,1.0000438254038322,6,True,0.003739624982699752,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,observed_scalar_projective_candidate,observed_scalar_projective_candidate,False,False,False,True,False
fake_projection_trap_N3_W4_B4_Z0.0_S0,fake_projection_trap,3,4,4,1,0.0,0,1.3942370733708134,0.999606479479769,False,1,5.88017217820637e-16,5.444818104190527e-16,0.3576883843347786,0.3576883843347786,0.0,0.5365325765021679,1,True,0.003047292004339397,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,projected_cycle_only_connection_large,False,False,False,True,False
exact_global_block_gauge_N3_W4_B4_Z0.01_S0,exact_global_block_gauge,3,4,4,1,0.01,0,3.668823362175027e-16,3.1244966586024344e-16,False,1,5.464553637879835e-16,4.993091808051842e-16,5.134706851886949e-16,4.201848726555451e-16,9.328581253314976e-17,6.340177404493825e-16,1,True,0.0038105000276118517,4.476278938830673e-16,1e-12,1e-12,True,accept,accept,uncertain,global_gauge_consistent,global_gauge_consistent,True,False,False,False,False
noisy_global_block_gauge_N3_W4_B4_Z0.01_S0,noisy_global_block_gauge,3,4,4,1,0.01,0,1.731970777453026,0.8661054172621312,False,2,6.504714792111051e-16,6.504714792111051e-16,0.5836805554716586,0.5836805554716571,1.5543122344752192e-15,1.2219729691325034,1,True,0.003890833002515137,4.476278938830673e-16,1e-12,1e-12,False,reject,reject,reject,projected_cycle_only_connection_large,global_gauge_consistent,True,False,False,True,False
