source,block_size,level,n_rows,mean_centrality_score,min_centrality_score,mean_cycle_score,fraction_block_reduces_residual,fraction_central_projective_candidates,fraction_noncentral_holonomy,mean_centrality_improvement_from_permutation_to_block,mean_pairwise_block_residual,max_pairwise_block_residual,fraction_merge_evaluated,most_common_residual_type,interpretation
real_mnist,2,block_orthogonal,50,0.9643131819878371,0.8923629550944371,1.2236990505233845,0.02,0.0,0.98,-0.005048724766703143,0.7056843945985461,1.1810343605632754,0.0,block_noncentral_holonomy,mostly noncentral holonomy
real_mnist,2,low_rank_GL,50,0.7580586172741903,0.48984095348115636,1.0114106133114595,0.0,0.0,0.12,-0.005048724766703143,0.7056843945985461,1.1810343605632754,0.0,gl_reduces_residual,diagnostic baseline/control
real_mnist,2,monomial_phase_or_scale,50,0.3993527981695011,0.24746505861180865,0.9884109294065859,0.0,0.0,1.0,-0.005048724766703143,0.7056843945985461,1.1810343605632754,0.0,noncentral_holonomy,mostly noncentral holonomy
real_mnist,2,permutation,50,0.9592644572211338,0.8660254037844385,1.2107127518905045,0.0,0.0,1.0,-0.005048724766703143,0.7056843945985461,1.1810343605632754,0.0,noncentral_permutation_holonomy,mostly noncentral holonomy
real_mnist,2,signed_permutation,50,0.9594220218371275,0.8660254037844385,1.211657813812644,0.0,0.0,1.0,-0.005048724766703143,0.7056843945985461,1.1810343605632754,0.0,signed_noncentral_holonomy,mostly noncentral holonomy
real_mnist,4,block_orthogonal,50,0.9682965026926509,0.872760352751919,1.2354590784780797,0.02,0.0,0.98,-0.009032045471517001,0.6539268830774734,1.0780390850276784,0.0,block_noncentral_holonomy,mostly noncentral holonomy
real_mnist,4,low_rank_GL,50,0.7580586172741903,0.48984095348115636,1.0114106133114595,0.0,0.0,0.12,-0.009032045471517001,0.6539268830774734,1.0780390850276784,0.0,gl_reduces_residual,diagnostic baseline/control
real_mnist,4,monomial_phase_or_scale,50,0.3993527981695011,0.24746505861180865,0.9884109294065859,0.0,0.0,1.0,-0.009032045471517001,0.6539268830774734,1.0780390850276784,0.0,noncentral_holonomy,mostly noncentral holonomy
real_mnist,4,permutation,50,0.9592644572211338,0.8660254037844385,1.2107127518905045,0.0,0.0,1.0,-0.009032045471517001,0.6539268830774734,1.0780390850276784,0.0,noncentral_permutation_holonomy,mostly noncentral holonomy
real_mnist,4,signed_permutation,50,0.9594220218371275,0.8660254037844385,1.211657813812644,0.0,0.0,1.0,-0.009032045471517001,0.6539268830774734,1.0780390850276784,0.0,signed_noncentral_holonomy,mostly noncentral holonomy
real_mnist,8,block_orthogonal,50,0.9692439938286276,0.8893842489744679,1.2380747481495984,0.02,0.0,0.98,-0.009979536607493534,0.5444382956936866,0.7808789477059257,0.0,block_noncentral_holonomy,mostly noncentral holonomy
real_mnist,8,low_rank_GL,50,0.7580586172741903,0.48984095348115636,1.0114106133114595,0.0,0.0,0.12,-0.009979536607493534,0.5444382956936866,0.7808789477059257,0.0,gl_reduces_residual,diagnostic baseline/control
real_mnist,8,monomial_phase_or_scale,50,0.3993527981695011,0.24746505861180865,0.9884109294065859,0.0,0.0,1.0,-0.009979536607493534,0.5444382956936866,0.7808789477059257,0.0,noncentral_holonomy,mostly noncentral holonomy
real_mnist,8,permutation,50,0.9592644572211338,0.8660254037844385,1.2107127518905045,0.0,0.0,1.0,-0.009979536607493534,0.5444382956936866,0.7808789477059257,0.0,noncentral_permutation_holonomy,mostly noncentral holonomy
real_mnist,8,signed_permutation,50,0.9594220218371275,0.8660254037844385,1.211657813812644,0.0,0.0,1.0,-0.009979536607493534,0.5444382956936866,0.7808789477059257,0.0,signed_noncentral_holonomy,mostly noncentral holonomy
synthetic,2,block_orthogonal,3,0.23911869696650767,0.0,0.9262788948724339,0.3333333333333333,0.3333333333333333,0.3333333333333333,,8.733013697515888e-17,3.8811981478795046e-16,0.0,block_gauge_reduces_residual,central/projective block candidates found; descriptive only
synthetic,2,low_rank_GL,3,,,,0.0,0.0,0.0,,8.733013697515888e-17,3.8811981478795046e-16,0.0,not_evaluated,not evaluated
synthetic,2,monomial_phase_or_scale,3,,,,0.0,0.0,0.0,,8.733013697515888e-17,3.8811981478795046e-16,0.0,not_evaluated,not evaluated
synthetic,2,permutation,3,,,,0.0,0.0,0.0,,8.733013697515888e-17,3.8811981478795046e-16,0.0,not_evaluated,not evaluated
synthetic,2,signed_permutation,3,,,,0.0,0.0,0.0,,8.733013697515888e-17,3.8811981478795046e-16,0.0,not_evaluated,not evaluated
