setting_id,dataset,dataset_variant,setting_role,architecture,n_models,seed,epochs,train_samples,test_samples,val_fraction,angle_degrees,coloring,individual_accuracy_mean,individual_accuracy_max,bridge_accuracy_threshold,bridge_claims_allowed,feasibility_status,parameter_count,inference_cost_units,pairwise_activation_alignment_residual,global_channel_scale_sync_residual,sync_disagreement_mean,central_projective_candidate,finite_index_candidate,non_brauer_noncentral,channel_residual_taxonomy,conv1_permutation_cycle_score,conv2_permutation_cycle_score,fc1_permutation_cycle_score,channel_permutation_cycle_score,method,val_accuracy,val_loss,accuracy,loss,selection_used_validation_only,evaluation_status,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,accuracy_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,accuracy_delta_vs_git_rebasin,validation_delta_vs_c2m3,validation_delta_vs_greedy_soup,scale_source,selected_alpha,selected_tau,selected_layer_mask,conv1_log_scale_variance,conv1_mean_abs_log_scale,conv2_log_scale_variance,conv2_mean_abs_log_scale,fc1_log_scale_variance,fc1_mean_abs_log_scale,mean_log_scale_variance,mean_abs_log_scale,soup_selected_labels,soup_ingredient_count,selector_chose,selector_challenger,selector_val_margin,selector_left_greedy
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,weight_average,0.6216666666666667,1.7774507840474447,0.6241,1.7599184894561768,True,evaluated,False,True,True,False,-0.2309,-0.2903,0.0,-0.2197,-0.21916666666666662,-0.2791666666666667,,,,,,,,,,,,,,,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,git_rebasin_channel_alignment,0.835,0.7987501653035481,0.8438,0.7595892117500305,True,evaluated,True,True,True,False,-0.011199999999999988,-0.0706,0.2197,0.0,-0.005833333333333357,-0.06583333333333341,,,,,,,,,,,,,,,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,c2m3_channel_synchronization,0.8408333333333333,0.7993181959788005,0.855,0.764395100402832,True,evaluated,True,True,True,False,0.0,-0.05940000000000001,0.2309,0.011199999999999988,0.0,-0.06000000000000005,,,,,,,,,,,,,,,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,positive_channel_scale,0.8208333333333333,0.7783118851979574,0.8255,0.7523921438217163,True,evaluated,True,True,True,False,-0.02949999999999997,-0.08889999999999998,0.20140000000000002,-0.018299999999999983,-0.020000000000000018,-0.08000000000000007,reference_raw,1.0,inf,all,1.7084501143648383,0.6708214850776697,0.07837016242159082,0.1823023799612994,0.11007301063710227,0.13835492522423573,0.6322977624745104,0.33049293008773495,,,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,shrinkage_channel_scale,0.8408333333333333,0.7993181959788005,0.855,0.764395100402832,True,evaluated,True,True,True,False,0.0,-0.05940000000000001,0.2309,0.011199999999999988,0.0,-0.06000000000000005,reference_shrinkage_validation_grid,0.0,0.5,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,global_channel_scale,0.8408333333333333,0.7993181959788005,0.855,0.764395100402832,True,evaluated,True,True,True,False,0.0,-0.05940000000000001,0.2309,0.011199999999999988,0.0,-0.06000000000000005,global_log_scale_sync_validation_grid,0.0,0.5,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,optimized_channel_scale,0.8491666666666666,0.8033823013305664,0.8595,0.7688741795539856,True,evaluated,True,True,True,False,0.0045000000000000595,-0.05489999999999995,0.23540000000000005,0.015700000000000047,0.008333333333333304,-0.05166666666666675,optimized_layer_grid_global,0.5,inf,conv1+conv2,0.3925848648373256,0.3174809673960833,0.01942902470665322,0.0907347099770504,0.0,0.0,0.13733796318132627,0.13607189245771123,,,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,greedy_soup,0.9008333333333334,0.34924787839253746,0.9144,0.2894311708927155,True,evaluated,False,True,True,True,0.05940000000000001,0.0,0.2903,0.0706,0.06000000000000005,0.0,,,,,,,,,,,,,"[""original:0""]",1.0,,,,
rotated_mnist_15deg_N3_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,3,8500,3,6000,10000,0.2,15.0,none,0.9124666666666666,0.9144,0.8,True,bridge_claims_allowed,206922,1218048,0.5720215009318458,0.1872287430519678,0.22135416666666666,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9013878188659972,0.8660254037844386,0.9921567416492215,0.9198566547665524,greedy_safe_selector,0.9008333333333334,0.34924787839253746,0.9144,0.2894311708927155,True,evaluated,False,True,True,True,0.05940000000000001,0.0,0.2903,0.0706,0.06000000000000005,0.0,,,,,,,,,,,,,,,greedy_soup,optimized_channel_scale,-0.05166666666666675,False
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,weight_average,0.5791666666666667,1.9604738171895344,0.5814,1.9484777837753295,True,evaluated,False,True,True,False,-0.2501,-0.3408,0.0,-0.22960000000000003,-0.24,-0.32833333333333325,,,,,,,,,,,,,,,,,,
