run_id,group_name,family,seed,hidden_width,input_dim,n_train,n_val,n_test,group_order,group_exponent,holonomy_element,holonomy_order,is_holonomy_central,stable_group_action,method,validation_accuracy,test_accuracy,validation_loss,test_loss,selected_by_validation,selector_no_test_leakage,ordinary_sync_residual,branch_action_residual,naive_representation_residual,invariant_pooling_residual,pre_lift_connection_residual,post_lift_connection_residual,invariant_projection_residual,parameter_multiplier,inference_multiplier,branch_count,capacity_matched_to_unlifted,capacity_matched_to_random_branch_control,is_single_model,is_extra_capacity
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.907,0.912,0.359495699158711,0.3414609235164954,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.964,0.9705,0.14491189448601224,0.11928576275134334,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.934,0.9395,0.25764642691068845,0.2375019808334555,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.944,0.9525,0.2205249204605595,0.1876967530137223,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.959,0.961,0.16368911592330845,0.15491477046524768,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.916,0.932,0.3264328192468776,0.2639888998708879,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.97,0.9715,0.12110735288456359,0.11561611394564288,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.953,0.9725,0.1857461955443553,0.11141894034868363,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.986,0.984,0.060491199055930284,0.06786442912939838,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.908,0.927,0.3543717913510952,0.2847416655978106,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
