run_id,group_name,family,seed,hidden_width,input_dim,n_train,n_val,n_test,group_order,group_exponent,holonomy_element,holonomy_order,is_holonomy_central,stable_group_action,method,validation_accuracy,test_accuracy,validation_loss,test_loss,selected_by_validation,selector_no_test_leakage,ordinary_sync_residual,branch_action_residual,naive_representation_residual,invariant_pooling_residual,pre_lift_connection_residual,post_lift_connection_residual,invariant_projection_residual,parameter_multiplier,inference_multiplier,branch_count,capacity_matched_to_unlifted,capacity_matched_to_random_branch_control,is_single_model,is_extra_capacity,selector_method,selected_method,selected_branch_lift,best_fallback_method,best_fallback_val_accuracy,best_fallback_val_loss,selector_epsilon,selector_loss_slack
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.964,0.9705,0.14491189448601224,0.11928576275134334,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.964,0.14491189448601224,0.0,0.0
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.972,0.9615,0.11352083983269887,0.15289176960652326,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.972,0.11352083983269887,0.0,0.0
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.976,0.9585,0.0989084299591769,0.16427548324349545,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.976,0.0989084299591769,0.0,0.0
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.975,0.97,0.10131432494419851,0.12114901232083247,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.975,0.10131432494419851,0.0,0.0
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.969,0.969,0.12588453091209847,0.12508096320748247,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.969,0.12588453091209847,0.0,0.0
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.965,0.9685,0.14112691656909418,0.12709209308944952,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.965,0.14112691656909418,0.0,0.0
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.961,0.969,0.15416925145670113,0.1255995022900007,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.961,0.15416925145670113,0.0,0.0
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.969,0.9665,0.12350545584458181,0.13476876346189245,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.969,0.12350545584458181,0.0,0.0
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.973,0.971,0.1089982321858837,0.11855148089391955,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.973,0.1089982321858837,0.0,0.0
S3_trivial_coboundary_W12_seed9,S3,trivial_coboundary,9,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.976,0.9675,0.09835717249909996,0.13088455235658214,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.976,0.09835717249909996,0.0,0.0
