group_name,family,method,n_runs,mean_validation_accuracy,mean_test_accuracy,mean_validation_loss,mean_test_loss,mean_naive_representation_residual,mean_invariant_pooling_residual,mean_parameter_multiplier,mean_inference_multiplier
S3,trivial_coboundary,unlifted_weight_average,150,0.92706,0.9289166666666667,0.28398285218242997,0.27686750985965136,0.0,0.0,1.0,1.0
S3,trivial_coboundary,unlifted_c2m3_sync,150,0.9746199999999999,0.9732900000000001,0.10388891280776533,0.10886185100152114,0.0,0.0,1.0,1.0
S3,trivial_coboundary,naive_regular_representation_no_pooling,150,0.9474733333333334,0.9491433333333333,0.20664835996346032,0.200335678466198,0.0,0.0,1.0,1.0
S3,trivial_coboundary,branch_regular_lift_with_invariant_pooling,150,0.9663200000000001,0.9669200000000001,0.135122240424799,0.13296945589473216,0.0,0.0,6.0,6.0
S3,trivial_coboundary,branch_orbit_lift_with_invariant_pooling,150,0.9603066666666666,0.9608433333333335,0.15797361435437732,0.1560218885602288,0.0,0.0,6.0,6.0
S3,trivial_coboundary,random_same_branch_count_control,150,0.9351799999999999,0.9335666666666664,0.2532283993217349,0.25923808005966464,0.0,0.5,6.0,6.0
S3,trivial_coboundary,oracle_true_branch_lift,150,0.9793466666666666,0.9790533333333333,0.0859518807356459,0.08704603667919829,0.0,0.0,6.0,6.0
S3,trivial_coboundary,greedy_soup,150,0.9752533333333334,0.9742333333333335,0.10134592694020181,0.10528402427716124,0.0,0.0,1.0,1.0
S3,trivial_coboundary,ensemble_upper_bound,150,0.9835600000000001,0.9832899999999999,0.06997576232596335,0.07098150669173015,0.0,0.0,1.0,1.0
S3,planted_nonabelian_holonomy,unlifted_weight_average,150,0.6096066666666666,0.6073766666666666,1.4857497405222881,1.4941968677833615,1.4142135623730954,0.0,1.0,1.0
S3,planted_nonabelian_holonomy,unlifted_c2m3_sync,150,0.6786666666666666,0.6781999999999999,1.2242217264798736,1.2258660856999706,1.4142135623730954,0.0,1.0,1.0
S3,planted_nonabelian_holonomy,naive_regular_representation_no_pooling,150,0.6494066666666667,0.64988,1.3348643985726594,1.3332678419446642,1.4142135623730954,0.0,1.0,1.0
S3,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling,150,0.9451333333333332,0.9424533333333333,0.2153730615215514,0.22564116331337666,1.4142135623730954,0.0,6.0,6.0
