dataset,task_preset,architecture,width,n_tasks,selector,n_rows,n_unique_seeds,mean_validation_average_accuracy,mean_validation_worst_task_accuracy,mean_test_average_accuracy,mean_test_worst_task_accuracy,mean_delta_test_average_accuracy_vs_original_greedy,delta_vs_original_greedy_ci_low,delta_vs_original_greedy_ci_high,mean_delta_test_worst_task_accuracy_vs_original_greedy,worst_task_delta_ci_low,worst_task_delta_ci_high,mean_delta_test_average_accuracy_vs_best_single_task_vector_method,wins_vs_original_greedy,ties_vs_original_greedy,losses_vs_original_greedy,selected_family_frequency_json,test_leakage_violations,claim_status,claim_supported,claim_boundary
fashion_mnist,fashion_class_subsets,mlp2,64,3,best_validation_generated_candidate,20,20,0.7257773151205464,0.6980989461932483,0.6935555555555555,0.6446666666666666,0.010805555555555535,0.005138888888888871,0.016333333333333304,0.004333333333333328,-0.006252083333333345,0.01474999999999999,0.0,17,0,3,"{""dare"":12,""slerp_grid"":8}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,64,3,conservative_lcb_generated_candidate,20,20,0.7257773151205464,0.6980989461932483,0.6935555555555555,0.6446666666666666,0.010805555555555535,0.0053333333333333115,0.015834027777777777,0.004333333333333328,-0.005920833333333353,0.014918749999999993,0.0,17,0,3,"{""dare"":12,""slerp_grid"":8}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,64,3,greedy_soup_original_pool,20,20,0.7120617090643191,0.6756179239414777,0.6827500000000001,0.6403333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.010805555555555535,0,20,0,"{""greedy_soup_original_pool"":20}",0,baseline_original_greedy_soup,False,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,64,3,greedy_soup_over_generated_candidates,20,20,0.7283304025608499,0.6997379202354315,0.6948055555555556,0.6489166666666667,0.012055555555555531,0.006193749999999986,0.017527777777777753,0.008583333333333332,-0.002502083333333346,0.019585416666666664,0.0012499999999999955,17,0,3,"{""generated_candidate_soup"":20}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,64,3,worst_task_validation_selector,20,20,0.721763902505877,0.701825426833172,0.6923888888888889,0.6503333333333333,0.009638888888888869,0.005527083333333299,0.013861111111111091,0.009999999999999998,0.002997916666666648,0.017418749999999986,-0.001166666666666666,16,1,3,"{""dare"":10,""slerp_grid"":9,""slerp_sequential"":1}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,128,3,best_validation_generated_candidate,20,20,0.7621343768650559,0.7253810656782641,0.7268055555555557,0.6718333333333332,0.030472222222222217,0.02369305555555554,0.03644513888888886,0.05066666666666667,0.038164583333333335,0.06375208333333332,0.0,19,0,1,"{""dare"":11,""slerp_grid"":9}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,128,3,conservative_lcb_generated_candidate,20,20,0.7621343768650559,0.7253810656782641,0.7268055555555557,0.6718333333333332,0.030472222222222217,0.024221527777777765,0.03666736111111112,0.05066666666666667,0.03816666666666668,0.06366666666666665,0.0,19,0,1,"{""dare"":11,""slerp_grid"":9}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,128,3,greedy_soup_original_pool,20,20,0.7267194297746927,0.6579503202658102,0.6963333333333332,0.6211666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.030472222222222217,0,20,0,"{""greedy_soup_original_pool"":20}",0,baseline_original_greedy_soup,False,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,128,3,greedy_soup_over_generated_candidates,20,20,0.7642144140119876,0.7278970948329319,0.7270555555555556,0.6731666666666667,0.03072222222222224,0.02483263888888888,0.03633402777777777,0.052000000000000005,0.039499999999999987,0.06483333333333333,0.00025000000000002245,20,0,0,"{""generated_candidate_soup"":20}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
fashion_mnist,fashion_class_subsets,mlp2,128,3,worst_task_validation_selector,20,20,0.7603670487948221,0.7288256677245479,0.7252777777777778,0.6740833333333331,0.02894444444444445,0.02311041666666665,0.03480625000000002,0.05291666666666668,0.040325000000000014,0.06533333333333333,-0.0015277777777777668,20,0,0,"{""dare"":11,""slerp_grid"":8,""ties_merging"":1}",0,supported_exact_setting_enriched_pool_improves_original_greedy,True,"exact same-base setting only; generated-candidate validation selector, not broad model-merging superiority"
