summary_type,scope,dataset,architecture,n_models,width,domain_shift,matching,n_runs,n_unique_seeds,mean_ordinary_greedy_test_accuracy,mean_expanded_soup_test_accuracy,mean_test_delta_expanded_minus_ordinary,test_delta_ci_low,test_delta_ci_high,mean_val_delta_expanded_minus_ordinary,wins,ties,losses,expanded_selected_nonlocal_fraction,claim_status,claim_supported,candidate_family,selected_count,runs_with_selected_family,selected_fraction_of_runs,selected_count_per_run,selected_fraction_of_selected_candidates,candidate_type,candidate_rows,accepted_rows,rejected_rows,acceptance_fraction,mean_validation_accuracy_margin,mean_validation_loss_margin,diagnostic,value_mean,value_min,value_max,n_rows
paired_delta,overall,ALL,mlp2,,128.0,ALL,activation,240.0,60.0,0.8795166666666667,0.8793316666666667,-0.0001849999999999995,-0.00035002083333333223,-5.416666666666671e-05,2.7083333333332665e-05,1.0,232.0,7.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,fashion_mnist,mlp2,3,128.0,input_noise,activation,30.0,30.0,0.8275333333333331,0.8275399999999997,6.666666666669633e-06,0.0,2.00000000000089e-05,0.0,1.0,29.0,0.0,1.0,descriptive_positive_ci_crosses_zero,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,fashion_mnist,mlp2,3,128.0,none,activation,30.0,30.0,0.8320866666666668,0.8320866666666668,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,fashion_mnist,mlp2,4,128.0,input_noise,activation,30.0,30.0,0.8265400000000002,0.8265400000000002,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,fashion_mnist,mlp2,4,128.0,none,activation,30.0,30.0,0.8334133333333332,0.8334133333333332,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,mnist,mlp2,3,128.0,input_noise,activation,30.0,30.0,0.9260066666666665,0.9250066666666668,-0.0010000000000000009,-0.0020133333333333336,-0.00019333333333333426,8.333333333332786e-05,0.0,26.0,4.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,mnist,mlp2,3,128.0,none,activation,30.0,30.0,0.93172,0.9316600000000002,-5.9999999999997095e-05,-0.00017999999999999128,0.0,0.0,0.0,29.0,1.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,mnist,mlp2,4,128.0,input_noise,activation,30.0,30.0,0.9263066666666666,0.9259733333333332,-0.00033333333333333365,-0.0010000000000000009,0.0,6.666666666666672e-05,0.0,29.0,1.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
paired_delta,fixed_setting,mnist,mlp2,4,128.0,none,activation,30.0,30.0,0.9325266666666666,0.9324333333333333,-9.333333333333416e-05,-0.00028000000000000247,0.0,6.666666666666672e-05,0.0,29.0,1.0,1.0,no_improvement_empirical_descent_rejects_or_neutralizes_extra_candidates,False,,,,,,,,,,,,,,,,,,
selected_candidate_family_frequency,fixed_setting,fashion_mnist,mlp2,3,128.0,input_noise,activation,30.0,,,,,,,,,,,,,,c2m3_synchronized,30.0,30.0,1.0,1.0,0.7692307692307693,,,,,,,,,,,,
selected_candidate_family_frequency,fixed_setting,fashion_mnist,mlp2,3,128.0,input_noise,activation,30.0,,,,,,,,,,,,,,local,9.0,9.0,0.3,0.3,0.23076923076923078,,,,,,,,,,,,
selected_candidate_family_frequency,fixed_setting,fashion_mnist,mlp2,3,128.0,none,activation,30.0,,,,,,,,,,,,,,c2m3_synchronized,7.0,7.0,0.23333333333333334,0.23333333333333334,0.22580645161290322,,,,,,,,,,,,
selected_candidate_family_frequency,fixed_setting,fashion_mnist,mlp2,3,128.0,none,activation,30.0,,,,,,,,,,,,,,local,1.0,1.0,0.03333333333333333,0.03333333333333333,0.03225806451612903,,,,,,,,,,,,
selected_candidate_family_frequency,fixed_setting,fashion_mnist,mlp2,3,128.0,none,activation,30.0,,,,,,,,,,,,,,monomial_weight_raw,23.0,23.0,0.7666666666666667,0.7666666666666667,0.7419354838709677,,,,,,,,,,,,
selected_candidate_family_frequency,fixed_setting,fashion_mnist,mlp2,4,128.0,input_noise,activation,30.0,,,,,,,,,,,,,,c2m3_synchronized,30.0,30.0,1.0,1.0,0.967741935483871,,,,,,,,,,,,
selected_candidate_family_frequency,fixed_setting,fashion_mnist,mlp2,4,128.0,input_noise,activation,30.0,,,,,,,,,,,,,,local,1.0,1.0,0.03333333333333333,0.03333333333333333,0.03225806451612903,,,,,,,,,,,,
