summary_type,scope,n_models,width,method,display_name,n_rows,n_seeds,mean_test_accuracy,test_accuracy_standard_error,mean_test_loss,mean_val_accuracy,mean_selection_val_accuracy,mean_merge_degradation,param_count_multiplier,inference_time_multiplier,is_single_model,uses_exact_relu_symmetry,is_soup,is_ensemble_or_extra_capacity,uses_validation_data,capacity_matched_to_weight_average,implementation_kind,official_repo,license,paired_mean_accuracy_delta_vs_internal_c2m3,paired_accuracy_delta_vs_internal_c2m3_ci_low,paired_accuracy_delta_vs_internal_c2m3_ci_high,mean_loss_delta_vs_internal_c2m3,accuracy_wins_vs_internal_c2m3,accuracy_ties_vs_internal_c2m3,accuracy_losses_vs_internal_c2m3,sign_test_two_sided_p_vs_internal_c2m3,paired_mean_accuracy_delta_vs_greedy_soup,paired_accuracy_delta_vs_greedy_soup_ci_low,paired_accuracy_delta_vs_greedy_soup_ci_high,mean_loss_delta_vs_greedy_soup,accuracy_wins_vs_greedy_soup,accuracy_ties_vs_greedy_soup,accuracy_losses_vs_greedy_soup,sign_test_two_sided_p_vs_greedy_soup,paired_mean_accuracy_delta_vs_weight_average,paired_accuracy_delta_vs_weight_average_ci_low,paired_accuracy_delta_vs_weight_average_ci_high,mean_loss_delta_vs_weight_average,accuracy_wins_vs_weight_average,accuracy_ties_vs_weight_average,accuracy_losses_vs_weight_average,sign_test_two_sided_p_vs_weight_average
method_summary,overall,all,all,weight_average,Weight average / uniform soup,20,5,0.718615,0.018202281920277553,1.4224540290451049,0.7075500000000001,,0.15439499999999998,1.0,1.0,True,False,False,False,False,True,native internal control,,project,-0.12943499999999997,-0.16001874999999996,-0.103513,0.7123732800006866,0,0,20,1.9073486328125e-06,-0.15275499999999997,-0.18814312499999997,-0.12244487499999995,0.8861560762643815,0,0,20,1.9073486328125e-06,0.0,0.0,0.0,0.0,0,20,0,
method_summary,overall,all,all,git_rebasin_pairwise,Faithful Git-ReBasin-style pairwise alignment,20,5,0.8459749999999999,0.00492826367950588,0.7114716979575157,0.8288500000000001,,0.027034999999999997,1.0,1.0,True,True,False,False,False,True,faithful in-repo reimplementation,https://github.com/samuela/git-re-basin,MIT,-0.002074999999999999,-0.005930000000000007,0.002165875000000012,0.0013909489130973784,4,8,8,0.3876953125,-0.025394999999999994,-0.03182025,-0.019719125000000025,0.17517374517679213,0,0,20,1.9073486328125e-06,0.12735999999999997,0.10061687499999997,0.15828312499999986,-0.7109823310875891,20,0,0,1.9073486328125e-06
method_summary,overall,all,all,c2m3_permutation,Internal C2M3-style cycle-consistent alignment,20,5,0.84805,0.005555175396349836,0.7100807490444183,0.8326,,0.02496,1.0,1.0,True,True,False,False,False,True,faithful internal C2M3-style reimplementation,https://github.com/crisostomi/cycle-consistent-model-merging,MIT,0.0,0.0,0.0,0.0,0,20,0,,-0.023319999999999997,-0.03222675000000001,-0.016403374999999994,0.17378279626369475,0,0,20,1.9073486328125e-06,0.12943499999999997,0.10336162499999997,0.15837299999999996,-0.7123732800006866,20,0,0,1.9073486328125e-06
method_summary,overall,all,all,greedy_soup,Faithful Model Soups greedy soup,20,5,0.87137,0.002218926957361431,0.5362979527807235,0.8561000000000002,0.8561000000000002,0.0016400000000000026,1.0,1.0,True,False,True,False,True,True,faithful in-repo reimplementation,https://github.com/mlfoundations/model-soups,MIT,0.023319999999999997,0.01646499999999999,0.03150037500000001,-0.17378279626369475,20,0,0,1.9073486328125e-06,0.0,0.0,0.0,0.0,0,20,0,,0.15275499999999997,0.12310424999999998,0.18592024999999995,-0.8861560762643815,20,0,0,1.9073486328125e-06
method_summary,overall,all,all,monomial_scale,Raw monomial scaling,20,5,0.85208,0.004385253998524938,0.7006537803626061,0.83715,,0.020929999999999994,1.0,1.0,True,True,False,False,False,True,native internal method,,project,0.004030000000000006,0.00031912500000001433,0.008400000000000008,-0.009426968681812286,12,0,8,0.5034446716308594,-0.01928999999999999,-0.024715374999999994,-0.01431374999999998,0.16435582758188247,0,0,20,1.9073486328125e-06,0.13346499999999994,0.10493349999999997,0.16727174999999997,-0.7218002486824988,20,0,0,1.9073486328125e-06
method_summary,overall,all,all,monomial_scaled_greedy_soup,Monomial-scaled greedy soup,20,5,0.8699999999999999,0.0022826692593033307,0.5610966331219672,0.8575000000000002,0.8575000000000002,0.003009999999999985,1.0,1.0,True,True,True,False,True,True,native internal method plus faithful greedy soup rule,https://github.com/mlfoundations/model-soups,MIT for Model Soups reference; project code for scaling,0.021950000000000015,0.01517912499999999,0.030291000000000005,-0.14898411592245098,20,0,0,1.9073486328125e-06,-0.0013699999999999823,-0.0028053749999999737,-0.00011999999999999233,0.02479868034124374,2,14,4,0.6875,0.15138499999999996,0.12316949999999996,0.18695449999999994,-0.8613573959231378,20,0,0,1.9073486328125e-06
method_summary,overall,all,all,validated_ladder_selector,Validated ladder selector,20,5,0.85213,0.004453378965518916,0.702262259941101,0.83905,0.83905,0.020879999999999992,1.0,1.0,True,True,False,False,True,True,native internal method,,project,0.0040800000000000055,0.0004895000000000018,0.008226875000000005,-0.00781848910331726,9,6,5,0.4239501953125,-0.01923999999999999,-0.025421625000000003,-0.013869124999999975,0.16596430716037752,0,0,20,1.9073486328125e-06,0.13351499999999997,0.10491450000000001,0.16851625,-0.7201917691040038,20,0,0,1.9073486328125e-06
method_summary,overall,all,all,improved_validated_selector,Improved validated ladder selector,20,5,0.868955,0.0018560920320875652,0.5620512171339989,0.8593500000000001,0.8593500000000001,0.004054999999999987,1.0,1.0,True,True,True,False,True,True,native internal method,,project,0.020905000000000014,0.013539375000000001,0.029615125000000037,-0.14802953191041948,19,0,1,4.00543212890625e-05,-0.002414999999999984,-0.004175124999999996,-0.0008598749999999785,0.025753264353275275,4,7,9,0.266845703125,0.15033999999999997,0.12024599999999996,0.18592062499999995,-0.8604028119111062,20,0,0,1.9073486328125e-06
method_summary,fixed_setting,3,32,weight_average,Weight average / uniform soup,5,5,0.7215199999999999,0.020924683988055814,1.4508927419662476,0.7120000000000001,,0.14219999999999997,1.0,1.0,True,False,False,False,False,True,native internal control,,project,-0.11267999999999997,-0.15041999999999997,-0.0914,0.6671504843330383,0,0,5,0.0625,-0.14071999999999998,-0.18105999999999994,-0.11026,0.8495790219783782,0,0,5,0.0625,0.0,0.0,0.0,0.0,0,5,0,
method_summary,fixed_setting,3,32,git_rebasin_pairwise,Faithful Git-ReBasin-style pairwise alignment,5,5,0.8311399999999999,0.006537323611387158,0.7858112821006775,0.8136000000000001,,0.032579999999999984,1.0,1.0,True,True,False,False,False,True,faithful in-repo reimplementation,https://github.com/samuela/git-re-basin,MIT,-0.003059999999999996,-0.009179999999999989,0.0,0.002069024467468261,0,4,1,1.0,-0.031099999999999996,-0.04418,-0.018900000000000007,0.1844975621128082,0,0,5,0.0625,0.10961999999999998,0.08244,0.14958,-0.6650814598655701,5,0,0,0.0625
