model_index,model_seed,val_loss,val_accuracy,test_loss,test_accuracy,checkpoint,setting_id,dataset,architecture,n_models,width,seed
0,2347,0.644999641418457,0.847,0.606916100692749,0.8651,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/model_0.pt,mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800
1,3347,0.6472939758300781,0.841,0.6061364562511444,0.8586,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/model_1.pt,mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800
2,4347,0.6489529495239258,0.839,0.6072350137710572,0.8576,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/model_2.pt,mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800
0,2891,0.5224421920776368,0.859,0.4748521556854248,0.8813,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1800/model_0.pt,mnist_mlp_N3_W64_S1800,mnist,mlp_relu,3,64,1800
1,3891,0.52712548828125,0.858,0.4886670180797577,0.8779,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1800/model_1.pt,mnist_mlp_N3_W64_S1800,mnist,mlp_relu,3,64,1800
2,4891,0.5294241828918457,0.857,0.4824278507232666,0.8783,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1800/model_2.pt,mnist_mlp_N3_W64_S1800,mnist,mlp_relu,3,64,1800
0,2348,0.6613623809814453,0.834,0.6171801092147827,0.854,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1800/model_0.pt,mnist_mlp_N4_W32_S1800,mnist,mlp_relu,4,32,1800
1,3348,0.6624729690551758,0.839,0.6194579017162323,0.8612,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1800/model_1.pt,mnist_mlp_N4_W32_S1800,mnist,mlp_relu,4,32,1800
2,4348,0.6264653091430664,0.848,0.5965701573848724,0.862,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1800/model_2.pt,mnist_mlp_N4_W32_S1800,mnist,mlp_relu,4,32,1800
3,5348,0.6667167129516601,0.844,0.626165252828598,0.8629,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1800/model_3.pt,mnist_mlp_N4_W32_S1800,mnist,mlp_relu,4,32,1800
0,2892,0.5240938224792481,0.858,0.4845093451023102,0.8729,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1800/model_0.pt,mnist_mlp_N4_W64_S1800,mnist,mlp_relu,4,64,1800
1,3892,0.508727481842041,0.861,0.4692322646141052,0.882,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1800/model_1.pt,mnist_mlp_N4_W64_S1800,mnist,mlp_relu,4,64,1800
2,4892,0.5135576171875,0.868,0.4772286027431488,0.879,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1800/model_2.pt,mnist_mlp_N4_W64_S1800,mnist,mlp_relu,4,64,1800
3,5892,0.5099085693359375,0.865,0.46988233170509336,0.8808,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1800/model_3.pt,mnist_mlp_N4_W64_S1800,mnist,mlp_relu,4,64,1800
0,2348,0.6715390243530274,0.843,0.625166817188263,0.8592,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1801/model_0.pt,mnist_mlp_N3_W32_S1801,mnist,mlp_relu,3,32,1801
1,3348,0.6786098785400391,0.837,0.6370257312774659,0.8581,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1801/model_1.pt,mnist_mlp_N3_W32_S1801,mnist,mlp_relu,3,32,1801
2,4348,0.6440086135864258,0.839,0.6023151443481445,0.8612,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1801/model_2.pt,mnist_mlp_N3_W32_S1801,mnist,mlp_relu,3,32,1801
0,2892,0.518294937133789,0.856,0.47597402205467226,0.8799,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1801/model_0.pt,mnist_mlp_N3_W64_S1801,mnist,mlp_relu,3,64,1801
1,3892,0.5277301368713379,0.859,0.47871298227310183,0.8752,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1801/model_1.pt,mnist_mlp_N3_W64_S1801,mnist,mlp_relu,3,64,1801
2,4892,0.5127413864135743,0.859,0.4635160354137421,0.8832,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1801/model_2.pt,mnist_mlp_N3_W64_S1801,mnist,mlp_relu,3,64,1801
0,2349,0.6454492416381836,0.845,0.601596224975586,0.8626,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1801/model_0.pt,mnist_mlp_N4_W32_S1801,mnist,mlp_relu,4,32,1801
1,3349,0.6654432830810547,0.837,0.6189703157424927,0.8514,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1801/model_1.pt,mnist_mlp_N4_W32_S1801,mnist,mlp_relu,4,32,1801
2,4349,0.6352362442016601,0.845,0.5863525673866272,0.8612,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1801/model_2.pt,mnist_mlp_N4_W32_S1801,mnist,mlp_relu,4,32,1801
3,5349,0.6574466171264648,0.834,0.6110814042091369,0.8637,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1801/model_3.pt,mnist_mlp_N4_W32_S1801,mnist,mlp_relu,4,32,1801
0,2893,0.5315820960998535,0.868,0.4854183837890625,0.8782,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1801/model_0.pt,mnist_mlp_N4_W64_S1801,mnist,mlp_relu,4,64,1801
1,3893,0.5225030097961426,0.856,0.47643106341362,0.8783,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1801/model_1.pt,mnist_mlp_N4_W64_S1801,mnist,mlp_relu,4,64,1801
2,4893,0.5196995124816894,0.864,0.47231259093284605,0.8815,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1801/model_2.pt,mnist_mlp_N4_W64_S1801,mnist,mlp_relu,4,64,1801
3,5893,0.5061438102722168,0.861,0.4558426505565643,0.8865,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1801/model_3.pt,mnist_mlp_N4_W64_S1801,mnist,mlp_relu,4,64,1801
0,2349,0.6356277961730957,0.845,0.596949202823639,0.8629,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1802/model_0.pt,mnist_mlp_N3_W32_S1802,mnist,mlp_relu,3,32,1802
1,3349,0.6228713989257812,0.848,0.5960594774246216,0.8575,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1802/model_1.pt,mnist_mlp_N3_W32_S1802,mnist,mlp_relu,3,32,1802
2,4349,0.6339248504638672,0.842,0.5926574422836304,0.8614,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1802/model_2.pt,mnist_mlp_N3_W32_S1802,mnist,mlp_relu,3,32,1802
0,2893,0.5273225402832031,0.862,0.4909667542934418,0.8735,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1802/model_0.pt,mnist_mlp_N3_W64_S1802,mnist,mlp_relu,3,64,1802
1,3893,0.5095866661071777,0.862,0.4705998125076294,0.8813,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1802/model_1.pt,mnist_mlp_N3_W64_S1802,mnist,mlp_relu,3,64,1802
2,4893,0.517973430633545,0.865,0.4861065969467163,0.8762,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1802/model_2.pt,mnist_mlp_N3_W64_S1802,mnist,mlp_relu,3,64,1802
0,2350,0.6234454841613769,0.849,0.5881464461803436,0.8625,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1802/model_0.pt,mnist_mlp_N4_W32_S1802,mnist,mlp_relu,4,32,1802
1,3350,0.6496280288696289,0.829,0.6121967426300049,0.8587,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1802/model_1.pt,mnist_mlp_N4_W32_S1802,mnist,mlp_relu,4,32,1802
2,4350,0.6835490989685059,0.837,0.6597884498596192,0.8485,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1802/model_2.pt,mnist_mlp_N4_W32_S1802,mnist,mlp_relu,4,32,1802
3,5350,0.6275187911987304,0.833,0.5862551997184754,0.858,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1802/model_3.pt,mnist_mlp_N4_W32_S1802,mnist,mlp_relu,4,32,1802
0,2894,0.5063365020751953,0.866,0.47340422334671023,0.8789,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1802/model_0.pt,mnist_mlp_N4_W64_S1802,mnist,mlp_relu,4,64,1802
1,3894,0.52091402053833,0.868,0.48752213587760923,0.8804,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1802/model_1.pt,mnist_mlp_N4_W64_S1802,mnist,mlp_relu,4,64,1802
2,4894,0.49306943130493164,0.868,0.46238836584091186,0.8851,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1802/model_2.pt,mnist_mlp_N4_W64_S1802,mnist,mlp_relu,4,64,1802
3,5894,0.5115302276611328,0.867,0.47429761757850647,0.8819,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1802/model_3.pt,mnist_mlp_N4_W64_S1802,mnist,mlp_relu,4,64,1802
0,2350,0.6438723182678223,0.841,0.5813692351818085,0.864,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1803/model_0.pt,mnist_mlp_N3_W32_S1803,mnist,mlp_relu,3,32,1803
1,3350,0.6798723678588867,0.823,0.6125639262676239,0.8575,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1803/model_1.pt,mnist_mlp_N3_W32_S1803,mnist,mlp_relu,3,32,1803
2,4350,0.7257822341918946,0.806,0.664136238193512,0.8317,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1803/model_2.pt,mnist_mlp_N3_W32_S1803,mnist,mlp_relu,3,32,1803
0,2894,0.5427365303039551,0.847,0.47388120503425596,0.8796,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1803/model_0.pt,mnist_mlp_N3_W64_S1803,mnist,mlp_relu,3,64,1803
1,3894,0.5486806259155274,0.848,0.4778029239177704,0.8775,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1803/model_1.pt,mnist_mlp_N3_W64_S1803,mnist,mlp_relu,3,64,1803
2,4894,0.548752368927002,0.842,0.47123646092414856,0.878,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1803/model_2.pt,mnist_mlp_N3_W64_S1803,mnist,mlp_relu,3,64,1803
0,2351,0.685338020324707,0.833,0.6186513616085052,0.8635,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1803/model_0.pt,mnist_mlp_N4_W32_S1803,mnist,mlp_relu,4,32,1803
