setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,model_index,local_seed,val_loss,val_accuracy,test_loss,test_accuracy,checkpoint_saved,checkpoint_path,checkpoint_metadata_json
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2000,mnist,mlp2,3,128,none,activation,2000,0,7039,0.1849827103614807,0.9385,0.2409294864654541,0.9288,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2000,""gamma"":0.5,""local_seed"":7039,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2000,mnist,mlp2,3,128,none,activation,2000,1,8048,0.18528224754333497,0.9425,0.23765689268112183,0.9308,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2000,""gamma"":0.5,""local_seed"":8048,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2000,mnist,mlp2,3,128,none,activation,2000,2,9057,0.1923091344833374,0.9365,0.24505041489601134,0.93,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2000,""gamma"":0.5,""local_seed"":9057,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2001,mnist,mlp2,3,128,none,activation,2001,0,7040,0.18552312994003295,0.9375,0.24110414257049562,0.9314,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2001,""gamma"":0.5,""local_seed"":7040,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2001,mnist,mlp2,3,128,none,activation,2001,1,8049,0.19334212923049926,0.9395,0.2477625253200531,0.9298,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2001,""gamma"":0.5,""local_seed"":8049,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2001,mnist,mlp2,3,128,none,activation,2001,2,9058,0.19787535667419434,0.936,0.25055262680053714,0.9284,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2001,""gamma"":0.5,""local_seed"":9058,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2002,mnist,mlp2,3,128,none,activation,2002,0,7041,0.18787722063064574,0.939,0.24238578119277954,0.9318,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2002,""gamma"":0.5,""local_seed"":7041,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2002,mnist,mlp2,3,128,none,activation,2002,1,8050,0.18617404460906983,0.94,0.24297870781421663,0.9298,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2002,""gamma"":0.5,""local_seed"":8050,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2002,mnist,mlp2,3,128,none,activation,2002,2,9059,0.19015932559967041,0.941,0.24626738905906678,0.9294,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2002,""gamma"":0.5,""local_seed"":9059,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
mnist_mlp2_N3_W128_none_activation,mnist_mlp2_N3_W128_none_activation_seed2003,mnist,mlp2,3,128,none,activation,2003,0,7042,0.18070639276504516,0.9405,0.2428627112865448,0.9302,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":2003,""gamma"":0.5,""local_seed"":7042,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}"
