setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,epochs,max_train_samples,max_test_samples,batch_size,lr,dataset_seed,val_fraction,mean_individual_accuracy,single_best_accuracy,single_worst_accuracy,individual_accuracy_spread,pairwise_alignment_permutations_json,pairwise_alignment_residual_mean,pairwise_alignment_residual_max,pairwise_alignment_residual_json,alignment_source,alignment_noise_fraction,is_injected_alignment_control,cycle_score,sync_reference_model,sync_disagreement,evidence_role,method,test_accuracy,test_loss,val_accuracy,val_loss,validation_accuracy_used_for_selection,selection_indices,uses_validation_data,is_single_model,exact_relu_symmetry,is_soup,is_ensemble_or_extra_capacity,capacity_matched_to_weight_average,parameter_count_multiplier,inference_time_multiplier,method_note,single_best_merge_degradation,mean_individual_merge_degradation,weight_merge_degradation,delta_vs_weight_average,delta_vs_greedy_soup,delta_vs_c2m3_synchronized
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,22,6,3,8,29,25,26,7,20,2,9,19,13,5,21,0,11,23,15,1,28,16,31,17,18,30,14,10,24,4,12],""0->2"":[29,6,2,3,13,16,25,7,10,1,27,9,0,4,21,20,15,5,17,24,12,28,11,31,8,23,30,22,18,26,19,14],""1->0"":[16,20,10,3,30,14,2,8,4,11,28,17,31,13,27,19,15,24,25,12,9,22,1,18,29,6,7,0,21,5,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,16,4,15,27,2,11,13,31,18,21,7,9,22,30,5,26,6,12,10,20,19,3,1,14,24,29,17,8,25,0],""2->0"":[12,9,2,3,13,17,1,7,24,11,8,22,20,4,31,16,5,18,28,30,15,14,27,25,19,6,29,10,21,0,26,23],""2->1"":[31,24,6,23,3,16,18,12,29,13,20,7,19,8,25,4,2,28,10,22,21,11,14,1,26,30,17,5,0,27,15,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.5389526089032491,0.5490108132362366,"[{""pair"":""0-1"",""residual"":0.5261750817298889},{""pair"":""0-2"",""residual"":0.5416719317436218},{""pair"":""1-2"",""residual"":0.5490108132362366}]",observed,0.0,False,0.9013878188659973,2,0.1840277777777778,primary_observed_alignment,weight_average,0.2578125,2.272568702697754,0.18627450980392157,2.2862373800838696,,[],False,True,False,False,False,True,1.0,1.0,ordinary parameter average without alignment,0.0859375,0.03515625,0.0859375,0.0,-0.0859375,-0.0625
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,22,6,3,8,29,25,26,7,20,2,9,19,13,5,21,0,11,23,15,1,28,16,31,17,18,30,14,10,24,4,12],""0->2"":[29,6,2,3,13,16,25,7,10,1,27,9,0,4,21,20,15,5,17,24,12,28,11,31,8,23,30,22,18,26,19,14],""1->0"":[16,20,10,3,30,14,2,8,4,11,28,17,31,13,27,19,15,24,25,12,9,22,1,18,29,6,7,0,21,5,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,16,4,15,27,2,11,13,31,18,21,7,9,22,30,5,26,6,12,10,20,19,3,1,14,24,29,17,8,25,0],""2->0"":[12,9,2,3,13,17,1,7,24,11,8,22,20,4,31,16,5,18,28,30,15,14,27,25,19,6,29,10,21,0,26,23],""2->1"":[31,24,6,23,3,16,18,12,29,13,20,7,19,8,25,4,2,28,10,22,21,11,14,1,26,30,17,5,0,27,15,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.5389526089032491,0.5490108132362366,"[{""pair"":""0-1"",""residual"":0.5261750817298889},{""pair"":""0-2"",""residual"":0.5416719317436218},{""pair"":""1-2"",""residual"":0.5490108132362366}]",observed,0.0,False,0.9013878188659973,2,0.1840277777777778,primary_observed_alignment,greedy_soup,0.34375,2.2163296937942505,0.37254901960784315,2.2114863676183365,0.37254901960784315,[2],True,True,False,True,False,True,1.0,1.0,faithful greedy Model Soups-style validation-selected soup,0.0,-0.05078125,,0.0859375,0.0,0.0234375
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,22,6,3,8,29,25,26,7,20,2,9,19,13,5,21,0,11,23,15,1,28,16,31,17,18,30,14,10,24,4,12],""0->2"":[29,6,2,3,13,16,25,7,10,1,27,9,0,4,21,20,15,5,17,24,12,28,11,31,8,23,30,22,18,26,19,14],""1->0"":[16,20,10,3,30,14,2,8,4,11,28,17,31,13,27,19,15,24,25,12,9,22,1,18,29,6,7,0,21,5,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,16,4,15,27,2,11,13,31,18,21,7,9,22,30,5,26,6,12,10,20,19,3,1,14,24,29,17,8,25,0],""2->0"":[12,9,2,3,13,17,1,7,24,11,8,22,20,4,31,16,5,18,28,30,15,14,27,25,19,6,29,10,21,0,26,23],""2->1"":[31,24,6,23,3,16,18,12,29,13,20,7,19,8,25,4,2,28,10,22,21,11,14,1,26,30,17,5,0,27,15,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.5389526089032491,0.5490108132362366,"[{""pair"":""0-1"",""residual"":0.5261750817298889},{""pair"":""0-2"",""residual"":0.5416719317436218},{""pair"":""1-2"",""residual"":0.5490108132362366}]",observed,0.0,False,0.9013878188659973,2,0.1840277777777778,primary_observed_alignment,git_rebasin_pairwise_ref0,0.30078125,2.2438961267471313,0.3137254901960784,2.2435148650524663,,[],False,True,True,False,False,True,1.0,1.0,faithful Git-ReBasin-style pairwise hidden-unit alignment to model 0,0.04296875,-0.0078125,,0.04296875,-0.04296875,-0.01953125
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,22,6,3,8,29,25,26,7,20,2,9,19,13,5,21,0,11,23,15,1,28,16,31,17,18,30,14,10,24,4,12],""0->2"":[29,6,2,3,13,16,25,7,10,1,27,9,0,4,21,20,15,5,17,24,12,28,11,31,8,23,30,22,18,26,19,14],""1->0"":[16,20,10,3,30,14,2,8,4,11,28,17,31,13,27,19,15,24,25,12,9,22,1,18,29,6,7,0,21,5,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,16,4,15,27,2,11,13,31,18,21,7,9,22,30,5,26,6,12,10,20,19,3,1,14,24,29,17,8,25,0],""2->0"":[12,9,2,3,13,17,1,7,24,11,8,22,20,4,31,16,5,18,28,30,15,14,27,25,19,6,29,10,21,0,26,23],""2->1"":[31,24,6,23,3,16,18,12,29,13,20,7,19,8,25,4,2,28,10,22,21,11,14,1,26,30,17,5,0,27,15,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.5389526089032491,0.5490108132362366,"[{""pair"":""0-1"",""residual"":0.5261750817298889},{""pair"":""0-2"",""residual"":0.5416719317436218},{""pair"":""1-2"",""residual"":0.5490108132362366}]",observed,0.0,False,0.9013878188659973,2,0.1840277777777778,primary_observed_alignment,c2m3_synchronized,0.3203125,2.2431771755218506,0.28431372549019607,2.2416066188438264,,[],False,True,True,False,False,True,1.0,1.0,internal C2M3-style global permutation synchronization before averaging,0.0234375,-0.02734375,,0.0625,-0.0234375,0.0
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,22,6,3,8,29,25,26,7,20,2,9,19,13,5,21,0,11,23,15,1,28,16,31,17,18,30,14,10,24,4,12],""0->2"":[29,6,2,3,13,16,25,7,10,1,27,9,0,4,21,20,15,5,17,24,12,28,11,31,8,23,30,22,18,26,19,14],""1->0"":[16,20,10,3,30,14,2,8,4,11,28,17,31,13,27,19,15,24,25,12,9,22,1,18,29,6,7,0,21,5,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,16,4,15,27,2,11,13,31,18,21,7,9,22,30,5,26,6,12,10,20,19,3,1,14,24,29,17,8,25,0],""2->0"":[12,9,2,3,13,17,1,7,24,11,8,22,20,4,31,16,5,18,28,30,15,14,27,25,19,6,29,10,21,0,26,23],""2->1"":[31,24,6,23,3,16,18,12,29,13,20,7,19,8,25,4,2,28,10,22,21,11,14,1,26,30,17,5,0,27,15,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.5389526089032491,0.5490108132362366,"[{""pair"":""0-1"",""residual"":0.5261750817298889},{""pair"":""0-2"",""residual"":0.5416719317436218},{""pair"":""1-2"",""residual"":0.5490108132362366}]",observed,0.0,False,0.9013878188659973,2,0.1840277777777778,primary_observed_alignment,ensemble_upper_bound,0.453125,2.2110763788223267,0.39215686274509803,2.214699988271676,,[],False,False,False,False,True,False,3.0,3.0,extra-capacity ensemble upper bound over all local models,-0.109375,-0.16015625,,0.1953125,0.109375,0.1328125
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,22,6,3,8,29,25,26,7,20,2,9,19,13,5,21,0,11,23,15,1,28,16,31,17,18,30,14,10,24,4,12],""0->2"":[29,6,2,3,13,16,25,7,10,1,27,9,0,4,21,20,15,5,17,24,12,28,11,31,8,23,30,22,18,26,19,14],""1->0"":[16,20,10,3,30,14,2,8,4,11,28,17,31,13,27,19,15,24,25,12,9,22,1,18,29,6,7,0,21,5,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,16,4,15,27,2,11,13,31,18,21,7,9,22,30,5,26,6,12,10,20,19,3,1,14,24,29,17,8,25,0],""2->0"":[12,9,2,3,13,17,1,7,24,11,8,22,20,4,31,16,5,18,28,30,15,14,27,25,19,6,29,10,21,0,26,23],""2->1"":[31,24,6,23,3,16,18,12,29,13,20,7,19,8,25,4,2,28,10,22,21,11,14,1,26,30,17,5,0,27,15,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.5389526089032491,0.5490108132362366,"[{""pair"":""0-1"",""residual"":0.5261750817298889},{""pair"":""0-2"",""residual"":0.5416719317436218},{""pair"":""1-2"",""residual"":0.5490108132362366}]",observed,0.0,False,0.9013878188659973,2,0.1840277777777778,primary_observed_alignment,rank_lift_branch_ensemble_2,0.359375,2.2227962017059326,0.3431372549019608,2.2220683378331803,,[],False,False,True,False,True,False,2.0,2.0,"rank-lift branch ensemble; extra capacity, not a single merged model",-0.015625,-0.06640625,,0.1015625,0.015625,0.0390625
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,28,18,25,8,29,23,26,20,31,2,9,19,13,5,21,0,6,3,15,1,22,16,11,17,7,30,14,10,24,4,12],""0->2"":[29,6,31,27,13,16,21,7,10,1,19,9,0,4,18,20,15,5,17,24,12,28,26,25,11,23,30,22,2,8,3,14],""1->0"":[16,20,10,13,30,14,28,8,4,11,2,17,31,9,3,19,7,6,25,5,27,22,1,18,29,12,15,0,21,24,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,24,4,13,27,2,22,7,31,18,21,12,9,15,30,5,26,6,11,10,20,25,3,1,14,19,29,17,8,16,0],""2->0"":[12,9,2,3,8,26,1,7,24,11,13,23,6,4,19,16,5,21,28,30,15,20,22,25,31,14,29,10,18,0,17,27],""2->1"":[31,26,6,23,3,15,18,12,29,27,20,5,19,13,25,4,2,28,10,22,21,7,14,1,24,30,11,17,8,0,16,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.59823610385259,0.6134253144264221,"[{""pair"":""0-1"",""residual"":0.6048646569252014},{""pair"":""0-2"",""residual"":0.6134253144264221},{""pair"":""1-2"",""residual"":0.5764183402061462}]",injected_noise,0.25,True,0.9519716382329886,1,0.3368055555555556,negative_control_injected_alignment_noise,weight_average,0.2578125,2.272568702697754,0.18627450980392157,2.2862373800838696,,[],False,True,False,False,False,True,1.0,1.0,ordinary parameter average without alignment,0.0859375,0.03515625,0.0859375,0.0,-0.0859375,-0.05078125
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,28,18,25,8,29,23,26,20,31,2,9,19,13,5,21,0,6,3,15,1,22,16,11,17,7,30,14,10,24,4,12],""0->2"":[29,6,31,27,13,16,21,7,10,1,19,9,0,4,18,20,15,5,17,24,12,28,26,25,11,23,30,22,2,8,3,14],""1->0"":[16,20,10,13,30,14,28,8,4,11,2,17,31,9,3,19,7,6,25,5,27,22,1,18,29,12,15,0,21,24,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,24,4,13,27,2,22,7,31,18,21,12,9,15,30,5,26,6,11,10,20,25,3,1,14,19,29,17,8,16,0],""2->0"":[12,9,2,3,8,26,1,7,24,11,13,23,6,4,19,16,5,21,28,30,15,20,22,25,31,14,29,10,18,0,17,27],""2->1"":[31,26,6,23,3,15,18,12,29,27,20,5,19,13,25,4,2,28,10,22,21,7,14,1,24,30,11,17,8,0,16,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.59823610385259,0.6134253144264221,"[{""pair"":""0-1"",""residual"":0.6048646569252014},{""pair"":""0-2"",""residual"":0.6134253144264221},{""pair"":""1-2"",""residual"":0.5764183402061462}]",injected_noise,0.25,True,0.9519716382329886,1,0.3368055555555556,negative_control_injected_alignment_noise,greedy_soup,0.34375,2.2163296937942505,0.37254901960784315,2.2114863676183365,0.37254901960784315,[2],True,True,False,True,False,True,1.0,1.0,faithful greedy Model Soups-style validation-selected soup,0.0,-0.05078125,,0.0859375,0.0,0.03515625
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,28,18,25,8,29,23,26,20,31,2,9,19,13,5,21,0,6,3,15,1,22,16,11,17,7,30,14,10,24,4,12],""0->2"":[29,6,31,27,13,16,21,7,10,1,19,9,0,4,18,20,15,5,17,24,12,28,26,25,11,23,30,22,2,8,3,14],""1->0"":[16,20,10,13,30,14,28,8,4,11,2,17,31,9,3,19,7,6,25,5,27,22,1,18,29,12,15,0,21,24,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,24,4,13,27,2,22,7,31,18,21,12,9,15,30,5,26,6,11,10,20,25,3,1,14,19,29,17,8,16,0],""2->0"":[12,9,2,3,8,26,1,7,24,11,13,23,6,4,19,16,5,21,28,30,15,20,22,25,31,14,29,10,18,0,17,27],""2->1"":[31,26,6,23,3,15,18,12,29,27,20,5,19,13,25,4,2,28,10,22,21,7,14,1,24,30,11,17,8,0,16,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.59823610385259,0.6134253144264221,"[{""pair"":""0-1"",""residual"":0.6048646569252014},{""pair"":""0-2"",""residual"":0.6134253144264221},{""pair"":""1-2"",""residual"":0.5764183402061462}]",injected_noise,0.25,True,0.9519716382329886,1,0.3368055555555556,negative_control_injected_alignment_noise,git_rebasin_pairwise_ref0,0.26171875,2.2579383850097656,0.27450980392156865,2.2595499076095282,,[],False,True,True,False,False,True,1.0,1.0,faithful Git-ReBasin-style pairwise hidden-unit alignment to model 0,0.08203125,0.03125,,0.00390625,-0.08203125,-0.046875
mnist_mlp_N3_W32_none_activation,mnist_mlp_N3_W32_none_activation_seed1000,mnist,mlp,3,32,none,activation,1000,1,512,256,128,0.001,314159,0.2,0.29296875,0.34375,0.22265625,0.12109375,"{""0->0"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""0->1"":[27,28,18,25,8,29,23,26,20,31,2,9,19,13,5,21,0,6,3,15,1,22,16,11,17,7,30,14,10,24,4,12],""0->2"":[29,6,31,27,13,16,21,7,10,1,19,9,0,4,18,20,15,5,17,24,12,28,26,25,11,23,30,22,2,8,3,14],""1->0"":[16,20,10,13,30,14,28,8,4,11,2,17,31,9,3,19,7,6,25,5,27,22,1,18,29,12,15,0,21,24,26,23],""1->1"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],""1->2"":[28,23,24,4,13,27,2,22,7,31,18,21,12,9,15,30,5,26,6,11,10,20,25,3,1,14,19,29,17,8,16,0],""2->0"":[12,9,2,3,8,26,1,7,24,11,13,23,6,4,19,16,5,21,28,30,15,20,22,25,31,14,29,10,18,0,17,27],""2->1"":[31,26,6,23,3,15,18,12,29,27,20,5,19,13,25,4,2,28,10,22,21,7,14,1,24,30,11,17,8,0,16,9],""2->2"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]}",0.59823610385259,0.6134253144264221,"[{""pair"":""0-1"",""residual"":0.6048646569252014},{""pair"":""0-2"",""residual"":0.6134253144264221},{""pair"":""1-2"",""residual"":0.5764183402061462}]",injected_noise,0.25,True,0.9519716382329886,1,0.3368055555555556,negative_control_injected_alignment_noise,c2m3_synchronized,0.30859375,2.2609851360321045,0.30392156862745096,2.266001084271599,,[],False,True,True,False,False,True,1.0,1.0,internal C2M3-style global permutation synchronization before averaging,0.03515625,-0.015625,,0.05078125,-0.03515625,0.0
