dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,n_rows,n_unique_seeds,mean_cycle_score,std_cycle_score,mean_weight_merge_degradation,std_weight_merge_degradation,pearson_cycle_vs_weight_degradation,pearson_ci_low,pearson_ci_high,spearman_cycle_vs_weight_degradation,spearman_ci_low,spearman_ci_high,partial_pearson_control_mean_acc_alignment_residual,regression_cycle_beta_control_mean_acc_alignment_residual,mean_individual_accuracy,mean_pairwise_alignment_residual,claim_status,claim_supported,primary_evidence,method,mean_test_accuracy,std_test_accuracy,mean_delta_vs_weight_average,mean_delta_vs_greedy_soup,mean_delta_vs_c2m3_synchronized
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,30,30,0.9584611039577671,0.010287866977998278,0.48412,0.06279928837725518,-0.21554542346508432,-0.5113977838957025,0.09701418853233619,-0.19674981128785746,-0.5233159359445054,0.18165179506952567,-0.3375669155939214,-2.3377018986544336,0.8169422222222221,0.41500536269611776,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,30,30,0.9016683324190148,0.01688097212982751,0.48412,0.06279928837725518,-0.07620533296545116,-0.4221016166496427,0.2555302672785885,-0.06667520979900783,-0.436949247465331,0.3103874824220813,-0.0661782323135506,-0.24805566874490698,0.8169422222222221,0.28475600712829163,unsupported_descriptive,False,True,,,,,,
fashion_mnist,mlp2,3,128,none,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_none_activation,30,30,0.9603294521001622,0.01299244192766051,0.5593066666666666,0.05509389435683686,-0.16120088637509286,-0.4710403064762164,0.16772240000729302,-0.0777875092734163,-0.4244031260512298,0.28714708404527267,-0.20689651639299797,-0.8850624419949373,0.8320444444444444,0.4174995395872328,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,0.9083468868775069,0.02101148536351232,0.5593066666666666,0.05509389435683686,-0.11095979337166381,-0.35013917056672766,0.15457858443715736,-0.10565393229641032,-0.41686284504611265,0.23464466603992365,-0.13113944745276848,-0.36782374640000615,0.8320444444444444,0.29086597926086843,unsupported_descriptive,False,True,,,,,,
fashion_mnist,mlp2,4,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N4_W128_input_noise_activation,30,30,0.9612776045961741,0.007118389967383045,0.54086,0.07367430937626065,0.1584674295360935,-0.16329824620134198,0.5106823074279992,0.2551724137931034,-0.08800097259442602,0.5404242081544015,0.14911923557900555,1.4581398124927614,0.809855,0.4186482833491432,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,4,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N4_W128_input_noise_activation,30,30,0.9044924443536385,0.01101652080392998,0.54086,0.07367430937626065,0.11440501956475864,-0.19197368249372912,0.437167739986074,0.185761957730812,-0.18827051358931732,0.5245703295745733,0.15938915535596432,1.0076139774752595,0.809855,0.2815741914841864,unsupported_descriptive,False,True,,,,,,
fashion_mnist,mlp2,4,128,none,activation,injected_noise,0.15,fashion_mnist_mlp2_N4_W128_none_activation,30,30,0.9603351433007716,0.007301540772287105,0.62672,0.061582523270923166,-0.21278553088106855,-0.5690474056012271,0.1706922197285915,-0.25261520419504774,-0.5988501897896287,0.15804418456368052,-0.3296031922196745,-3.1493456710724166,0.8323650000000001,0.42105865379174545,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,4,128,none,activation,observed,0.0,fashion_mnist_mlp2_N4_W128_none_activation,30,30,0.9038710638456664,0.014753328375461826,0.62672,0.061582523270923166,-0.3024580522136198,-0.6461555189940987,0.06726120412648742,-0.30325954131364663,-0.634614294338986,0.08790194643281511,-0.29818503877506336,-1.2903612984063773,0.8323650000000001,0.28752119392156594,unsupported_descriptive,False,True,,,,,,
mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,mnist_mlp2_N3_W128_input_noise_activation,30,30,0.9595235439854675,0.012369395111163714,0.5014333333333334,0.09141718065845299,0.23576826089856867,-0.11614723451880278,0.5724158693466104,0.28677761312349936,-0.09122490709527545,0.6158981861670383,0.2562096346532644,1.8570944982137019,0.9173044444444444,0.44080224566989473,negative_control_not_primary_evidence,False,False,,,,,,
mnist,mlp2,3,128,input_noise,activation,observed,0.0,mnist_mlp2_N3_W128_input_noise_activation,30,30,0.9020296747338686,0.020467785441364135,0.5014333333333334,0.09141718065845299,0.298186613071069,-0.05187761674591005,0.5547209086421598,0.24623180880209686,-0.16196730730224854,0.588324265233969,0.2786807142933427,1.2038762171400472,0.9173044444444444,0.3247289846340815,unsupported_descriptive,False,True,,,,,,
mnist,mlp2,3,128,none,activation,injected_noise,0.15,mnist_mlp2_N3_W128_none_activation,30,30,0.9637386471710732,0.010862936775228238,0.60024,0.07434585348917912,0.24021613395137187,-0.1244367916365037,0.5956368374126135,0.33182851471543406,-0.06735822410825247,0.6875660194744406,0.27640421698809964,1.9910074914230167,0.9308688888888891,0.4377348270681169,negative_control_not_primary_evidence,False,False,,,,,,
