dataset,architecture,n_models,width,domain_shift,matching,summary_type,n_runs,n_unique_seeds,mean_accepted_candidates,mean_rejected_candidates,total_accepted_candidates,total_rejected_candidates,validation_monotonicity_violations,greedy_val_risk_le_best_single_val_risk_violations,test_proxy_bound_violations,rejected_candidates_unlogged,mean_validation_descent_margin_vs_best_val_risk,min_validation_descent_margin_vs_best_val_risk,mean_test_excess_risk_vs_best_test,mean_generalization_proxy_abs_gaps,mean_test_proxy_bound_margin,mean_greedy_test_accuracy,mean_best_validation_model_test_accuracy,mean_best_test_model_test_accuracy,diagnostic_selector_coverage,validation_descent_supported,rejected_margin_check_status,claim_decision
fashion_mnist,mlp2,3,128,input_noise,activation,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.0,0.05356666666666672,0.05356666666666672,0.8285666666666667,0.8285666666666667,0.8285666666666667,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
fashion_mnist,mlp2,3,128,input_noise,weight,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.0,0.05356666666666672,0.05356666666666672,0.8285666666666667,0.8285666666666667,0.8285666666666667,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
fashion_mnist,mlp2,3,128,none,activation,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.002316666666666667,0.04718333333333339,0.04486666666666673,0.8353,0.8353,0.8376166666666667,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
fashion_mnist,mlp2,3,128,none,weight,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.002316666666666667,0.04718333333333339,0.04486666666666673,0.8353,0.8353,0.8376166666666667,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
fashion_mnist,mlp2,4,128,input_noise,activation,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,6.666666666666672e-05,0.054516666666666706,0.05445000000000005,0.8282333333333333,0.8282333333333333,0.8283,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
fashion_mnist,mlp2,4,128,input_noise,weight,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,6.666666666666672e-05,0.054516666666666706,0.05445000000000005,0.8282333333333333,0.8282333333333333,0.8283,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
fashion_mnist,mlp2,4,128,none,activation,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,0.0033333333333333327,0.04623333333333337,0.04290000000000004,0.8354,0.8354,0.8387333333333333,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
fashion_mnist,mlp2,4,128,none,weight,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,0.0033333333333333327,0.04623333333333337,0.04290000000000004,0.8354,0.8354,0.8387333333333333,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,3,128,input_noise,activation,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.00011666666666666492,0.03488333333333336,0.0347666666666667,0.9180499999999999,0.9180499999999999,0.9181666666666667,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,3,128,input_noise,weight,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.00011666666666666492,0.03488333333333336,0.0347666666666667,0.9180499999999999,0.9180499999999999,0.9181666666666667,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,3,128,none,activation,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.0017833333333333369,0.038316666666666596,0.036533333333333265,0.922,0.922,0.9237833333333333,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,3,128,none,weight,setting_summary,30,30,1.0,2.0,30,60,0,0,0,60,0.0,0.0,0.0017833333333333369,0.038316666666666596,0.036533333333333265,0.922,0.922,0.9237833333333333,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,4,128,input_noise,activation,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,0.00033333333333333365,0.03546666666666666,0.03513333333333333,0.9184666666666668,0.9184666666666668,0.9188,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,4,128,input_noise,weight,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,0.00033333333333333365,0.03546666666666666,0.03513333333333333,0.9184666666666668,0.9184666666666668,0.9188,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,4,128,none,activation,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,0.001499999999999994,0.039916666666666614,0.03841666666666662,0.92255,0.92255,0.9240499999999999,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
mnist,mlp2,4,128,none,weight,setting_summary,30,30,1.0,3.0,30,90,0,0,0,90,0.0,0.0,0.001499999999999994,0.039916666666666614,0.03841666666666662,0.92255,0.92255,0.9240499999999999,0.0,True,not_empirically_logged_algorithm_implied,supports_empirical_validation_descent_final_only
