candidate_id,run_id,class_status,estimated_period,bootstrap_samples,bootstrap_detection_rate,bootstrap_same_class_rate,bootstrap_same_period_rate,bootstrap_coboundary_disagreement_rate,certification_floor,bootstrap_gate_passed,diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200:0-1-2:0,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200:0-1-2:1,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201:0-1-2:2,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201:0-1-2:3,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202:0-1-2:4,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202:0-1-2:5,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203:0-1-2:6,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203:0-1-2:7,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204:0-1-2:8,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204:0-1-2:9,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205:0-1-2:10,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4205:0-1-2:11,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4205,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206:0-1-2:12,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4206:0-1-2:13,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4206,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207:0-1-2:14,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4207:0-1-2:15,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4207,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208:0-1-2:16,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4208:0-1-2:17,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4208,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209:0-1-2:18,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4209:0-1-2:19,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4209,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210:0-1-2:20,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4210:0-1-2:21,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4210,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4211:0-1-2:22,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4211,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4211:0-1-2:23,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4211,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4212:0-1-2:24,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4212,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4212:0-1-2:25,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4212,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4213:0-1-2:26,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4213,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
