setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,group_source,inferred_group_order,group_degree,group_closure_status,group_inference_status,generator_count,generator_source,group_truncated,center_size,center_size_status,element_order_histogram_json,coefficient_group,coefficient_modulus,h2_exact,h2_size,h2_dimension
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4200,real_fixed_setting_triangle_maps,150,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""10"": 4, ""15"": 8, ""150"": 40, ""2"": 1, ""25"": 20, ""3"": 2, ""30"": 8, ""5"": 4, ""50"": 20, ""6"": 2, ""75"": 40}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3.0,64,none,monomial_activation,4200,real_fixed_setting_triangle_maps,90,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""10"": 4, ""15"": 8, ""18"": 6, ""2"": 1, ""3"": 2, ""30"": 8, ""45"": 24, ""5"": 4, ""6"": 2, ""9"": 6, ""90"": 24}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4201,real_fixed_setting_triangle_maps,156,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""12"": 4, ""13"": 12, ""156"": 48, ""2"": 1, ""26"": 12, ""3"": 2, ""39"": 24, ""4"": 2, ""52"": 24, ""6"": 2, ""78"": 24}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,fashion_mnist,mlp,3.0,64,none,monomial_activation,4201,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""115"": 16, ""12"": 2, ""138"": 8, ""1380"": 66, ""15"": 2, ""20"": 2, ""23"": 4, ""230"": 18, ""276"": 16, ""30"": 2, ""345"": 34, ""46"": 4, ""460"": 32, ""60"": 2, ""69"": 8, ""690"": 32, ""92"": 8}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4202,real_fixed_setting_triangle_maps,224,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""112"": 48, ""14"": 6, ""16"": 8, ""2"": 1, ""224"": 96, ""28"": 12, ""32"": 16, ""4"": 2, ""56"": 24, ""7"": 6, ""8"": 4}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,fashion_mnist,mlp,3.0,64,none,monomial_activation,4202,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""10"": 2, ""100"": 10, ""11"": 2, ""110"": 8, ""1100"": 92, ""20"": 2, ""22"": 2, ""220"": 18, ""25"": 4, ""275"": 48, ""44"": 6, ""50"": 4, ""55"": 10, ""550"": 48}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4203,real_fixed_setting_triangle_maps,120,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""10"": 4, ""12"": 4, ""120"": 32, ""15"": 8, ""2"": 1, ""20"": 8, ""24"": 8, ""3"": 2, ""30"": 8, ""4"": 2, ""40"": 16, ""5"": 4, ""6"": 2, ""60"": 16, ""8"": 4}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,fashion_mnist,mlp,3.0,64,none,monomial_activation,4203,real_fixed_setting_triangle_maps,228,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""114"": 36, ""12"": 4, ""19"": 18, ""2"": 1, ""228"": 72, ""3"": 2, ""38"": 18, ""4"": 2, ""57"": 36, ""6"": 2, ""76"": 36}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4204,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""11"": 2, ""114"": 8, ""1254"": 74, ""19"": 2, ""209"": 38, ""22"": 2, ""33"": 4, ""38"": 4, ""418"": 36, ""57"": 8, ""627"": 74, ""66"": 4}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,fashion_mnist,mlp,3.0,64,none,monomial_activation,4204,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""1092"": 22, ""117"": 6, ""126"": 2, ""156"": 4, ""1638"": 34, ""182"": 6, ""234"": 6, ""252"": 4, ""26"": 2, ""273"": 12, ""28"": 2, ""3276"": 70, ""36"": 2, ""364"": 10, ""39"": 2, ""42"": 2, ""468"": 10, ""52"": 2, ""546"": 10, ""63"": 4, ""78"": 2, ""819"": 34, ""84"": 2, ""91"": 6}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4205,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""10"": 4, ""13"": 8, ""130"": 30, ""15"": 6, ""195"": 64, ""26"": 8, ""30"": 4, ""39"": 16, ""390"": 64, ""5"": 2, ""6"": 2, ""65"": 32, ""78"": 16}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4205,fashion_mnist,mlp,3.0,64,none,monomial_activation,4205,real_fixed_setting_triangle_maps,46,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,46.0,exact,"{""1"": 1, ""2"": 1, ""23"": 22, ""46"": 22}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4206,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""10"": 2, ""105"": 10, ""1050"": 58, ""14"": 2, ""15"": 2, ""150"": 10, ""175"": 28, ""21"": 4, ""210"": 12, ""25"": 6, ""30"": 2, ""35"": 8, ""350"": 30, ""42"": 4, ""50"": 4, ""525"": 60, ""70"": 4, ""75"": 10}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4206,fashion_mnist,mlp,3.0,64,none,monomial_activation,4206,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""104"": 38, ""12"": 2, ""13"": 10, ""156"": 40, ""24"": 6, ""26"": 10, ""3"": 2, ""312"": 80, ""39"": 20, ""4"": 2, ""52"": 20, ""6"": 2, ""78"": 20, ""8"": 4}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4207,real_fixed_setting_triangle_maps,222,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""111"": 72, ""2"": 1, ""222"": 72, ""3"": 2, ""37"": 36, ""6"": 2, ""74"": 36}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4207,fashion_mnist,mlp,3.0,64,none,monomial_activation,4207,real_fixed_setting_triangle_maps,246,64,exact_closure,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,False,,skipped_large_or_truncated_group,"{""1"": 1, ""123"": 80, ""2"": 1, ""246"": 80, ""3"": 2, ""41"": 40, ""6"": 2, ""82"": 40}",Z/2Z,2,False,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4208,real_fixed_setting_triangle_maps,257,64,truncated_max_group_order,cyclic_residual_subgroup_after_truncation,1,first_residual_generator,True,,skipped_large_or_truncated_group,"{""1"": 1, ""12"": 4, ""144"": 42, ""16"": 8, ""18"": 6, ""24"": 6, ""288"": 86, ""3"": 2, ""32"": 14, ""36"": 10, ""4"": 2, ""48"": 14, ""6"": 2, ""72"": 22, ""8"": 4, ""9"": 6, ""96"": 28}",Z/2Z,2,False,,
