scope,dataset,architecture,n_models,width,domain_shift,alignment_source,n_rows,n_unique_seeds,cycle_score_mean,cycle_score_std,weight_degradation_mean,weight_degradation_std,pearson,spearman,c2m3_delta_vs_weight_mean,c2m3_delta_vs_greedy_mean,twisted_delta_vs_weight_mean,twisted_delta_vs_greedy_mean,greedy_delta_vs_weight_mean,rank_lift_result_type,pearson_ci_low,pearson_ci_high,spearman_ci_low,spearman_ci_high,cycle_score_predicts_degradation,c2m3_improves_weight_average,twisted_improves_weight_average,twisted_improves_greedy,statistical_status
overall_observed,ALL,ALL,,,ALL,ALL,10,5,0.9074424200972349,0.025662019663214485,0.621,0.08816348450464057,0.07201019904941154,0.05471149893120582,0.5951000000000001,-0.02370000000000001,0.6157000000000001,-0.0030999999999999917,0.6188,branch ensemble / extra capacity,-0.6630759280417904,0.8267154154582476,-0.6849441225165562,0.7697527651268704,unsupported,descriptive_positive_mean_delta,descriptive_positive_mean_delta,no_mean_gain,bootstrap CI crosses zero or correlations are weak
overall_all_alignment_variants,ALL,ALL,,,ALL,ALL,40,5,0.9452065268797393,0.034642068170016284,0.621,0.08816348450464058,-0.02998221468752328,-0.08865072005710091,0.529875,-0.08892500000000003,0.6107750000000001,-0.008025,0.6188,branch ensemble / extra capacity,-0.3102547566539312,0.26551178062307634,-0.4029748717145959,0.20837694845852603,not_interpretable,descriptive_positive_mean_delta,descriptive_positive_mean_delta,negative_mean_delta,alignment-injection negative control reuses the same trained models
overall_injected_negative_control,ALL,ALL,,,ALL,observed_plus_injected_noise,30,5,0.9577945624739073,0.027326718389081423,0.6210000000000002,0.08816348450464058,-0.07321907151902181,-0.08256000489093145,0.5081333333333334,-0.11066666666666672,0.6091333333333334,-0.009666666666666667,0.6188000000000001,branch ensemble / extra capacity,-0.3705955005312661,0.26284753733515337,-0.44967943007518657,0.24220411385980836,not_interpretable,descriptive_positive_mean_delta,descriptive_positive_mean_delta,negative_mean_delta,alignment-injection negative control reuses the same trained models
fixed_N_observed,ALL,ALL,3.0,,ALL,observed,5,5,0.9059087106060755,0.03470458252216431,0.5592,0.06960287350390071,-0.14772937728087238,-0.41039134083406165,0.5386,-0.018200000000000015,0.5568,0.0,0.5568000000000001,branch ensemble / extra capacity,-1.0,0.6938808714750828,,,unsupported,descriptive_positive_mean_delta,descriptive_positive_mean_delta,no_mean_gain,descriptive only: fewer than 10 repeated rows
fixed_N_observed,ALL,ALL,4.0,,ALL,observed,5,5,0.9089761295883942,0.010390665462142292,0.6828,0.055340401155033164,0.8575629358364417,0.7999999999999999,0.6516,-0.029200000000000004,0.6746000000000001,-0.006199999999999983,0.6808,branch ensemble / extra capacity,-0.09876214436583225,1.0,0.1111111111111111,1.0,unsupported,descriptive_positive_mean_delta,descriptive_positive_mean_delta,negative_mean_delta,descriptive only: fewer than 10 repeated rows
fixed_N_all_alignment_variants,ALL,ALL,3.0,,ALL,ALL,20,5,0.9449979201162476,0.03886104702611683,0.5591999999999999,0.06960287350390071,-0.16178292572186198,-0.28651348523404047,0.4915499999999999,-0.06525000000000004,0.55635,-0.00045000000000000595,0.5568000000000002,branch ensemble / extra capacity,-0.5593508235462735,0.27186420096292063,-0.6739292888644273,0.15763786480770228,not_interpretable,descriptive_positive_mean_delta,descriptive_positive_mean_delta,no_mean_gain,alignment-injection negative control reuses the same trained models
fixed_N_all_alignment_variants,ALL,ALL,4.0,,ALL,ALL,20,5,0.9454151336432309,0.02983081904109403,0.6828,0.055340401155033164,0.1385177349349213,0.16554762166094078,0.5682000000000001,-0.11260000000000003,0.6651999999999999,-0.015599999999999992,0.6808,branch ensemble / extra capacity,-0.22462595682951958,0.5073780421192968,-0.2907905285352102,0.519600487005907,not_interpretable,descriptive_positive_mean_delta,descriptive_positive_mean_delta,negative_mean_delta,alignment-injection negative control reuses the same trained models
fixed_dataset_arch_width_observed,mnist,mlp2,,128.0,ALL,observed,10,5,0.9074424200972349,0.025662019663214485,0.621,0.08816348450464057,0.07201019904941154,0.05471149893120582,0.5951000000000001,-0.02370000000000001,0.6157000000000001,-0.0030999999999999917,0.6188,branch ensemble / extra capacity,-0.582501460682725,0.8013448139354015,-0.606463143091527,0.7244358120606732,unsupported,descriptive_positive_mean_delta,descriptive_positive_mean_delta,no_mean_gain,bootstrap CI crosses zero or correlations are weak
fixed_dataset_arch_width_N_observed,mnist,mlp2,3.0,128.0,ALL,observed,5,5,0.9059087106060755,0.03470458252216431,0.5592,0.06960287350390071,-0.14772937728087238,-0.41039134083406165,0.5386,-0.018200000000000015,0.5568,0.0,0.5568000000000001,branch ensemble / extra capacity,-1.0,1.0,,,unsupported,descriptive_positive_mean_delta,descriptive_positive_mean_delta,no_mean_gain,descriptive only: fewer than 10 repeated rows
fixed_dataset_arch_width_N_observed,mnist,mlp2,4.0,128.0,ALL,observed,5,5,0.9089761295883942,0.010390665462142292,0.6828,0.055340401155033164,0.8575629358364417,0.7999999999999999,0.6516,-0.029200000000000004,0.6746000000000001,-0.006199999999999983,0.6808,branch ensemble / extra capacity,-0.09876214436583225,1.0,0.1111111111111111,1.0,unsupported,descriptive_positive_mean_delta,descriptive_positive_mean_delta,negative_mean_delta,descriptive only: fewer than 10 repeated rows
