dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,monomial_method,monomial_scale_method,baseline_method,comparison,mean_delta,std_delta,bootstrap_ci_low,bootstrap_ci_high,n_paired_seeds,wins,ties,losses,claim_status,claim_supported
mnist,mlp2,3,128,none,monomial_activation_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_activation_mlp2,monomial_gauge_ref0_raw,raw,c2m3_synchronized,monomial_gauge_ref0_raw - c2m3_synchronized,0.01080000000000001,0.007190271204899026,0.005400000000000005,0.016200000000000013,5,5,0,0,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_activation_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_activation_mlp2,monomial_gauge_ref0_raw,raw,greedy_soup,monomial_gauge_ref0_raw - greedy_soup,-0.028999999999999936,0.00774596669241483,-0.03551499999999993,-0.02399999999999993,5,0,0,5,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_activation_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_activation_mlp2,monomial_gauge_ref0_raw,raw,weight_average,monomial_gauge_ref0_raw - weight_average,0.31040000000000006,0.10552393093512011,0.23180000000000006,0.39160000000000006,5,5,0,0,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_global_ls_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,monomial_gauge_ref0_global_synchronized,global_synchronized,c2m3_synchronized,monomial_gauge_ref0_global_synchronized - c2m3_synchronized,0.009400000000000009,0.011588787684654519,0.0008000000000000007,0.018400000000000017,5,4,0,1,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_global_ls_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,monomial_gauge_ref0_global_synchronized,global_synchronized,greedy_soup,monomial_gauge_ref0_global_synchronized - greedy_soup,-0.030399999999999937,0.008049844718999284,-0.03639999999999997,-0.02359999999999991,5,0,0,5,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_global_ls_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,monomial_gauge_ref0_global_synchronized,global_synchronized,weight_average,monomial_gauge_ref0_global_synchronized - weight_average,0.30900000000000005,0.1060565886685028,0.22798000000000007,0.39039999999999997,5,5,0,0,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,monomial_gauge_ref0_shrinkage,shrinkage,c2m3_synchronized,monomial_gauge_ref0_shrinkage - c2m3_synchronized,0.009800000000000008,0.010940749517286292,0.001200000000000001,0.018400000000000017,5,4,0,1,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,monomial_gauge_ref0_shrinkage,shrinkage,greedy_soup,monomial_gauge_ref0_shrinkage - greedy_soup,-0.029999999999999936,0.005830951894845325,-0.03479999999999994,-0.025999999999999912,5,0,0,5,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,monomial_gauge_ref0_shrinkage,shrinkage,weight_average,monomial_gauge_ref0_shrinkage - weight_average,0.3094,0.10443083835725919,0.23038000000000006,0.38960000000000006,5,5,0,0,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_weight_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_weight_mlp2,monomial_gauge_ref0_raw,raw,c2m3_synchronized,monomial_gauge_ref0_raw - c2m3_synchronized,-0.0027999999999999805,0.0035637059362410785,-0.0053999999999999725,0.00010499999999999555,5,1,1,3,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_weight_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_weight_mlp2,monomial_gauge_ref0_raw,raw,greedy_soup,monomial_gauge_ref0_raw - greedy_soup,-0.18199999999999994,0.052683014340487375,-0.2281999999999999,-0.15039999999999995,5,0,0,5,unsupported_descriptive_n_below_20,False
mnist,mlp2,3,128,none,monomial_weight_mlp2,observed,0.0,mnist_mlp2_N3_W128_none_monomial_weight_mlp2,monomial_gauge_ref0_raw,raw,weight_average,monomial_gauge_ref0_raw - weight_average,0.15740000000000007,0.11038704634149787,0.07660000000000006,0.24808499999999992,5,5,0,0,unsupported_descriptive_n_below_20,False
