setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,epochs,max_train_samples,max_test_samples,batch_size,lr,optimizer,weight_decay,scheduler,step_size,gamma,augmentation,dataset_seed,val_fraction,mean_individual_accuracy,single_best_accuracy,single_worst_accuracy,individual_accuracy_spread,primary_alignment_layer,monomial_scale_methods,monomial_scale_method,pairwise_alignment_residual_mean,pairwise_alignment_residual_max,activation_assignment_similarity_mean,activation_assignment_similarity_min,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k,triangle_defect_count,triangle_defect_rate,cycle_defect,cycle_score,is_injected_alignment_control,monomial_defect_score,monomial_cycle_trace,monomial_cycle_determinant,monomial_average_defect_score
mnist_mlp2_N3_W128_none_monomial_activation_mlp2,mnist_mlp2_N3_W128_none_monomial_activation_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_activation_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,raw,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,permutation,0-1-2,0,1,2,105.0,0.8203125,0.90571104663684,0.90571104663684,,,,,
mnist_mlp2_N3_W128_none_monomial_activation_mlp2,mnist_mlp2_N3_W128_none_monomial_activation_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_activation_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,raw,raw,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,monomial,,0,1,2,,,,,False,1.3234498662557534,18.572973794921843,-4.42524963865317e-12,1.3234498662557534
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,permutation,0-1-2,0,1,2,105.0,0.8203125,0.90571104663684,0.90571104663684,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,shrinkage,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,monomial,,0,1,2,,,,,False,1.2559795645235652,20.636805883126733,-2.850732699421711e-06,1.2559795645235652
mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_global_ls_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,global_synchronized,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,permutation,0-1-2,0,1,2,105.0,0.8203125,0.90571104663684,0.90571104663684,,,,,
mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_global_ls_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,global_synchronized,global_synchronized,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,monomial,,0,1,2,,,,,False,1.2936480530065717,23.0,-1.0000000000000009,1.2936480530065717
mnist_mlp2_N3_W128_none_monomial_weight_mlp2,mnist_mlp2_N3_W128_none_monomial_weight_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_weight_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,raw,none,0.6687784790992737,0.6932525634765625,0.0810559324030085,-0.7088322639465332,observed,0.0,permutation,0-1-2,0,1,2,126.0,0.984375,0.9921567416492216,0.9921567416492216,,,,,
mnist_mlp2_N3_W128_none_monomial_weight_mlp2,mnist_mlp2_N3_W128_none_monomial_weight_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_weight_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,raw,raw,0.6687784790992737,0.6932525634765625,0.0810559324030085,-0.7088322639465332,observed,0.0,monomial,,0,1,2,,,,,False,1.4107601246966088,1.9999999301027485,-1.0000015287467627,1.4107601246966088
mnist_mlp2_N3_W128_none_monomial_activation_mlp2,mnist_mlp2_N3_W128_none_monomial_activation_mlp2_seed9301,mnist,mlp2,3,128,none,monomial_activation_mlp2,9301,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9316666666666666,0.9326,0.9302,0.0023999999999999,hidden2,raw,none,0.3201907873153686,0.3239103257656097,0.7167939046824662,0.0,observed,0.0,permutation,0-1-2,0,1,2,110.0,0.859375,0.927024810886958,0.927024810886958,,,,,
mnist_mlp2_N3_W128_none_monomial_activation_mlp2,mnist_mlp2_N3_W128_none_monomial_activation_mlp2_seed9301,mnist,mlp2,3,128,none,monomial_activation_mlp2,9301,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9316666666666666,0.9326,0.9302,0.0023999999999999,hidden2,raw,raw,0.3201907873153686,0.3239103257656097,0.7167939046824662,0.0,observed,0.0,monomial,,0,1,2,,,,,False,1.7159821056515627,14.88186812803674,1.1650851721144568e-12,1.7159821056515627
