source,setting_id,case_family,method,seed,n_models,width,block_size,partition_method,observed_cycle_score,observed_centrality_score,observed_scalar_projective_candidate,observed_detected_orders,projected_cycle_score,projected_centrality_score,projected_scalar_projective_candidate,connection_residual,initial_connection_residual,max_connection_residual,objective_value,n_iterations,accepted_sync,calibrated_threshold,evidence_label,expected_outcome,claim_status,merge_accuracy,logit_max_abs_diff,same_parameter_count,exact_same_architecture_symmetry,capacity_matched_to_weight_average,notes,block_recovery_exact,validation_block_residual
synthetic_control,exact_global_block_gauges,exact_global_block_gauges,spectral,44,3,4,2,contiguous,1.6184142622847344e-16,1.1775693440128312e-16,False,1,4.023654182875706e-16,4.023654182875706e-16,False,2.830929582183921e-16,2.830929582183921e-16,7.651684148563109e-16,,0,True,4.239635471917079e-16,global_gauge_consistent,accepted: planted gauges recovered,,,,,,,,,
synthetic_control,exact_global_block_gauges,exact_global_block_gauges,residual_optimized,44,3,4,2,contiguous,1.6184142622847344e-16,1.1775693440128312e-16,False,1,2.449061296459628e-16,2.0369115069645926e-16,False,8.834526040544369e-17,2.830929582183921e-16,1.7390583459383148e-16,7.804885036105656e-33,3,True,4.239635471917079e-16,global_gauge_consistent,accepted: planted gauges recovered,,,,,,,,,
synthetic_control,noisy_pairwise_observations_from_global_gauges,noisy_globally_generated_gauges,spectral,0,4,4,2,contiguous,0.9529714112063359,0.8208477828605445,False,1,4.74250363523265e-16,3.453261760643757e-16,False,0.26629279816562723,0.26629279816562723,0.9911179700478824,,0,False,4.239635471917079e-16,projected_cycle_only_connection_large,descriptive: optimize residual if it beats spectral,,,,,,,,,
synthetic_control,noisy_pairwise_observations_from_global_gauges,noisy_globally_generated_gauges,residual_optimized,0,4,4,2,contiguous,0.9529714112063359,0.8208477828605445,False,1,2.294894857719955e-16,2.0064588553947083e-16,False,0.26365211697352936,0.26629279816562723,0.8917643511961755,0.06951243878462361,9,False,4.239635471917079e-16,projected_cycle_only_connection_large,descriptive: optimize residual if it beats spectral,,,,,,,,,
synthetic_control,noncentral_holonomy,noncentral_holonomy,residual_optimized,52,3,2,2,contiguous,0.778836684617301,0.7173560908995228,False,1,4.835824844929745e-16,2.9315627160178275e-16,False,0.17596920301551539,0.1772514968297522,0.5702830269517484,0.03096516040991567,4,False,4.239635471917079e-16,projected_cycle_only_connection_large,rejected: noncentral connection residual remains large,,,,,,,,,
synthetic_control,scalar_block_phase_mu2,scalar_block_phase_before_projection,residual_optimized,53,3,4,2,contiguous,2.0,0.0,True,2,4.98494626757577e-16,2.264545574743928e-16,False,0.5078522624318847,0.6696354347929158,1.9760921937120446,0.2579139204571839,5,False,4.239635471917079e-16,observed_scalar_projective_candidate,detected before projection: central mu2 candidate,,,,,,,,,
synthetic_control,fake_projection_trap,fake_projection_trap,residual_optimized,7,4,4,2,contiguous,0.9968340233343393,0.6728231320378417,False,"1,2",3.3994703357525654e-16,3.0369937554043993e-16,False,0.27939509620296804,0.31276685998069553,1.9051417395734342,0.07806161978226576,9,False,4.239635471917079e-16,projected_cycle_only_connection_large,rejected: projected cycles alone are insufficient,,,,,,,,,
learned_block_control,learned_noncontiguous_block_positive_control,learned_noncontiguous_blocks,contiguous,21,2,4,2,contiguous,,,,,,,,,,,,0,,,candidate,learned partition recovers non-contiguous planted blocks,control,,,,,,validation_residual=0.957189; used_test_metrics=False,False,0.9571888124441943
learned_block_control,learned_noncontiguous_block_positive_control,learned_noncontiguous_blocks,learned,21,2,4,2,global_activation_residual_greedy,,,,,,,,,,,,0,,,validation_selected_blocks,learned partition recovers non-contiguous planted blocks,supported,,,,,,validation_residual=0.000208164; used_test_metrics=False,True,0.0002081644329836041
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,0,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
