dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,n_rows,n_unique_seeds,mean_cycle_score,std_cycle_score,mean_weight_merge_degradation,std_weight_merge_degradation,pearson_cycle_vs_weight_degradation,pearson_ci_low,pearson_ci_high,spearman_cycle_vs_weight_degradation,spearman_ci_low,spearman_ci_high,partial_pearson_control_mean_acc_alignment_residual,regression_cycle_beta_control_mean_acc_alignment_residual,mean_individual_accuracy,mean_pairwise_alignment_residual,claim_status,claim_supported,primary_evidence,method,mean_test_accuracy,std_test_accuracy,mean_delta_vs_weight_average,mean_delta_vs_greedy_soup,mean_delta_vs_c2m3_synchronized,preregistration_role,setting_description,claim_decision
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,0.909531398029026,0.022641624438782346,0.46702000000000005,0.07393860611131516,0.44478873366295046,-0.09960408726052057,0.7631557238423646,0.2840986283777014,-0.22959590763857754,0.6870649705824131,0.5080252404101425,1.595043843576891,0.8163600000000001,0.2870951116085052,unsupported_descriptive,False,True,,,,,,,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,setting_specific_only
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,0.9106034688513879,0.019096920929017346,0.5305833333333333,0.0657703275702696,0.07160500728847223,-0.15971784562060148,0.3030514045381583,0.11979436982918763,-0.1499850213719143,0.36382714179622955,0.12862502065557901,0.46198660621398296,0.8320744444444446,0.2892883800797993,unsupported_descriptive,False,True,,,,,,,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",failed_replication
fashion_mnist,mlp2,3,128,none,weight,observed,0.0,fashion_mnist_mlp2_N3_W128_none_weight,60,60,0.988783426897833,0.006512805548524414,0.5305833333333333,0.0657703275702696,-0.140040208410666,-0.4116388749802671,0.15569111368789978,-0.14830090764166579,-0.4175250915198422,0.1457610544454814,-0.17546655895448457,-1.986684394357542,0.8320744444444446,0.6587683151165645,unsupported_descriptive,False,True,,,,,,,neighbor_control,Same primary setting with weight matching.,setting_specific_only
fashion_mnist,mlp2,4,128,none,activation,observed,0.0,fashion_mnist_mlp2_N4_W128_none_activation,20,20,0.9078497993281929,0.01034747885211723,0.62694,0.07621963001746991,-0.0018385672521201426,-0.40305410538830866,0.40252695148072976,-0.06616541353383458,-0.5060712993227041,0.3666844512195122,0.14072211390379177,0.9913275620576782,0.8322200000000001,0.28966664274533593,unsupported_descriptive,False,True,,,,,,,neighbor_control,Fashion-MNIST N=4 no-shift activation control.,setting_specific_only
mnist,mlp2,3,128,none,activation,observed,0.0,mnist_mlp2_N3_W128_none_activation,20,20,0.9053111521316378,0.018739005930118725,0.6300600000000001,0.07412038855807491,-0.01915617751609066,-0.33035448760512093,0.40137555336634706,0.051399056569193184,-0.3553629111758463,0.46949854188085055,-0.04514040622193302,-0.22163224160091358,0.9305666666666668,0.32185680071512857,unsupported_descriptive,False,True,,,,,,,neighbor_control,MNIST N=3 no-shift activation control.,setting_specific_only
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,c2m3_cluster_branch_ensemble_2,0.81288,0.0052392848045470794,0.45258000000000004,-0.014440000000000014,0.03578999999999998,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,c2m3_synchronized,0.7770900000000001,0.013731941251196629,0.41678999999999994,-0.05023,0.0,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,ensemble_upper_bound,0.819,0.0017387230644173564,0.4587,-0.008319999999999994,0.04191,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,git_rebasin_pairwise_ref0,0.7795799999999999,0.01250564504112991,0.41928,-0.04773999999999999,0.0024900000000000035,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,greedy_soup,0.82732,0.0029188317778468266,0.46702000000000005,0.0,0.05023,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,random_branch_ensemble_2,0.8135,0.004649617980912089,0.4532000000000001,-0.013819999999999994,0.036410000000000005,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,twisted_rank_lift_2,0.8126599999999999,0.005170401592872546,0.45236,-0.014660000000000017,0.03556999999999998,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,validation_branch_ensemble_2,0.8236399999999999,0.0021808737988053776,0.4633400000000001,-0.0036799999999999945,0.04655,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,weight_average,0.36029999999999995,0.0754684318806633,0.0,-0.46702000000000005,-0.41678999999999994,neighbor_control,Fashion-MNIST N=3 input-noise activation control.,
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,c2m3_cluster_branch_ensemble_2,0.8256033333333334,0.0033582666365641447,0.52249,-0.006946666666666668,0.04111666666666666,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,c2m3_synchronized,0.7844866666666667,0.025321803204237336,0.48137333333333326,-0.048063333333333326,0.0,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,ensemble_upper_bound,0.8326066666666667,0.0016046401641792419,0.5294933333333334,5.666666666667153e-05,0.04811999999999999,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,git_rebasin_pairwise_ref0,0.7849433333333334,0.02636672509225208,0.4818300000000001,-0.047606666666666665,0.0004566666666666663,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,greedy_soup,0.8325499999999998,0.0019746271907306713,0.5294366666666666,0.0,0.048063333333333326,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,random_branch_ensemble_2,0.8262666666666666,0.0027977392002773173,0.5231533333333334,-0.006283333333333332,0.04178,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,twisted_rank_lift_2,0.8256366666666668,0.003669848131835222,0.5225233333333335,-0.006913333333333335,0.04114999999999999,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,validation_branch_ensemble_2,0.83268,0.001677447617207338,0.5295666666666666,0.00013000000000000788,0.04819333333333334,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,60,60,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,weight_average,0.3031133333333333,0.06587649838560047,0.0,-0.5294366666666666,-0.48137333333333326,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",
