setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,epochs,max_train_samples,max_test_samples,batch_size,lr,optimizer,weight_decay,scheduler,step_size,gamma,augmentation,dataset_seed,val_fraction,mean_individual_accuracy,single_best_accuracy,single_worst_accuracy,individual_accuracy_spread,primary_alignment_layer,monomial_scale_methods,monomial_scale_method,pairwise_alignment_residual_mean,pairwise_alignment_residual_max,activation_assignment_similarity_mean,activation_assignment_similarity_min,pairwise_alignment_residual_json,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k,triangle_defect_count,triangle_defect_rate,cycle_defect,cycle_score,preregistration_role,setting_description,large_field_shard,large_field_row
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4000,fashion_mnist,mlp2,3,128,none,activation,4000,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8320666666666666,0.834,0.8306,0.0033999999999999586,hidden2,,none,0.2828731934229533,0.29117316007614136,0.7103630997783815,0.0,"[{""assigned_similarity_mean"":0.7070177699206397,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.2731287479400635},{""assigned_similarity_mean"":0.7135594529099762,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.28431767225265503},{""assigned_similarity_mean"":0.7105120765045285,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.29117316007614136}]",observed,0.0,permutation,0-1-2,0,1,2,107,0.8359375,0.9142961773954871,0.9142961773954871,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,1
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4000,fashion_mnist,mlp2,3,128,none,weight,4000,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8320666666666666,0.834,0.8306,0.0033999999999999586,hidden2,,none,0.6441484093666077,0.6733636260032654,0.1286796272659861,-0.702848494052887,"[{""assigned_similarity_mean"":0.12981045639253352,""assigned_similarity_min"":-0.702848494052887,""pair"":""0-1"",""residual"":0.6409529447555542},{""assigned_similarity_mean"":0.06669617326770094,""assigned_similarity_min"":-0.6984816193580627,""pair"":""0-2"",""residual"":0.6733636260032654},{""assigned_similarity_mean"":0.18953225213772384,""assigned_similarity_min"":-0.5605258345603943,""pair"":""1-2"",""residual"":0.6181286573410034}]",observed,0.0,permutation,0-1-2,0,1,2,126,0.984375,0.9921567416492215,0.9921567416492215,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,2
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4001,fashion_mnist,mlp2,3,128,none,activation,4001,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8335333333333333,0.8358,0.8306,0.005199999999999982,hidden2,,none,0.2873748739560445,0.29733821749687195,0.7256622568238527,0.0,"[{""assigned_similarity_mean"":0.7340378849767148,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.28087395429611206},{""assigned_similarity_mean"":0.7183186141774058,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.29733821749687195},{""assigned_similarity_mean"":0.7246302713174373,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.28391245007514954}]",observed,0.0,permutation,0-1-2,0,1,2,104,0.8125,0.9013878188659973,0.9013878188659973,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,3
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4001,fashion_mnist,mlp2,3,128,none,weight,4001,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8335333333333333,0.8358,0.8306,0.005199999999999982,hidden2,,none,0.6693853735923767,0.7077640891075134,0.08006038924850145,-0.7636407613754272,"[{""assigned_similarity_mean"":-0.008651110038954357,""assigned_similarity_min"":-0.7636407613754272,""pair"":""0-1"",""residual"":0.7077640891075134},{""assigned_similarity_mean"":0.1099279448571906,""assigned_similarity_min"":-0.687296450138092,""pair"":""0-2"",""residual"":0.6613647937774658},{""assigned_similarity_mean"":0.13890433292726811,""assigned_similarity_min"":-0.6917918920516968,""pair"":""1-2"",""residual"":0.6390272378921509}]",observed,0.0,permutation,0-1-2,0,1,2,123,0.9609375,0.9802741963348827,0.9802741963348827,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,4
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4002,fashion_mnist,mlp2,3,128,none,activation,4002,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8328666666666668,0.8348,0.8312,0.0035999999999999366,hidden2,,none,0.29629825552304584,0.30181413888931274,0.7301857649193456,0.0,"[{""assigned_similarity_mean"":0.7213163650594652,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.2879437208175659},{""assigned_similarity_mean"":0.7309810456354171,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.2991369068622589},{""assigned_similarity_mean"":0.7382598840631545,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.30181413888931274}]",observed,0.0,permutation,0-1-2,0,1,2,105,0.8203125,0.9057110466368399,0.9057110466368399,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,5
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4002,fashion_mnist,mlp2,3,128,none,weight,4002,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8328666666666668,0.8348,0.8312,0.0035999999999999366,hidden2,,none,0.662004828453064,0.6838060617446899,0.09973376518382793,-0.7475894093513489,"[{""assigned_similarity_mean"":0.10271840189716386,""assigned_similarity_min"":-0.7475894093513489,""pair"":""0-1"",""residual"":0.655645489692688},{""assigned_similarity_mean"":0.07099132392249885,""assigned_similarity_min"":-0.6022757291793823,""pair"":""0-2"",""residual"":0.6838060617446899},{""assigned_similarity_mean"":0.12549156973182107,""assigned_similarity_min"":-0.6854488849639893,""pair"":""1-2"",""residual"":0.646562933921814}]",observed,0.0,permutation,0-1-2,0,1,2,126,0.984375,0.9921567416492215,0.9921567416492215,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,6
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4003,fashion_mnist,mlp2,3,128,none,activation,4003,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8337333333333333,0.8354,0.8312,0.0041999999999999815,hidden2,,none,0.2895089288552602,0.2982002794742584,0.6812284166226164,0.0,"[{""assigned_similarity_mean"":0.6924665621481836,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.2982002794742584},{""assigned_similarity_mean"":0.6798855406232178,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.2748805284500122},{""assigned_similarity_mean"":0.6713331470964476,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.29544597864151}]",observed,0.0,permutation,0-1-2,0,1,2,110,0.859375,0.9270248108869579,0.9270248108869579,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,7
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4003,fashion_mnist,mlp2,3,128,none,weight,4003,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8337333333333333,0.8354,0.8312,0.0041999999999999815,hidden2,,none,0.6221794684727987,0.647046685218811,0.17386555531932876,-0.6870086193084717,"[{""assigned_similarity_mean"":0.1867504964757245,""assigned_similarity_min"":-0.577977180480957,""pair"":""0-1"",""residual"":0.615939199924469},{""assigned_similarity_mean"":0.19614924347661145,""assigned_similarity_min"":-0.6317775249481201,""pair"":""0-2"",""residual"":0.603552520275116},{""assigned_similarity_mean"":0.1386969260056503,""assigned_similarity_min"":-0.6870086193084717,""pair"":""1-2"",""residual"":0.647046685218811}]",observed,0.0,permutation,0-1-2,0,1,2,124,0.96875,0.9842509842514764,0.9842509842514764,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,8
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4004,fashion_mnist,mlp2,3,128,none,activation,4004,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8319333333333333,0.833,0.8298,0.0031999999999999806,hidden2,,none,0.29467342297236127,0.3030625879764557,0.6963735442938438,0.0,"[{""assigned_similarity_mean"":0.7202563941245899,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.28527674078941345},{""assigned_similarity_mean"":0.6861380012705922,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.2956809401512146},{""assigned_similarity_mean"":0.6827262374863494,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.3030625879764557}]",observed,0.0,permutation,0-1-2,0,1,2,98,0.765625,0.875,0.875,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,9
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4004,fashion_mnist,mlp2,3,128,none,weight,4004,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8319333333333333,0.833,0.8298,0.0031999999999999806,hidden2,,none,0.6782279213269552,0.7047866582870483,0.07562455180292697,-0.7397682666778564,"[{""assigned_similarity_mean"":0.1322714990037639,""assigned_similarity_min"":-0.7397682666778564,""pair"":""0-1"",""residual"":0.6522216200828552},{""assigned_similarity_mean"":0.07802184064712492,""assigned_similarity_min"":-0.6980823874473572,""pair"":""0-2"",""residual"":0.6776754856109619},{""assigned_similarity_mean"":0.016580315757892095,""assigned_similarity_min"":-0.7056760191917419,""pair"":""1-2"",""residual"":0.7047866582870483}]",observed,0.0,permutation,0-1-2,0,1,2,125,0.9765625,0.9882117688026185,0.9882117688026185,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,10
