dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,rank_method,baseline_method,comparison,branch_count,mean_delta,std_delta,bootstrap_ci_low,bootstrap_ci_high,n_paired_seeds,wins,ties,losses,baseline_ci_lower_positive,rank_lift_capacity_matched_claim_supported,claim_status
fashion_mnist,mlp,3,64,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0007333333333333266,0.010010970993359493,-0.0029175000000000047,0.004250416666666666,30,8,14,8,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.009766666666666675,0.009466577626260894,-0.013233750000000018,-0.006500000000000006,30,4,0,26,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.0028166666666666674,0.006788026138029724,0.0006329166666666674,0.005449999999999999,30,8,21,1,True,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0011166666666666768,0.0064683357841172715,-0.0010837499999999842,0.003450416666666684,30,12,10,8,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.011283333333333334,0.005120417772108005,-0.013016666666666666,-0.00955000000000001,30,0,0,30,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.0002666666666666669,0.0016595249285580953,-0.00010000000000000009,0.0009000000000000008,30,1,28,1,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.002116666666666667,0.012860446802270246,-0.0021512499999999926,0.0066679166666666475,30,11,7,12,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.007750000000000012,0.009512015994302264,-0.011250416666666681,-0.0045500000000000245,30,4,0,26,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-8.333333333333526e-05,0.008478251419156948,-0.003000416666666665,0.0030670833333333375,30,6,17,7,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0012666666666666566,0.01074607653609167,-0.0024837500000000185,0.005050416666666655,30,12,8,10,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.00721666666666669,0.007515137979476804,-0.009750416666666699,-0.0046500000000000395,30,4,0,26,False,False,unsupported_ci_crosses_zero_or_negative
