dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,n_rows,n_unique_seeds,mean_cycle_score,std_cycle_score,mean_weight_merge_degradation,std_weight_merge_degradation,pearson_cycle_vs_weight_degradation,pearson_ci_low,pearson_ci_high,spearman_cycle_vs_weight_degradation,spearman_ci_low,spearman_ci_high,partial_pearson_control_mean_acc_alignment_residual,regression_cycle_beta_control_mean_acc_alignment_residual,mean_individual_accuracy,mean_pairwise_alignment_residual,claim_status,claim_supported,primary_evidence,method,mean_test_accuracy,std_test_accuracy,mean_delta_vs_weight_average,mean_delta_vs_greedy_soup,mean_delta_vs_c2m3_synchronized
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,0.9628951690372493,0.013635998978231844,0.46093,0.06817736234881856,0.3125111558775563,-0.20852115679179994,0.70823893837501,0.25899817152772453,-0.23084917501878885,0.6600471644046761,0.2618615170603226,1.3939039994265392,0.8162800000000001,0.4098153640826544,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,3,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,0.9093630313550717,0.020586843134056627,0.46093,0.06817736234881856,0.17929632638596332,-0.282765367096309,0.5559756929427772,0.1413985518581824,-0.3331155996131486,0.5764651659375574,0.15725335443310928,0.5128726315380642,0.8162800000000001,0.28304826915264125,unsupported_descriptive,False,True,,,,,,
fashion_mnist,mlp2,3,128,none,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_none_activation,20,20,0.9610993501694963,0.011057938504566083,0.5608600000000001,0.05411753680161066,0.003439267828489562,-0.36832212863149827,0.3477834555023648,-0.005329693465023701,-0.4660746482351823,0.46200074903801136,0.037427584904021094,0.17948753685833024,0.8322800000000001,0.41371256063381834,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,20,20,0.900618625311267,0.025232429894124622,0.5608600000000001,0.05411753680161066,0.0058498711237379725,-0.3235489805556297,0.29734600230280844,-0.012093895663339573,-0.42886801873952046,0.4094653782431039,-0.15052672035166695,-0.32552023404826563,0.8322800000000001,0.29014401336510975,unsupported_descriptive,False,True,,,,,,
fashion_mnist,mlp2,4,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N4_W128_input_noise_activation,20,20,0.9599053701635791,0.006705477835963844,0.53104,0.06762324732625143,0.07458143562310071,-0.39721260833086675,0.3970488032856166,0.0458819137373688,-0.4208217938354121,0.5000094625283874,0.22115782826435165,2.2813508613871645,0.8094975,0.41832035034894943,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,4,128,input_noise,activation,observed,0.0,fashion_mnist_mlp2_N4_W128_input_noise_activation,20,20,0.9032876090363413,0.010606993207840936,0.53104,0.06762324732625143,0.01423290519036038,-0.3648774670850081,0.3802500217787371,0.05413533834586466,-0.3955996054406202,0.504980578827113,0.15925551162984453,1.0505458632996267,0.8094975,0.2822905602554481,unsupported_descriptive,False,True,,,,,,
fashion_mnist,mlp2,4,128,none,activation,injected_noise,0.15,fashion_mnist_mlp2_N4_W128_none_activation,20,20,0.9600694518971562,0.006435007404953273,0.6336999999999999,0.07751184629325683,-0.07705641241258832,-0.5394785327643238,0.4549274946771881,0.027830013250535177,-0.47184619588272136,0.5346776675520799,-0.07462076006565051,-0.9627684005563362,0.83231,0.4205737945934137,negative_control_not_primary_evidence,False,False,,,,,,
fashion_mnist,mlp2,4,128,none,activation,observed,0.0,fashion_mnist_mlp2_N4_W128_none_activation,20,20,0.9041705740866632,0.010283466474136239,0.6336999999999999,0.07751184629325683,-0.34488706519466383,-0.6719520107203822,0.10503821536022943,-0.21654135338345865,-0.6388876178870312,0.31195634029115704,-0.3356285945253512,-2.6586844978665436,0.83231,0.28718003009756404,unsupported_descriptive,False,True,,,,,,
mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,mnist_mlp2_N3_W128_input_noise_activation,20,20,0.9604845274064375,0.011503894664653212,0.51154,0.10377911969279045,0.32955749125906797,-0.10825391257880852,0.7531866341437077,0.436362502404356,-0.047527884643185525,0.7595718391645383,0.418226067100576,3.272197367878173,0.9170433333333333,0.4426817685365677,negative_control_not_primary_evidence,False,False,,,,,,
mnist,mlp2,3,128,input_noise,activation,observed,0.0,mnist_mlp2_N3_W128_input_noise_activation,20,20,0.9042838280240817,0.01587810057953389,0.51154,0.10377911969279045,0.45860975841364043,0.004901765627016163,0.7356020852557902,0.3496099562334786,-0.16414392217735746,0.7053227561268256,0.4851455426744024,2.7820899303806197,0.9170433333333333,0.3250867784023285,supported_fixed_setting_observed,True,True,,,,,,
mnist,mlp2,3,128,none,activation,injected_noise,0.15,mnist_mlp2_N3_W128_none_activation,20,20,0.9688262500206815,0.007076445053391198,0.6023700000000001,0.07907414974500032,0.37182226853878747,-0.20257757105477517,0.7493762946454325,0.2871615085962797,-0.2175802109042814,0.7006411680191119,0.41818418173051647,5.057573752999462,0.9309133333333335,0.4388560265302659,negative_control_not_primary_evidence,False,False,,,,,,
mnist,mlp2,3,128,none,activation,observed,0.0,mnist_mlp2_N3_W128_none_activation,20,20,0.9107053042198656,0.017869375914716715,0.6023700000000001,0.07907414974500032,0.2952959996819216,-0.30987169744271115,0.6666365689250698,0.24773668280865524,-0.3385894736555888,0.6850352426109859,0.30862684488792924,1.4763308907442225,0.9309133333333335,0.32310185333093006,unsupported_descriptive,False,True,,,,,,
mnist,mlp2,4,128,input_noise,activation,injected_noise,0.15,mnist_mlp2_N4_W128_input_noise_activation,20,20,0.9610944708500805,0.006719868112776297,0.66581,0.0635765754611588,-0.09349598727658275,-0.5226815670673127,0.48761957258562816,-0.003008650081138938,-0.46050163752987644,0.5081728871970554,-0.11673284640831176,-1.2923969200525502,0.9132599999999998,0.44395482887824383,negative_control_not_primary_evidence,False,False,,,,,,
mnist,mlp2,4,128,input_noise,activation,observed,0.0,mnist_mlp2_N4_W128_input_noise_activation,20,20,0.906585097475285,0.012298594842623129,0.66581,0.0635765754611588,-0.38448645032116835,-0.7226198355256869,0.0007152932921655838,-0.4394281414597441,-0.7471273068991621,0.0015614695416007237,-0.5053770301643666,-2.9280901845064724,0.9132599999999998,0.3262065380811691,unsupported_descriptive,False,True,,,,,,
mnist,mlp2,4,128,none,activation,injected_noise,0.15,mnist_mlp2_N4_W128_none_activation,20,20,0.9584408730632903,0.004950655888172125,0.68727,0.048238803991458114,-0.24120325591218336,-0.68038655313552,0.2360665243704029,-0.27368421052631575,-0.704800305337702,0.2589713179253809,-0.2012970116887528,-1.9975077385971451,0.9312825,0.44204045459628105,negative_control_not_primary_evidence,False,False,,,,,,
mnist,mlp2,4,128,none,activation,observed,0.0,mnist_mlp2_N4_W128_none_activation,20,20,0.907249836597137,0.008117628616938393,0.68727,0.048238803991458114,-0.2526286504766942,-0.593373383575521,0.16629503130397788,-0.24962406015037594,-0.6302632755229751,0.2312768078764521,-0.32603577107795395,-2.0151488296889792,0.9312825,0.32391068736712136,unsupported_descriptive,False,True,,,,,,
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,c2m3_cluster_branch_ensemble_2,0.8129099999999999,0.006804789335073985,0.44638,-0.014550000000000007,0.09757
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,c2m3_synchronized,0.71534,0.050354536721342734,0.34881,-0.11212,0.0
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,ensemble_upper_bound,0.8193399999999998,0.0018762785114773328,0.45280999999999993,-0.008120000000000021,0.10399999999999998
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,git_rebasin_pairwise_ref0,0.7292199999999999,0.04912184207072301,0.36268999999999996,-0.09824000000000002,0.013879999999999998
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,greedy_soup,0.8274600000000001,0.002236632807545641,0.46093,0.0,0.11212
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,random_branch_ensemble_2,0.81272,0.007642650408278394,0.4461900000000001,-0.014740000000000014,0.09737999999999998
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,twisted_rank_lift_2,0.8156100000000001,0.005403497892447463,0.4490800000000001,-0.01185000000000001,0.10027
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,validation_branch_ensemble_2,0.82386,0.0018123552573784676,0.45732999999999996,-0.00360000000000002,0.10851999999999999
fashion_mnist,mlp2,3,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N3_W128_input_noise_activation,20,20,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,weight_average,0.3665300000000001,0.06793434214081465,0.0,-0.46093,-0.34881
