dataset,run_id,setting_id,n_models,width,matching,domain_shift,relation_count,relation_count_status,observed_holonomy_order_lcm,group_closure_status,group_order_if_exact,group_exponent_if_exact,primary_source_order,primary_source_order_source,source_order_factorization,peel_path_id,peeled_primes,peeled_prime_powers,remaining_order_before_path,residual_order_candidate,residual_order_is_prime,residual_prime,residual_factorization,certification_status,certification_method,certification_relation_violation_rate,certification_confidence,full_residual_group_order_certified,cyclic_quotient_certified,planned_case_status,planned_method,implemented_corrected_merge,implemented_branch_lift,branch_lift_status,validation_accuracy,test_accuracy,baseline_method,baseline_validation_accuracy,baseline_test_accuracy,validation_delta_vs_baseline,test_delta_vs_baseline,wrong_prime_control_validation_accuracy,shuffled_control_validation_accuracy,random_residual_control_validation_accuracy,validation_delta_vs_wrong_prime_control,validation_delta_vs_shuffled_control,validation_delta_vs_random_residual_control,capacity_multiplier,inference_multiplier,uses_test_for_selection,selected_by_validation,claim_status,na_reason,architecture,seed,path_kind
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,,6176520,observed_holonomy_order_lcm,2^3 * 3^3 * 5 * 7 * 19 * 43,path_000,"2,3,7,19,43","2^3,3^3,7^1,19^1,43^1",6176520,5,True,5.0,5,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.907,0.8895,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,,6176520,observed_holonomy_order_lcm,2^3 * 3^3 * 5 * 7 * 19 * 43,path_001,"2,3,5,19,43","2^3,3^3,5^1,19^1,43^1",6176520,7,True,7.0,7,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.907,0.8895,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,,6176520,observed_holonomy_order_lcm,2^3 * 3^3 * 5 * 7 * 19 * 43,path_002,"2,3,5,7,43","2^3,3^3,5^1,7^1,43^1",6176520,19,True,19.0,19,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.907,0.8895,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,,6176520,observed_holonomy_order_lcm,2^3 * 3^3 * 5 * 7 * 19 * 43,path_003,"2,3,5,7,19","2^3,3^3,5^1,7^1,19^1",6176520,43,True,43.0,43,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.907,0.8895,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,,6176520,observed_holonomy_order_lcm,2^3 * 3^3 * 5 * 7 * 19 * 43,path_004,"2,3,5,7","2^3,3^3,5^1,7^1",6176520,817,False,,19 * 43,not_prime_residual,residual_order_candidate_composite,,,False,False,not_prime_residual,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.907,0.8895,,,,,,,,,1.0,1.0,False,False,not_prime_residual,not_prime_residual,mlp,4200,small_prime_prefix_composite_diagnostic
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,,6176520,observed_holonomy_order_lcm,2^3 * 3^3 * 5 * 7 * 19 * 43,path_005,,,6176520,6176520,False,,2^3 * 3^3 * 5 * 7 * 19 * 43,not_prime_residual,residual_order_candidate_composite,,,False,False,not_prime_residual,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.907,0.8895,,,,,,,,,1.0,1.0,False,False,not_prime_residual,not_prime_residual,mlp,4200,unpeeled_diagnostic
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,,813960,observed_holonomy_order_lcm,2^3 * 3^2 * 5 * 7 * 17 * 19,path_000,"2,3,7,17,19","2^3,3^2,7^1,17^1,19^1",813960,5,True,5.0,5,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.804,0.78,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,,813960,observed_holonomy_order_lcm,2^3 * 3^2 * 5 * 7 * 17 * 19,path_001,"2,3,5,17,19","2^3,3^2,5^1,17^1,19^1",813960,7,True,7.0,7,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.804,0.78,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,,813960,observed_holonomy_order_lcm,2^3 * 3^2 * 5 * 7 * 17 * 19,path_002,"2,3,5,7,19","2^3,3^2,5^1,7^1,19^1",813960,17,True,17.0,17,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.804,0.78,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,,813960,observed_holonomy_order_lcm,2^3 * 3^2 * 5 * 7 * 17 * 19,path_003,"2,3,5,7,17","2^3,3^2,5^1,7^1,17^1",813960,19,True,19.0,19,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,0.0,1.0,False,True,certified_but_merge_rerun_not_implemented,no_lift_cyclic_prime_correction,False,False,no_real_Cp_prediction_row,,,c2m3_synchronized,0.804,0.78,,,,,,,,,1.0,1.0,False,False,certified_but_merge_rerun_not_implemented,certified_but_merge_rerun_not_implemented,mlp,4200,prime_residual_candidate
