case_id,source,d,k,noise_type,noise_level,candidate_rank,detector_status,period,index,period_divides_rank,index_divides_rank,decision,selected_method,max_centrality_score,max_phase_residual,min_root_margin,alternating_rank,radical_size,quotient_size,generator_mining_used,n_mined_generators,expected_decision,pass_fail,notes
exact_heisenberg_d2_k2_rank4,exact_heisenberg,2.0,2.0,none,0.0,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698,4.0,1.0,16.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level strict accepted centrality 1.22465e-16 and phase residual 1.73191e-16
exact_heisenberg_d3_k2_rank9,exact_heisenberg,3.0,2.0,none,0.0,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,2.9548066628047715e-16,3.040470972244059e-16,0.19011208660836504,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level strict accepted centrality 2.95481e-16 and phase residual 3.04047e-16
noisy_heisenberg_d2_k2_unitary_near_identity_0,noisy_heisenberg,2.0,2.0,unitary_near_identity,0.0,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698,4.0,1.0,16.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level strict accepted centrality 1.22465e-16 and phase residual 1.73191e-16
noisy_heisenberg_d2_k2_unitary_near_identity_1e-06,noisy_heisenberg,2.0,2.0,unitary_near_identity,1e-06,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,8.526952145214446e-06,8.526952144981952e-06,0.2846215309685255,4.0,1.0,16.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level medium accepted centrality 8.52695e-06 and phase residual 8.52695e-06
noisy_heisenberg_d2_k2_unitary_near_identity_1e-05,noisy_heisenberg,2.0,2.0,unitary_near_identity,1e-05,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,8.526961333838221e-05,8.526961310588695e-05,0.2845482312723328,4.0,1.0,16.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level medium accepted centrality 8.52696e-05 and phase residual 8.52696e-05
noisy_heisenberg_d2_k2_unitary_near_identity_0.0001,noisy_heisenberg,2.0,2.0,unitary_near_identity,0.0001,4,candidate_uncertain,2.0,4.0,True,,central_projective_candidate_uncertain,none,0.0008527053901017465,0.0008527051575990015,0.2838162744249521,4.0,1.0,16.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 4 robust threshold level loose accepted centrality 0.000852705 and phase residual 0.000852705 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d2_k2_unitary_near_identity_0.001,noisy_heisenberg,2.0,2.0,unitary_near_identity,0.001,4,candidate_uncertain,2.0,4.0,True,,central_projective_candidate_uncertain,none,0.008528046989125472,0.008527814416169127,0.27660069249925867,4.0,1.0,16.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 4 robust threshold level loose accepted centrality 0.00852805 and phase residual 0.00852781 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d2_k2_unitary_near_identity_0.01,noisy_heisenberg,2.0,2.0,unitary_near_identity,0.01,4,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.08544775707213981,0.08521492087303426,0.2146022074140272,,,,False,0,not_central_projective,pass,commutator centrality 0.0854478 exceeds the loose threshold 0.01
noisy_heisenberg_d2_k2_unitary_near_identity_0.05,noisy_heisenberg,2.0,2.0,unitary_near_identity,0.05,4,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.4387390010133702,0.4105757430535268,0.08831013972803953,,,,False,0,not_central_projective,pass,commutator centrality 0.438739 exceeds the loose threshold 0.01
noisy_heisenberg_d2_k2_entrywise_projected_unitary_0,noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.0,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698,4.0,1.0,16.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level strict accepted centrality 1.22465e-16 and phase residual 1.73191e-16
noisy_heisenberg_d2_k2_entrywise_projected_unitary_1e-06,noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,1e-06,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,3.970029863306405e-06,3.970029863282941e-06,0.2846269388134772,4.0,1.0,16.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level medium accepted centrality 3.97003e-06 and phase residual 3.97003e-06
noisy_heisenberg_d2_k2_entrywise_projected_unitary_1e-05,noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,1e-05,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,3.9700293336424184e-05,3.9700293312959623e-05,0.2846023004018051,4.0,1.0,16.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level medium accepted centrality 3.97003e-05 and phase residual 3.97003e-05
noisy_heisenberg_d2_k2_entrywise_projected_unitary_0.0001,noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.0001,4,candidate_uncertain,2.0,4.0,True,,central_projective_candidate_uncertain,none,0.00039700241602158483,0.000397002392557119,0.28435603371513685,4.0,1.0,16.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 4 robust threshold level loose accepted centrality 0.000397002 and phase residual 0.000397002 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d2_k2_entrywise_projected_unitary_0.001,noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.001,4,candidate_uncertain,2.0,4.0,True,,central_projective_candidate_uncertain,none,0.003969985037404948,0.003969961573871366,0.28190510898557575,4.0,1.0,16.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 4 robust threshold level loose accepted centrality 0.00396999 and phase residual 0.00396996 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d2_k2_entrywise_projected_unitary_0.01,noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.01,4,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.0397085058742174,0.03968505085530657,0.2585663643937664,,,,False,0,not_central_projective,pass,commutator centrality 0.0397085 exceeds the loose threshold 0.01
noisy_heisenberg_d2_k2_entrywise_projected_unitary_0.05,noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.05,4,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.20010080462879615,0.19717250820337634,0.17884928610643314,,,,False,0,not_central_projective,pass,commutator centrality 0.200101 exceeds the loose threshold 0.01
noisy_heisenberg_d3_k2_unitary_near_identity_0,noisy_heisenberg,3.0,2.0,unitary_near_identity,0.0,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,2.9548066628047715e-16,3.040470972244059e-16,0.19011208660836504,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level strict accepted centrality 2.95481e-16 and phase residual 3.04047e-16
noisy_heisenberg_d3_k2_unitary_near_identity_1e-06,noisy_heisenberg,3.0,2.0,unitary_near_identity,1e-06,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,1.2951133709606226e-05,1.2951133708791608e-05,0.19009928311827987,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level medium accepted centrality 1.29511e-05 and phase residual 1.29511e-05
noisy_heisenberg_d3_k2_unitary_near_identity_1e-05,noisy_heisenberg,3.0,2.0,unitary_near_identity,1e-05,9,candidate_uncertain,3.0,9.0,True,,central_projective_candidate_uncertain,none,0.0001295113140659326,0.00012951131325131382,0.18998408970820616,4.0,1.0,81.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 9 robust threshold level loose accepted centrality 0.000129511 and phase residual 0.000129511 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d3_k2_unitary_near_identity_0.0001,noisy_heisenberg,3.0,2.0,unitary_near_identity,0.0001,9,candidate_uncertain,3.0,9.0,True,,central_projective_candidate_uncertain,none,0.0012951110637399747,0.0012951102491260355,0.18883591815386458,4.0,1.0,81.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 9 robust threshold level loose accepted centrality 0.00129511 and phase residual 0.00129511 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d3_k2_unitary_near_identity_0.001,noisy_heisenberg,3.0,2.0,unitary_near_identity,0.001,9,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.012951129020509588,0.012950314490498745,0.17773048358127483,,,,False,0,not_central_projective,pass,commutator centrality 0.0129511 exceeds the loose threshold 0.01
noisy_heisenberg_d3_k2_unitary_near_identity_0.01,noisy_heisenberg,3.0,2.0,unitary_near_identity,0.01,9,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.129739317472562,0.12892918465334238,0.10069164332439984,,,,False,0,not_central_projective,pass,commutator centrality 0.129739 exceeds the loose threshold 0.01
noisy_heisenberg_d3_k2_unitary_near_identity_0.05,noisy_heisenberg,3.0,2.0,unitary_near_identity,0.05,9,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.6934730124491281,0.5970890255339967,0.02475229385293276,,,,False,0,not_central_projective,pass,commutator centrality 0.693473 exceeds the loose threshold 0.01
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.0,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,2.9548066628047715e-16,3.040470972244059e-16,0.19011208660836504,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level strict accepted centrality 2.95481e-16 and phase residual 3.04047e-16
noisy_heisenberg_d3_k2_entrywise_projected_unitary_1e-06,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,1e-06,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,4.501860554775023e-06,4.501860554740809e-06,0.19010783633385087,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level medium accepted centrality 4.50186e-06 and phase residual 4.50186e-06
noisy_heisenberg_d3_k2_entrywise_projected_unitary_1e-05,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,1e-05,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,4.501851109954514e-05,4.5018511065331075e-05,0.1900695880105493,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level medium accepted centrality 4.50185e-05 and phase residual 4.50185e-05
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.0001,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.0001,9,candidate_uncertain,3.0,9.0,True,,central_projective_candidate_uncertain,none,0.00045017568707467225,0.0004501756528627625,0.18968751537857007,4.0,1.0,81.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 9 robust threshold level loose accepted centrality 0.000450176 and phase residual 0.000450176 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.001,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.001,9,candidate_uncertain,3.0,9.0,True,,central_projective_candidate_uncertain,none,0.004500835631833517,0.004500801441365592,0.18590785936920065,4.0,1.0,81.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 9 robust threshold level loose accepted centrality 0.00450084 and phase residual 0.0045008 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.01,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.01,9,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.04493732944015099,0.044903344453926436,0.1521775929562377,,,,False,0,not_central_projective,pass,commutator centrality 0.0449373 exceeds the loose threshold 0.01
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.05,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.05,9,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.22729843306849118,0.2230361556466998,0.07096950304976579,,,,False,0,not_central_projective,pass,commutator centrality 0.227298 exceeds the loose threshold 0.01
rank_test_d3_k2_rank3,rank_divisibility,3.0,2.0,unitary_near_identity,1e-06,3,certified,3.0,9.0,True,False,period_divisible_index_obstructed,none,1.3313423663332882e-05,1.3313423662447966e-05,0.1900987736424438,4.0,1.0,81.0,False,0,period_divisible_index_obstructed,pass,prime-period rank computation certified rank 4 and index 9 candidate rank is divisible by the period but not by the index robust threshold level medium accepted centrality 1.33134e-05 and phase residual 1.33134e-05
rank_test_d3_k2_rank6,rank_divisibility,3.0,2.0,unitary_near_identity,1e-06,6,certified,3.0,9.0,True,False,period_divisible_index_obstructed,none,1.3313423663332882e-05,1.3313423662447966e-05,0.1900987736424438,4.0,1.0,81.0,False,0,period_divisible_index_obstructed,pass,prime-period rank computation certified rank 4 and index 9 candidate rank is divisible by the period but not by the index robust threshold level medium accepted centrality 1.33134e-05 and phase residual 1.33134e-05
rank_test_d3_k2_rank9,rank_divisibility,3.0,2.0,unitary_near_identity,1e-06,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,1.3313423663332882e-05,1.3313423662447966e-05,0.1900987736424438,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level medium accepted centrality 1.33134e-05 and phase residual 1.33134e-05
