source,d,k,noise_type,noise_level,detector_status,n,pass_count,lift_count,pass_rate,lift_rate
exact_heisenberg,2.0,2.0,none,0.0,certified,1,1,1,1.0,1.0
exact_heisenberg,3.0,2.0,none,0.0,certified,1,1,1,1.0,1.0
noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.0,certified,1,1,1,1.0,1.0
noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,1e-06,certified,1,1,1,1.0,1.0
noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,1e-05,certified,1,1,1,1.0,1.0
noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.0001,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.001,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.01,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,2.0,2.0,entrywise_projected_unitary,0.05,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,2.0,2.0,unitary_near_identity,0.0,certified,1,1,1,1.0,1.0
noisy_heisenberg,2.0,2.0,unitary_near_identity,1e-06,certified,1,1,1,1.0,1.0
noisy_heisenberg,2.0,2.0,unitary_near_identity,1e-05,certified,1,1,1,1.0,1.0
noisy_heisenberg,2.0,2.0,unitary_near_identity,0.0001,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,2.0,2.0,unitary_near_identity,0.001,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,2.0,2.0,unitary_near_identity,0.01,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,2.0,2.0,unitary_near_identity,0.05,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.0,certified,1,1,1,1.0,1.0
noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,1e-06,certified,1,1,1,1.0,1.0
noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,1e-05,certified,1,1,1,1.0,1.0
noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.0001,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.001,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.01,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.05,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,unitary_near_identity,0.0,certified,1,1,1,1.0,1.0
noisy_heisenberg,3.0,2.0,unitary_near_identity,1e-06,certified,1,1,1,1.0,1.0
noisy_heisenberg,3.0,2.0,unitary_near_identity,1e-05,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,unitary_near_identity,0.0001,candidate_uncertain,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,unitary_near_identity,0.001,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,unitary_near_identity,0.01,rejected_noncentral,1,1,0,1.0,0.0
noisy_heisenberg,3.0,2.0,unitary_near_identity,0.05,rejected_noncentral,1,1,0,1.0,0.0
noncentral_control,,,permutation,0.0,rejected_noncentral,1,1,0,1.0,0.0
noncentral_control,,,permutation,1e-06,rejected_noncentral,1,1,0,1.0,0.0
noncentral_control,,,permutation,0.001,rejected_noncentral,1,1,0,1.0,0.0
noncentral_control,,,random_gl,0.0,rejected_noncentral,1,1,0,1.0,0.0
noncentral_control,,,random_gl,1e-06,rejected_noncentral,1,1,0,1.0,0.0
noncentral_control,,,random_gl,0.001,rejected_noncentral,1,1,0,1.0,0.0
rank_deficient,3.0,1.0,unitary_near_identity,0.0,certified,1,1,1,1.0,1.0
rank_deficient,3.0,1.0,unitary_near_identity,1e-06,certified,1,1,1,1.0,1.0
rank_deficient,3.0,1.0,unitary_near_identity,1e-05,certified,1,1,1,1.0,1.0
rank_divisibility,3.0,2.0,unitary_near_identity,1e-06,certified,3,3,1,1.0,0.3333333333333333
synthetic_transition_mining,2.0,2.0,none,0.0,certified,1,1,1,1.0,1.0
unknown_index_control,12.0,,none,0.0,unknown_index,1,1,0,1.0,0.0
