setting_id,run_id,dataset,task_preset,architecture,width,n_tasks,seed,base_epochs,finetune_epochs,max_train_samples,max_test_samples,task_definitions_json,base_checkpoint,task_checkpoints_json,oracle_average_task_accuracy,task_vector_sign_conflict_fraction,task_vector_active_fraction,task_vector_mean_pairwise_cosine,task_vector_min_pairwise_cosine,triangle_cycle_score,sync_disagreement,method,method_role,status,average_test_accuracy,worst_task_accuracy,average_test_loss,validation_selected_accuracy,validation_selected_loss,interference_score,per_task_test_accuracy_json,per_task_val_accuracy_json,selected_hyperparameters_json,greedy_soup_acceptance_json,capacity_matched,single_model,uses_validation_data,common_base_required,delta_vs_greedy_soup,delta_vs_task_arithmetic,delta_vs_ties,delta_vs_dare
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,base_model,common_base_reference,ok,0.8627777777777778,0.8466666666666667,0.5024254947238498,0.8744851410183608,0.472456723292082,0.0622222222222224,"{""digits_0_4"":0.8766666666666667,""digits_5_9"":0.8466666666666667,""even_digits"":0.865}","{""digits_0_4"":0.9,""digits_5_9"":0.8517887563884157,""even_digits"":0.8716666666666667}",{},[],True,True,False,False,0.04,-0.0022222222222223,0.0244444444444444,-0.0005555555555556
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,individual_finetuned_digits_0_4,individual_task_model,ok,0.6061111111111112,0.225,1.320077437294854,0.6336229415105054,1.2427759951884472,0.318888888888889,"{""digits_0_4"":0.95,""digits_5_9"":0.225,""even_digits"":0.6433333333333333}","{""digits_0_4"":0.965,""digits_5_9"":0.2708688245315162,""even_digits"":0.665}","{""task_index"":0,""task_name"":""digits_0_4""}",[],True,True,False,False,-0.2166666666666665,-0.2588888888888889,-0.2322222222222221,-0.2572222222222222
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,individual_finetuned_digits_5_9,individual_task_model,ok,0.4916666666666667,0.1616666666666666,1.5196607716878254,0.5093725156161272,1.4704468132595254,0.4333333333333334,"{""digits_0_4"":0.16166666666666665,""digits_5_9"":0.9,""even_digits"":0.41333333333333333}","{""digits_0_4"":0.19166666666666668,""digits_5_9"":0.9131175468483816,""even_digits"":0.42333333333333334}","{""task_index"":1,""task_name"":""digits_5_9""}",[],True,True,False,False,-0.331111111111111,-0.3733333333333334,-0.3466666666666665,-0.3716666666666667
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,individual_finetuned_even_digits,individual_task_model,ok,0.6894444444444444,0.475,1.0682756392161052,0.7282954760552715,0.9128290957473072,0.2355555555555557,"{""digits_0_4"":0.6683333333333333,""digits_5_9"":0.475,""even_digits"":0.925}","{""digits_0_4"":0.71,""digits_5_9"":0.5332197614991482,""even_digits"":0.9416666666666667}","{""task_index"":2,""task_name"":""even_digits""}",[],True,True,False,False,-0.1333333333333333,-0.1755555555555557,-0.1488888888888888,-0.1738888888888889
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,individual_finetuned_mean,oracle_summary_not_single_model,oracle_summary,0.9250000000000002,0.9,,,,0.0,{},{},"{""oracle_average_task_accuracy"":0.9250000000000002}",[],False,False,False,False,0.1022222222222224,0.06,0.0866666666666668,0.0616666666666667
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,weight_average,same_base_weight_average,ok,0.8227777777777777,0.7033333333333334,0.5458713171217177,0.8531052432330116,0.4698158154513785,0.1022222222222224,"{""digits_0_4"":0.845,""digits_5_9"":0.7033333333333334,""even_digits"":0.92}","{""digits_0_4"":0.8916666666666667,""digits_5_9"":0.737649063032368,""even_digits"":0.93}",{},[],True,True,False,False,0.0,-0.0422222222222223,-0.0155555555555555,-0.0405555555555556
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,greedy_soup,model_soups_validation_descent,ok,0.8227777777777777,0.7033333333333334,0.5458713489108615,0.8531052432330116,0.4698158338641705,0.1022222222222224,"{""digits_0_4"":0.845,""digits_5_9"":0.7033333333333334,""even_digits"":0.92}","{""digits_0_4"":0.8916666666666667,""digits_5_9"":0.737649063032368,""even_digits"":0.93}","{""selection_indices"":[2,0,1]}","[{""accepted"":true,""candidate_model_index"":2,""candidate_rank"":1,""decision_reason"":""accepted_initial_best_validation_model"",""validation_accuracy_margin_after_minus_before"":null},{""accepted"":true,""candidate_model_index"":0,""candidate_rank"":2,""decision_reason"":""accepted_validation_accuracy_non_decrease"",""validation_accuracy_margin_after_minus_before"":0.033575825405707804},{""accepted"":true,""candidate_model_index"":1,""candidate_rank"":3,""decision_reason"":""accepted_validation_accuracy_non_decrease"",""validation_accuracy_margin_after_minus_before"":0.09065472859541135}]",True,True,True,False,0.0,-0.0422222222222223,-0.0155555555555555,-0.0405555555555556
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,slerp_sequential,same_base_interpolation,ok,0.8227777777777777,0.7033333333333334,0.5450011984507243,0.8531052432330116,0.4683713010430178,0.1022222222222224,"{""digits_0_4"":0.845,""digits_5_9"":0.7033333333333334,""even_digits"":0.92}","{""digits_0_4"":0.8916666666666667,""digits_5_9"":0.737649063032368,""even_digits"":0.93}",{},[],True,True,False,True,0.0,-0.0422222222222223,-0.0155555555555555,-0.0405555555555556
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,task_arithmetic,same_base_task_vector,ok,0.8650000000000001,0.8033333333333333,0.4865788798862033,0.8955224304372517,0.4361104804170237,0.06,"{""digits_0_4"":0.8766666666666667,""digits_5_9"":0.8033333333333333,""even_digits"":0.915}","{""digits_0_4"":0.9183333333333333,""digits_5_9"":0.8415672913117547,""even_digits"":0.9266666666666666}","{""scale"":0.5,""selection_trace"":[{""scale"":0.25,""validation_accuracy"":0.8872137043346583,""validation_loss"":0.44513099344575946},{""scale"":0.5,""validation_accuracy"":0.8955224304372517,""validation_loss"":0.4361104804170237},{""scale"":0.75,""validation_accuracy"":0.8768815067196668,""validation_loss"":0.44459512989470934},{""scale"":1.0,""validation_accuracy"":0.8531052432330116,""validation_loss"":0.46981583701961765},{""scale"":1.25,""validation_accuracy"":0.8259956464130229,""validation_loss"":0.5111856993675774}],""validation_accuracy"":0.8955224304372517,""validation_loss"":0.4361104804170237}",[],True,True,True,True,0.0422222222222223,0.0,0.0266666666666668,0.0016666666666667
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/base.pt,"[""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_0_digits_0_4.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_1_digits_5_9.pt"",""/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/same_base_task_vector/mnist_mnist_digit_subsets_mlp2_W64_N3/seed7300/task_2_even_digits.pt""]",0.9250000000000002,0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,ties_merging,same_base_task_vector,ok,0.8383333333333333,0.7383333333333333,0.5206329101986356,0.8644255158054136,0.4530747697426924,0.0866666666666668,"{""digits_0_4"":0.8633333333333333,""digits_5_9"":0.7383333333333333,""even_digits"":0.9133333333333333}","{""digits_0_4"":0.91,""digits_5_9"":0.7666098807495741,""even_digits"":0.9166666666666666}","{""density"":0.2,""scale"":0.5,""selection_trace"":[{""density"":0.2,""scale"":0.5,""validation_accuracy"":0.8644255158054136,""validation_loss"":0.4530747697426924},{""density"":0.2,""scale"":1.0,""validation_accuracy"":0.7825780806360023,""validation_loss"":0.6289505827447218},{""density"":0.2,""scale"":1.25,""validation_accuracy"":0.7404069657391633,""validation_loss"":0.7946992055209505},{""density"":0.5,""scale"":0.5,""validation_accuracy"":0.8445873556691273,""validation_loss"":0.47922352367879856},{""density"":0.5,""scale"":1.0,""validation_accuracy"":0.7467641491576756,""validation_loss"":0.773897771454435},{""density"":0.5,""scale"":1.25,""validation_accuracy"":0.7042220329358319,""validation_loss"":1.0139946645266988},{""density"":1.0,""scale"":0.5,""validation_accuracy"":0.8463032367972744,""validation_loss"":0.48028276330477454},{""density"":1.0,""scale"":1.0,""validation_accuracy"":0.7490109786106379,""validation_loss"":0.7641243220521897},{""density"":1.0,""scale"":1.25,""validation_accuracy"":0.7076045807306454,""validation_loss"":0.9932111293890925}],""validation_accuracy"":0.8644255158054136,""validation_loss"":0.4530747697426924}",[],True,True,True,True,0.0155555555555555,-0.0266666666666668,0.0,-0.0250000000000001
