dataset,task_preset,architecture,width,n_tasks,method,method_role,status,n_rows,n_ok_rows,n_unique_seeds,mean_average_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_worst_task_accuracy,mean_validation_selected_accuracy,mean_interference_score,mean_base_epochs,mean_finetune_epochs,mean_delta_vs_greedy_soup,delta_vs_greedy_ci_low,delta_vs_greedy_ci_high,mean_delta_vs_task_arithmetic,delta_vs_task_arithmetic_ci_low,delta_vs_task_arithmetic_ci_high,mean_delta_vs_ties,delta_vs_ties_ci_low,delta_vs_ties_ci_high,mean_delta_vs_dare,delta_vs_dare_ci_low,delta_vs_dare_ci_high,mean_sign_conflict_fraction,mean_triangle_cycle_score,best_single_model_method_by_mean_accuracy,claim_decision,claim_boundary
fashion_mnist,fashion_class_subsets,mlp2,64,3,base_model,common_base_reference,ok,20,20,20,0.6828888888888889,0.6781944444444444,0.6878624999999999,0.6179166666666667,0.7064139806438864,0.09499999999999997,3.0,2.0,0.00013888888888889488,-0.00527777777777773,0.005222222222222172,-0.01033333333333326,-0.013334027777777707,-0.007444444444444391,0.03669444444444438,0.023775694444444412,0.05041805555555547,-0.010722222222222196,-0.014361111111111016,-0.007250000000000014,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,dare,same_base_task_vector,ok,20,20,20,0.6936111111111111,0.6875548611111112,0.6993055555555555,0.6419166666666667,0.7253752340363633,0.08427777777777776,3.0,2.0,0.01086111111111109,0.004804166666666666,0.01605763888888887,0.000388888888888905,-0.0015555555555555253,0.0023055555555555906,0.04741666666666662,0.03647222222222217,0.05925347222222216,0.0,0.0,0.0,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,git_rebasin_pairwise_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,greedy_soup,model_soups_validation_descent,ok,20,20,20,0.6827500000000001,0.675332638888889,0.6902513888888889,0.6403333333333333,0.7120617090643191,0.09513888888888886,3.0,2.0,0.0,0.0,0.0,-0.010472222222222159,-0.014916666666666606,-0.005777083333333237,0.036555555555555494,0.024472222222222166,0.048725694444444384,-0.01086111111111109,-0.016639583333333288,-0.004886805555555558,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_fashion_even,individual_task_model,ok,20,20,20,0.6174166666666668,0.6066361111111112,0.627501388888889,0.5540833333333333,0.6371671636807291,0.16047222222222218,3.0,2.0,-0.06533333333333327,-0.07639097222222219,-0.055302777777777715,-0.07580555555555546,-0.0863902777777777,-0.0658888888888888,-0.028777777777777746,-0.04225277777777771,-0.013969444444444465,-0.07619444444444438,-0.08652777777777768,-0.06597222222222218,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_fashion_high,individual_task_model,ok,20,20,20,0.4568055555555556,0.45280555555555557,0.4607777777777778,0.12441666666666665,0.4516687993117097,0.3210833333333333,3.0,2.0,-0.22594444444444442,-0.23224999999999998,-0.2190826388888888,-0.23641666666666658,-0.24072291666666665,-0.23230555555555546,-0.18938888888888888,-0.2036958333333333,-0.17369374999999995,-0.23680555555555557,-0.24199999999999994,-0.23169374999999998,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_fashion_low,individual_task_model,ok,20,20,20,0.6140000000000001,0.605582638888889,0.6221944444444445,0.5136666666666666,0.6230189177053089,0.16388888888888886,3.0,2.0,-0.06874999999999999,-0.07938958333333333,-0.05777361111111108,-0.07922222222222217,-0.0889465277777777,-0.06969444444444438,-0.03219444444444444,-0.05003055555555556,-0.01288888888888889,-0.07961111111111108,-0.08927847222222217,-0.06957847222222222,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_mean,oracle_summary_not_single_model,oracle_summary,20,20,20,0.7778888888888889,0.7746944444444444,0.7810562499999999,0.67425,,0.0,3.0,2.0,0.09513888888888886,0.08880486111111109,0.10147638888888882,0.08466666666666665,0.08041597222222222,0.0887513888888889,0.13169444444444442,0.11791527777777774,0.14674999999999994,0.08427777777777776,0.0800277777777778,0.08880694444444447,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,slerp_sequential,same_base_interpolation,ok,20,20,20,0.6832499999999999,0.6760256944444446,0.6905013888888891,0.6395833333333333,0.7110643611099553,0.09463888888888886,3.0,2.0,0.0004999999999999999,-0.000416666666666665,0.0019173611111111147,-0.00997222222222216,-0.014417361111111075,-0.00530555555555546,0.03705555555555551,0.024971527777777693,0.049389583333333244,-0.010361111111111087,-0.016084722222222167,-0.00441597222222218,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
