dataset,task_preset,architecture,width,n_tasks,method,method_role,status,n_rows,n_ok_rows,n_unique_seeds,mean_average_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_worst_task_accuracy,mean_validation_selected_accuracy,mean_interference_score,mean_base_epochs,mean_finetune_epochs,mean_delta_vs_greedy_soup,delta_vs_greedy_ci_low,delta_vs_greedy_ci_high,mean_delta_vs_task_arithmetic,delta_vs_task_arithmetic_ci_low,delta_vs_task_arithmetic_ci_high,mean_delta_vs_ties,delta_vs_ties_ci_low,delta_vs_ties_ci_high,mean_delta_vs_dare,delta_vs_dare_ci_low,delta_vs_dare_ci_high,mean_sign_conflict_fraction,mean_triangle_cycle_score,best_single_model_method_by_mean_accuracy,claim_decision,claim_boundary
fashion_mnist,fashion_class_subsets,mlp2,64,3,base_model,common_base_reference,ok,20,20,20,0.6828888888888889,0.6781944444444444,0.6878624999999999,0.6179166666666667,0.7064139806438864,0.095,3.0,2.0,0.0001388888888888884,-0.005277777777777754,0.005222222222222189,-0.01033333333333331,-0.013334027777777762,-0.007444444444444443,0.03669444444444443,0.023775694444444453,0.05041805555555553,-0.010722222222222227,-0.014361111111111075,-0.007250000000000022,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,dare,same_base_task_vector,ok,20,20,20,0.6936111111111111,0.6875548611111112,0.6993055555555555,0.6419166666666667,0.7253752340363633,0.08427777777777777,3.0,2.0,0.010861111111111117,0.004804166666666685,0.01605763888888891,0.00038888888888891635,-0.0015555555555555219,0.0023055555555556223,0.04741666666666666,0.03647222222222221,0.059253472222222194,0.0,0.0,0.0,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,git_rebasin_pairwise_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,greedy_soup,model_soups_validation_descent,ok,20,20,20,0.6827500000000001,0.675332638888889,0.6902513888888889,0.6403333333333333,0.7120617090643191,0.09513888888888888,3.0,2.0,0.0,0.0,0.0,-0.010472222222222199,-0.014916666666666651,-0.005777083333333271,0.03655555555555555,0.02447222222222222,0.04872569444444444,-0.010861111111111117,-0.016639583333333326,-0.004886805555555566,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_fashion_even,individual_task_model,ok,20,20,20,0.6174166666666668,0.6066361111111112,0.627501388888889,0.5540833333333333,0.6371671636807291,0.16047222222222218,3.0,2.0,-0.06533333333333333,-0.07639097222222224,-0.055302777777777756,-0.07580555555555553,-0.08639027777777775,-0.06588888888888886,-0.028777777777777774,-0.04225277777777775,-0.013969444444444461,-0.07619444444444445,-0.08652777777777772,-0.06597222222222225,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_fashion_high,individual_task_model,ok,20,20,20,0.4568055555555556,0.45280555555555557,0.4607777777777778,0.12441666666666666,0.4516687993117097,0.3210833333333333,3.0,2.0,-0.22594444444444445,-0.23225,-0.2190826388888889,-0.23641666666666664,-0.24072291666666668,-0.2323055555555555,-0.1893888888888889,-0.20369583333333335,-0.17369374999999998,-0.23680555555555563,-0.242,-0.23169375000000003,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_fashion_low,individual_task_model,ok,20,20,20,0.6140000000000001,0.605582638888889,0.6221944444444445,0.5136666666666666,0.6230189177053089,0.16388888888888892,3.0,2.0,-0.06875,-0.07938958333333336,-0.0577736111111111,-0.07922222222222222,-0.08894652777777774,-0.06969444444444442,-0.032194444444444456,-0.05003055555555558,-0.012888888888888894,-0.07961111111111112,-0.08927847222222221,-0.06957847222222226,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,individual_finetuned_mean,oracle_summary_not_single_model,oracle_summary,20,20,20,0.7778888888888889,0.7746944444444444,0.7810562499999999,0.67425,,0.0,3.0,2.0,0.09513888888888888,0.0888048611111111,0.1014763888888889,0.08466666666666671,0.08041597222222226,0.08875138888888892,0.13169444444444445,0.11791527777777776,0.14675,0.08427777777777777,0.08002777777777784,0.08880694444444448,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,slerp_sequential,same_base_interpolation,ok,20,20,20,0.6832499999999999,0.6760256944444446,0.6905013888888891,0.6395833333333333,0.7110643611099553,0.0946388888888889,3.0,2.0,0.0005000000000000004,-0.0004166666666666763,0.0019173611111111288,-0.009972222222222198,-0.014417361111111115,-0.0053055555555554966,0.03705555555555555,0.024971527777777724,0.04938958333333329,-0.010361111111111116,-0.016084722222222212,-0.004415972222222196,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,task_arithmetic,same_base_task_vector,ok,20,20,20,0.6932222222222222,0.687861111111111,0.6985562499999999,0.6438333333333335,0.724582235766289,0.08466666666666671,3.0,2.0,0.010472222222222199,0.005665972222222199,0.014805555555555516,0.0,0.0,0.0,0.047027777777777745,0.03580486111111108,0.05936249999999995,-0.00038888888888891635,-0.002334027777777847,0.0015833333333332869,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,ties_merging,same_base_task_vector,ok,20,20,20,0.6461944444444445,0.6306381944444444,0.6607229166666667,0.55725,0.674545173745827,0.13169444444444445,3.0,2.0,-0.03655555555555555,-0.048167361111111084,-0.024888194444444435,-0.047027777777777745,-0.0590847222222222,-0.0354722222222222,0.0,0.0,0.0,-0.04741666666666666,-0.05972916666666664,-0.03655416666666665,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,weight_average,same_base_weight_average,ok,20,20,20,0.6831388888888889,0.6758611111111111,0.69041875,0.6392500000000001,0.711118000785856,0.09475,3.0,2.0,0.0003888888888888886,-0.0006666666666666876,0.0018333333333333535,-0.01008333333333331,-0.014555555555555539,-0.005332638888888865,0.03694444444444443,0.024777083333333297,0.049195833333333334,-0.010472222222222227,-0.016250000000000014,-0.004444444444444467,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,base_model,common_base_reference,ok,20,20,20,0.7140833333333333,0.7096111111111111,0.7188625000000001,0.6415,0.7460055482546128,0.0877777777777778,3.0,2.0,0.01775,0.011554861111111115,0.023749999999999986,-0.012472222222222218,-0.015667361111111115,-0.009305555555555562,0.07075000000000001,0.05469236111111109,0.0874486111111111,-0.013861111111111107,-0.01744444444444442,-0.010722222222222216,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,dare,same_base_task_vector,ok,20,20,20,0.7279444444444445,0.7237770833333333,0.7323895833333333,0.6761666666666666,0.7603908959054649,0.0739166666666667,3.0,2.0,0.031611111111111104,0.025888194444444408,0.037222222222222184,0.0013888888888888896,-0.00044513888888888587,0.003361111111111098,0.08461111111111111,0.06972013888888888,0.10080833333333329,0.0,0.0,0.0,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,git_rebasin_pairwise_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,greedy_soup,model_soups_validation_descent,ok,20,20,20,0.6963333333333332,0.6906638888888887,0.7028069444444444,0.6211666666666666,0.7267194297746927,0.1055277777777778,3.0,2.0,0.0,0.0,0.0,-0.030222222222222216,-0.036388888888888894,-0.023831944444444447,0.05299999999999998,0.03685902777777775,0.0690847222222222,-0.031611111111111104,-0.03691666666666667,-0.0260826388888889,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
