summary_type,scope,dataset,task_preset,architecture,width,n_tasks,n_runs,n_unique_seeds,best_existing_setting_method,selected_method_mode,selected_method_mode_count,selected_candidate_family_mode,selected_candidate_family_mode_count,mean_selected_average_test_accuracy,mean_best_existing_setting_average_test_accuracy,mean_delta_vs_best_existing_setting_method,delta_vs_best_existing_ci_low,delta_vs_best_existing_ci_high,wins_vs_best_existing_setting_method,ties_vs_best_existing_setting_method,losses_vs_best_existing_setting_method,mean_worst_task_delta_vs_best_existing_setting_method,worst_task_delta_ci_low,worst_task_delta_ci_high,mean_delta_vs_run_oracle_best_existing,delta_vs_run_oracle_ci_low,delta_vs_run_oracle_ci_high,match_best_existing_setting_method_fraction,match_run_oracle_best_existing_fraction,mean_candidate_pool_count,greedy_soup_grid_final_is_validation_max_fraction,claim_decision,claim_boundary,selected_method,selected_count,selected_fraction,baseline_method,mean_delta_vs_baseline,delta_ci_low,delta_ci_high
setting_summary,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64.0,3.0,20.0,20.0,dare,dare,12.0,dare_selected,12.0,0.6935555555555555,0.6936111111111111,-5.5555555555580895e-05,-0.0013611111111111519,0.0012222222222222023,4.0,12.0,4.0,0.0027500000000000024,0.0006666666666666598,0.005500000000000005,-0.0026944444444444494,-0.005333333333333351,-0.0007499999999999951,0.6,0.55,10.0,1.0,unsupported_union_below_best_existing,exact-setting only; requires paired CI lower bound > 0 for improvement claim,,,,,,,
selection_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,validation-selected frequency; descriptive,dare,12.0,0.6,,,,
selection_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,validation-selected frequency; descriptive,task_arithmetic,8.0,0.4,,,,
baseline_comparison,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,secondary comparison; primary gate uses best existing setting method,,,,greedy_soup,0.010805555555555535,0.005250000000000005,0.016083333333333318
baseline_comparison,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,secondary comparison; primary gate uses best existing setting method,,,,task_arithmetic,0.0003333333333333355,-0.0011944444444444257,0.0018055555555555383
baseline_comparison,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,secondary comparison; primary gate uses best existing setting method,,,,dare,-5.5555555555580895e-05,-0.00130555555555561,0.001222222222222169
baseline_comparison,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,secondary comparison; primary gate uses best existing setting method,,,,ties_merging,0.04736111111111108,0.03624999999999998,0.05944444444444443
setting_summary,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,128.0,3.0,20.0,20.0,dare,dare,11.0,dare_selected,11.0,0.7268055555555557,0.7279444444444445,-0.0011388888888888894,-0.002861111111111114,0.00030555555555556444,3.0,11.0,6.0,-0.004333333333333328,-0.007249999999999984,-0.0018333333333333313,-0.002277777777777773,-0.0038340277777778042,-0.0010000000000000009,0.55,0.55,10.0,1.0,unsupported_union_below_best_existing,exact-setting only; requires paired CI lower bound > 0 for improvement claim,,,,,,,
selection_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,128.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,validation-selected frequency; descriptive,dare,11.0,0.55,,,,
selection_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,128.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,validation-selected frequency; descriptive,task_arithmetic,9.0,0.45,,,,
baseline_comparison,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,128.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,secondary comparison; primary gate uses best existing setting method,,,,greedy_soup,0.030472222222222217,0.02400000000000001,0.036638888888888874
