source,group_name,noise_level,depth,quotient_order,branch_count,pre_structural_residual,post_structural_residual,residual_group_order,coset_action_law_residual,quotient_certified,bootstrap_stability
controlled_smoke_actual_mnist_logits,C2xC2,0.0,1,2,2,0.5,0.5,2,0.0,True,0.835
controlled_smoke_actual_mnist_logits,C2xC2,0.0,2,2,4,0.5,0.0,1,0.0,True,0.835
controlled_smoke_actual_mnist_logits,C2xC2,0.25,1,2,2,0.5,0.5,2,0.0,True,0.49
controlled_smoke_actual_mnist_logits,C2xC2,0.25,2,2,4,0.5,0.0,1,0.0,True,0.49
controlled_smoke_actual_mnist_logits,C4,0.0,1,2,2,0.5,0.5,2,0.0,True,0.925
controlled_smoke_actual_mnist_logits,C4,0.0,2,2,4,0.5,0.0,1,0.0,True,0.925
controlled_smoke_actual_mnist_logits,C4,0.25,1,2,2,0.5,0.5,2,0.0,True,0.94
controlled_smoke_actual_mnist_logits,C4,0.25,2,2,4,0.5,0.0,1,0.0,True,0.94
controlled_smoke_actual_mnist_logits,D4,0.0,1,2,2,0.5,0.75,4,0.0,True,0.985
controlled_smoke_actual_mnist_logits,D4,0.0,2,2,4,0.5,0.5,2,0.0,True,0.985
controlled_smoke_actual_mnist_logits,D4,0.0,3,2,8,0.5,0.0,1,0.0,True,0.985
controlled_smoke_actual_mnist_logits,D4,0.25,1,2,2,0.5,0.75,4,0.0,True,0.985
controlled_smoke_actual_mnist_logits,D4,0.25,2,2,4,0.5,0.5,2,0.0,True,0.985
controlled_smoke_actual_mnist_logits,D4,0.25,3,2,8,0.5,0.0,1,0.0,True,0.985
controlled_smoke_actual_mnist_logits,S3,0.0,1,2,2,0.5,0.6666666666666666,3,0.0,True,0.97
controlled_smoke_actual_mnist_logits,S3,0.0,2,3,6,0.6666666666666666,0.0,1,0.0,True,0.97
controlled_smoke_actual_mnist_logits,S3,0.25,1,2,2,0.5,0.6666666666666666,3,0.0,True,0.95
controlled_smoke_actual_mnist_logits,S3,0.25,2,3,6,0.6666666666666666,0.0,1,0.0,True,0.95
