policy,residual_source,dataset,n_models,width,matching,n_residuals,pre_bootstrap_policy_pass_count,certified_torsion_count,loose_uncertain_count,mean_centrality_residual,min_centrality_residual,mean_scalar_residual_best,min_scalar_residual_best,mean_finite_order_residual_min,min_finite_order_residual_min,max_null_false_positive_rate,claim_status
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,3,64,monomial_activation,87,0,0,0,1.25721602681952,1.1443066048640815,1.25721602681952,1.1443066048640815,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,3,64,monomial_weight,98,0,0,0,1.2865990526583353,1.1121917881642036,1.2865990526583353,1.1121917881642036,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,3,128,monomial_activation,107,0,0,0,1.2922652603308775,1.167969605941365,1.2922652603308775,1.167969605941365,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,3,128,monomial_weight,93,0,0,0,1.310844502256431,1.2310655256363106,1.310844502256431,1.2310655256363106,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,4,64,monomial_activation,397,0,0,0,1.2766146746395592,1.1116726530083931,1.2766146746395592,1.1116726530083931,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,4,64,monomial_weight,401,0,0,0,1.2924643809618148,1.1874826918586527,1.2924643809618148,1.1874826918586527,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,4,128,monomial_activation,367,0,0,0,1.5276852325875883,1.186516160345249,1.5276852325875883,1.186516160345249,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,fashion_mnist,4,128,monomial_weight,421,0,0,0,1.308892409705736,1.238120321797699,1.308892409705736,1.238120321797699,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,mnist,3,64,monomial_activation,98,0,0,0,1.2016052597589661,1.0456832544622323,1.2016052597589661,1.0456832544622323,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,mnist,3,64,monomial_weight,108,0,0,0,1.2808476864533063,1.159674026652005,1.2808476864533063,1.159674026652005,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,mnist,3,128,monomial_activation,119,0,0,0,1.2226677039825047,1.0850147238897052,1.2226677039825047,1.0850147238897052,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,mnist,3,128,monomial_weight,106,0,0,0,1.298984925485965,1.2446689391563504,1.298984925485965,1.2446689391563504,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,mnist,4,64,monomial_activation,399,0,0,0,1.2261180625755153,1.014953028373946,1.2261180625755153,1.014953028373946,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,mnist,4,64,monomial_weight,385,0,0,0,1.2751669445642961,1.1597720429613838,1.2751669445642961,1.1597720429613838,,,0.0,supported_negative_no_certified_torsion
strict_fpr_0,monomial_positive_scale_summary,mnist,4,128,monomial_activation,407,0,0,0,1.2282634837270454,1.1062772597764874,1.2282634837270454,1.1062772597764874,,,0.0,supported_negative_no_certified_torsion
