policy,threshold_centrality,threshold_scalar,threshold_order,target_false_positive_rate,null_family,residual_source,n_null,accepted_null_count,false_positive_rate,false_scalar_projective_rate,false_lift_rate,accepted_real_count
strict_fpr_0,0.001,0.001,0.001,0.0,noisy_fake_scalar_order2,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_0,0.001,0.001,0.001,0.0,noncentral_s3_block,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_0,0.001,0.001,0.001,0.0,random_orthogonal,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_0,0.001,0.001,0.001,0.0,random_permutation_commutator,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_0,0.001,0.001,0.001,0.0,shuffled_edge_maps,permutation_c2m3_triangle,80,0,0.0,0.0,0.0,0
strict_fpr_001,0.001,0.001,0.001,0.01,noisy_fake_scalar_order2,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_001,0.001,0.001,0.001,0.01,noncentral_s3_block,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_001,0.001,0.001,0.001,0.01,random_orthogonal,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_001,0.001,0.001,0.001,0.01,random_permutation_commutator,matrix_null_control,80,0,0.0,0.0,0.0,0
strict_fpr_001,0.001,0.001,0.001,0.01,shuffled_edge_maps,permutation_c2m3_triangle,80,0,0.0,0.0,0.0,0
loose_1e-2,0.01,0.01,0.01,0.01,noisy_fake_scalar_order2,matrix_null_control,80,0,0.0,0.0,0.0,0
loose_1e-2,0.01,0.01,0.01,0.01,noncentral_s3_block,matrix_null_control,80,0,0.0,0.0,0.0,0
loose_1e-2,0.01,0.01,0.01,0.01,random_orthogonal,matrix_null_control,80,0,0.0,0.0,0.0,0
loose_1e-2,0.01,0.01,0.01,0.01,random_permutation_commutator,matrix_null_control,80,0,0.0,0.0,0.0,0
loose_1e-2,0.01,0.01,0.01,0.01,shuffled_edge_maps,permutation_c2m3_triangle,80,0,0.0,0.0,0.0,0
diagnostic_5e-2,0.05,0.05,0.05,0.01,noisy_fake_scalar_order2,matrix_null_control,80,80,1.0,1.0,0.0,0
diagnostic_5e-2,0.05,0.05,0.05,0.01,noncentral_s3_block,matrix_null_control,80,0,0.0,0.0,0.0,0
diagnostic_5e-2,0.05,0.05,0.05,0.01,random_orthogonal,matrix_null_control,80,0,0.0,0.0,0.0,0
diagnostic_5e-2,0.05,0.05,0.05,0.01,random_permutation_commutator,matrix_null_control,80,0,0.0,0.0,0.0,0
diagnostic_5e-2,0.05,0.05,0.05,0.01,shuffled_edge_maps,permutation_c2m3_triangle,80,0,0.0,0.0,0.0,0
