dataset,run_id,setting_id,n_models,width,matching,domain_shift,relation_count,relation_count_status,observed_holonomy_order_lcm,group_closure_status,group_exponent_if_exact,primary_source_order,prime,prime_index,p_adic_multiplicity,eligible,skip_reason,remaining_order_before,remaining_order_after,candidate_method,implemented_real_lift,accuracy_status,validation_accuracy,test_accuracy,best_fallback_validation_accuracy,best_fallback_test_accuracy,greedy_soup_validation_accuracy,greedy_soup_test_accuracy,c2m3_validation_accuracy,c2m3_test_accuracy,monomial_validation_accuracy,monomial_test_accuracy,random_same_branch_control_validation_accuracy,random_same_branch_control_test_accuracy,wrong_prime_control_validation_accuracy,wrong_prime_control_test_accuracy,validation_delta_vs_best_fallback,validation_delta_vs_random_same_branch_control,validation_delta_vs_wrong_prime_control,test_delta_vs_best_fallback,capacity_multiplier,inference_multiplier,uses_test_for_selection,selected_by_validation,claim_status,architecture,primary_source_order_source,best_fallback_method
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,2,0,3,True,,6176520,772065,twisted_rank_lift_2,True,real_prediction_metric_found,0.909,0.8925,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,0.9055,0.89,0.919,0.896,-0.008499999999999952,0.0035000000000000586,-0.010000000000000009,-0.009500000000000064,2.0,2.0,False,False,not_selected_fails_best_fallback_gate,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,3,1,3,True,,772065,28595,prime_C3_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,3.0,3.0,False,False,diagnostic_only_no_real_prediction,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,5,2,1,True,,28595,5719,prime_C5_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,5.0,5.0,False,False,diagnostic_only_no_real_prediction,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,7,3,1,True,,5719,817,prime_C7_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,7.0,7.0,False,False,diagnostic_only_no_real_prediction,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,11,4,0,False,p_not_dividing_remaining_order,817,817,prime_C11_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,11.0,11.0,False,False,ineligible_prime_not_selected,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,13,5,0,False,p_not_dividing_remaining_order,817,817,prime_C13_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,13.0,13.0,False,False,ineligible_prime_not_selected,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,17,6,0,False,p_not_dividing_remaining_order,817,817,prime_C17_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,17.0,17.0,False,False,ineligible_prime_not_selected,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,23,7,0,False,p_not_dividing_remaining_order,817,817,prime_C23_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,23.0,23.0,False,False,ineligible_prime_not_selected,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,29,8,0,False,p_not_dividing_remaining_order,817,817,prime_C29_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,29.0,29.0,False,False,ineligible_prime_not_selected,mlp,observed_holonomy_order_lcm,greedy_soup
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,31,9,0,False,p_not_dividing_remaining_order,817,817,prime_C31_branch_lift,False,diagnostic_only_no_real_prediction,,,0.9175,0.902,0.9175,0.902,0.907,0.8895,0.8965,0.8795,,,,,,,,,31.0,31.0,False,False,ineligible_prime_not_selected,mlp,observed_holonomy_order_lcm,greedy_soup
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,2,0,3,True,,813960,101745,twisted_rank_lift_2,True,real_prediction_metric_found,0.813,0.7835,0.846,0.817,0.846,0.817,0.804,0.78,0.804,0.774,0.814,0.789,0.841,0.8085,-0.03300000000000003,-0.0010000000000000009,-0.028000000000000025,-0.033499999999999974,2.0,2.0,False,False,not_selected_fails_best_fallback_gate,mlp,observed_holonomy_order_lcm,greedy_soup
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,3,1,2,True,,101745,11305,prime_C3_branch_lift,False,diagnostic_only_no_real_prediction,,,0.846,0.817,0.846,0.817,0.804,0.78,0.804,0.774,,,,,,,,,3.0,3.0,False,False,diagnostic_only_no_real_prediction,mlp,observed_holonomy_order_lcm,greedy_soup
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,5,2,1,True,,11305,2261,prime_C5_branch_lift,False,diagnostic_only_no_real_prediction,,,0.846,0.817,0.846,0.817,0.804,0.78,0.804,0.774,,,,,,,,,5.0,5.0,False,False,diagnostic_only_no_real_prediction,mlp,observed_holonomy_order_lcm,greedy_soup
