prime,comparison,n_rows,n_finite,mean_delta,min_delta,max_delta,implemented_real_lift_rows,selected_by_validation_rows,claim_status
2,validation_delta_vs_best_fallback,2,2,-0.02074999999999999,-0.03300000000000003,-0.008499999999999952,2,0,smoke_descriptive_only
2,validation_delta_vs_random_same_branch_control,2,2,0.0012500000000000289,-0.0010000000000000009,0.0035000000000000586,2,0,smoke_descriptive_only
2,validation_delta_vs_wrong_prime_control,2,2,-0.019000000000000017,-0.028000000000000025,-0.010000000000000009,2,0,smoke_descriptive_only
2,test_delta_vs_best_fallback,2,2,-0.02150000000000002,-0.033499999999999974,-0.009500000000000064,2,0,smoke_descriptive_only
3,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
3,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
3,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
3,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
5,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
5,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
5,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
5,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
7,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
7,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
7,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
7,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
11,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
11,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
11,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
11,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
13,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
13,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
13,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
13,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
17,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
17,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
17,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
17,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
23,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
23,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
23,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
23,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
29,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
29,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
29,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
29,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
31,validation_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
31,validation_delta_vs_random_same_branch_control,2,0,,,,0,0,smoke_descriptive_only
31,validation_delta_vs_wrong_prime_control,2,0,,,,0,0,smoke_descriptive_only
31,test_delta_vs_best_fallback,2,0,,,,0,0,smoke_descriptive_only
