residual_source,setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,Q_name,Q_order,relation_threshold,nontrivial_threshold,quotient_certified,bootstrap_samples,bootstrap_same_Q_rate,bootstrap_holonomy_distribution_stability,bootstrap_relation_violation_mean,bootstrap_nontrivial_rate_mean
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.0,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.0,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.0,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.01,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.01,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.01,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.05,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.05,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C2,2,0.05,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.0,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.0,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.0,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.01,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.01,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.01,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.05,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.05,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C3,3,0.05,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.0,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.0,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.0,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.01,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.01,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.01,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.05,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.05,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,C4,4,0.05,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.0,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.0,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.0,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.01,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.01,0.1,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.01,0.25,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.05,0.05,True,100,1.0,1.0,0.0,1.0
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,V4,4,0.05,0.1,True,100,1.0,1.0,0.0,1.0
