residual_source,setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,null_family,Q_name,null_Q_name,relation_threshold,nontrivial_threshold,n_null,false_lift_activation_rate,false_validation_selection_rate,null_accuracy_delta_vs_fallback,null_accuracy_delta_vs_random_same_Q_control,false_quotient_certification_rate,false_pooling_pass_rate,null_relation_violation_mean,null_nontrivial_rate_mean
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,random_quotient_assignment_to_Q,C2,C2,0.0,0.05,20,0.0,0.0,,,0.35,1.0,0.45,0.55
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,shuffled_edge_maps,C2,C2,0.0,0.05,20,0.0,0.0,,,0.2,1.0,0.7,0.5
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,wrong_quotient_group,C2,C3,0.0,0.05,20,0.0,0.0,,,0.3,1.0,0.7,0.85
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,relation_violating_quotient_map,C2,C2,0.0,0.05,20,0.0,0.0,,,0.2,1.0,0.5,0.35
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,noncoherent_triangle_holonomy,C2,C2,0.0,0.05,20,0.0,0.0,,,0.35,1.0,0.45,0.65
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,random_quotient_assignment_to_Q,C3,C3,0.0,0.05,20,0.0,0.0,,,0.05,1.0,0.75,0.65
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,shuffled_edge_maps,C3,C3,0.0,0.05,20,0.0,0.0,,,0.25,1.0,0.75,0.55
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,wrong_quotient_group,C3,C4,0.0,0.05,20,0.0,0.0,,,0.2,1.0,0.55,0.75
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,relation_violating_quotient_map,C3,C3,0.0,0.05,20,0.0,0.0,,,0.25,1.0,0.65,0.6
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,noncoherent_triangle_holonomy,C3,C3,0.0,0.05,20,0.0,0.0,,,0.05,1.0,0.8,0.45
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,random_quotient_assignment_to_Q,C4,C4,0.0,0.05,20,0.0,0.0,,,0.2,1.0,0.55,0.65
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,shuffled_edge_maps,C4,C4,0.0,0.05,20,0.0,0.0,,,0.1,1.0,0.7,0.7
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,wrong_quotient_group,C4,V4,0.0,0.05,20,0.0,0.0,,,0.4,1.0,0.55,0.8
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,relation_violating_quotient_map,C4,C4,0.0,0.05,20,0.0,0.0,,,0.15,1.0,0.75,0.85
