summary_type,target,feature_set,predictor,n_rows,n_fixed_settings,metric,metric_value,bootstrap_ci_low,bootstrap_ci_high,claim_boundary,mae,fixed_setting_id,n_unique_seeds
cross_validated_acceptance_auc,candidate_accepted_by_greedy_soup,obstruction_only,all_features,1680,16.0,auc,0.55,0.5340909090909091,0.5504807692307693,explains_greedy_soup_acceptance_not_soup_beating,,,
cross_validated_regression,validation_margin_after_adding_candidate_proxy,obstruction_only,all_features,1680,16.0,r2,0.01727638946107468,-0.287995889261343,0.1737956191542787,proxy_validation_margin_not_logged_rejected_candidate_soup_margin,0.008278277320708563,,
cross_validated_regression,absolute_validation_degradation_if_rejected_proxy,obstruction_only,all_features,1680,16.0,r2,0.01727638946107468,-0.3171267688300053,0.16946455763692841,proxy_validation_margin_not_logged_rejected_candidate_soup_margin,0.008278277320708563,,
cross_validated_acceptance_auc,candidate_accepted_by_greedy_soup,local_quality_only,all_features,1680,16.0,auc,1.0,1.0,1.0,explains_greedy_soup_acceptance_not_soup_beating,,,
cross_validated_regression,validation_margin_after_adding_candidate_proxy,local_quality_only,all_features,1680,16.0,r2,1.0,1.0,1.0,proxy_validation_margin_not_logged_rejected_candidate_soup_margin,8.913730260479346e-12,,
cross_validated_regression,absolute_validation_degradation_if_rejected_proxy,local_quality_only,all_features,1680,16.0,r2,1.0,1.0,1.0,proxy_validation_margin_not_logged_rejected_candidate_soup_margin,8.913730260479346e-12,,
cross_validated_acceptance_auc,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,all_features,1680,16.0,auc,1.0,1.0,1.0,explains_greedy_soup_acceptance_not_soup_beating,,,
cross_validated_regression,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,all_features,1680,16.0,r2,0.9999999999999984,0.9999999999999953,0.9999999999999998,proxy_validation_margin_not_logged_rejected_candidate_soup_margin,2.509984270050956e-10,,
cross_validated_regression,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,all_features,1680,16.0,r2,0.9999999999999984,0.9999999999999954,0.9999999999999998,proxy_validation_margin_not_logged_rejected_candidate_soup_margin,2.509984270050956e-10,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,intercept,1680,16.0,standardized_logistic_beta,-0.9247689984009663,-1.0174882960251819,-0.817855786352738,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,mean_cycle_score,1680,16.0,standardized_logistic_beta,-0.024389548673507254,-0.0826079356121426,0.052654485183268276,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,pairwise_alignment_residual_mean,1680,16.0,standardized_logistic_beta,-0.20454002216999212,-0.374951888301459,0.0488376041451906,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,combined_obstruction_score,1680,16.0,standardized_logistic_beta,0.23964055344858257,-0.08703030781939568,0.46818720192930713,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,sync_disagreement,1680,16.0,standardized_logistic_beta,-0.21840240534053146,-0.2491905025723494,-0.14823877547293435,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,barrier_weight_average_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,-0.015127533251171258,-0.03656556173628877,-0.0010358457162658553,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,barrier_git_rebasin_pairwise_ref0_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,0.00250794604944398,-0.006634835557329952,0.014033863651840757,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,barrier_c2m3_synchronized_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,0.01028933880601355,-0.004395746980899749,0.048204546776367825,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,barrier_greedy_soup_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,0.0,0.0,0.0,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,barrier_c2m3_val_max_delta_vs_weight_average,1680,16.0,standardized_logistic_beta,0.017963193328690764,0.0019583565196047373,0.052373548450738605,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_only,barrier_c2m3_val_max_delta_vs_git_rebasin,1680,16.0,standardized_logistic_beta,0.002663102962137249,-0.004656344427689851,0.039725229096133456,coefficient_for_explaining_greedy_soup_acceptance_only,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,intercept,1680,16.0,standardized_linear_beta,-0.008267261904761911,-0.011442074810606107,-0.005249578065134099,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,mean_cycle_score,1680,16.0,standardized_linear_beta,0.007783229346187724,-0.0017050006220593618,0.009494198963878195,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,pairwise_alignment_residual_mean,1680,16.0,standardized_linear_beta,0.018450091919656623,-0.011480241455896815,0.02819581206089322,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,combined_obstruction_score,1680,16.0,standardized_linear_beta,-0.026311877111777404,-0.037333129700479646,0.015468112203346984,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,sync_disagreement,1680,16.0,standardized_linear_beta,0.0016980427336849154,-0.005931063846384817,0.0063049415810720304,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,barrier_weight_average_val_max_loss_barrier,1680,16.0,standardized_linear_beta,0.0006609811547094459,-0.0009959787280497756,0.0025532479035917178,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,barrier_git_rebasin_pairwise_ref0_val_max_loss_barrier,1680,16.0,standardized_linear_beta,0.0016874121764795696,9.665766623833306e-05,0.002769220581537297,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,barrier_c2m3_synchronized_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-0.0007744510074761109,-0.003425816677885886,0.0007993829050972123,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,barrier_greedy_soup_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-1.503146223661319e-18,-7.594118757186722e-17,1.2213576623320212e-16,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,barrier_c2m3_val_max_delta_vs_weight_average,1680,16.0,standardized_linear_beta,-0.0008291739073862728,-0.0032280553303092366,0.001016852384684321,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_only,barrier_c2m3_val_max_delta_vs_git_rebasin,1680,16.0,standardized_linear_beta,-0.002398256604578582,-0.004664786307673743,-0.0005489148927063169,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,intercept,1680,16.0,standardized_linear_beta,0.008267261904761911,0.0049168724985705955,0.011820391779556658,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,mean_cycle_score,1680,16.0,standardized_linear_beta,-0.007783229346187724,-0.009334097058938486,0.0019025760014356402,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,pairwise_alignment_residual_mean,1680,16.0,standardized_linear_beta,-0.018450091919656623,-0.025820713814596583,0.010590744430980849,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,combined_obstruction_score,1680,16.0,standardized_linear_beta,0.026311877111777404,-0.0116761971879053,0.03637813659556587,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,sync_disagreement,1680,16.0,standardized_linear_beta,-0.0016980427336849154,-0.005313257472635045,0.004927946376128241,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_weight_average_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-0.0006609811547094459,-0.0023533720915149864,0.0012670902594769092,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_git_rebasin_pairwise_ref0_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-0.0016874121764795696,-0.003029298610913164,-0.00018829330761855175,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_c2m3_synchronized_val_max_loss_barrier,1680,16.0,standardized_linear_beta,0.0007744510074761109,-0.0008994324889842835,0.0038550581179995266,proxy_validation_target_not_test_selection,,,
