n_models,width,method,n_rows,n_evaluated,n_seeds,mean_accuracy,accuracy_standard_error,accuracy_bootstrap_ci_low,accuracy_bootstrap_ci_high,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_weight_average,mean_accuracy_delta_vs_greedy_soup,mean_monomial_centrality_improvement,method_status_vs_c2m3,symmetry_status,capacity_matched_to_weight_average
3,16,c2m3_permutation,5,5,5,0.5882,0.013399253710561635,0.5628,0.607915,0.1132,0.0,0.1628,-0.1102,0.6189047293033377,baseline,exact_relu_permutation_symmetry,True
3,16,ensemble_upper_bound,5,5,5,0.7472000000000001,0.007989993742175279,0.73499,0.7632099999999999,-0.04580000000000002,0.159,0.32180000000000003,0.048799999999999996,0.6189047293033377,descriptive_mean_gain_vs_c2m3,extra_capacity_ensemble,False
3,16,greedy_soup,5,5,5,0.6984,0.014995332607181467,0.6728,0.724525,0.0029999999999999805,0.1102,0.273,0.0,0.6189047293033377,descriptive_mean_gain_vs_c2m3,ordinary_single_model_soup,True
3,16,low_rank_GL_diagnostic,5,0,5,,,,,,,,,0.6189047293033377,not_evaluated,diagnostic_not_single_model_for_relu,False
3,16,monomial_scale,5,5,5,0.6018,0.01234665946724053,0.5839999999999999,0.6266,0.0996,0.01359999999999999,0.17639999999999997,-0.09660000000000002,0.6189047293033377,descriptive_mean_gain_vs_c2m3,exact_relu_positive_scale_symmetry,True
3,16,signed_permutation,5,5,5,0.5780000000000001,0.017584083712266604,0.5454000000000001,0.607,0.12339999999999998,-0.010199999999999987,0.1526,-0.1204,0.6189047293033377,descriptive_mean_loss_vs_c2m3,heuristic_relu_not_exact,True
3,16,weight_average,5,5,5,0.42539999999999994,0.014712579651441139,0.40119999999999995,0.4496,0.27599999999999997,-0.1628,0.0,-0.273,0.6189047293033377,descriptive_mean_loss_vs_c2m3,ordinary_unaligned_single_model,True
3,32,c2m3_permutation,5,5,5,0.7242,0.014633523157462797,0.6990000000000001,0.7494,0.04940000000000002,0.0,0.21159999999999995,-0.044400000000000016,0.5024058578847552,baseline,exact_relu_permutation_symmetry,True
3,32,ensemble_upper_bound,5,5,5,0.7824,0.0068161572751807955,0.7712000000000001,0.7942,-0.008800000000000007,0.05820000000000003,0.26980000000000004,0.013800000000000012,0.5024058578847552,descriptive_mean_gain_vs_c2m3,extra_capacity_ensemble,False
3,32,greedy_soup,5,5,5,0.7686000000000001,0.004365775990588619,0.761885,0.7762,0.0050000000000000044,0.044400000000000016,0.256,0.0,0.5024058578847552,descriptive_mean_gain_vs_c2m3,ordinary_single_model_soup,True
3,32,low_rank_GL_diagnostic,5,0,5,,,,,,,,,0.5024058578847552,not_evaluated,diagnostic_not_single_model_for_relu,False
3,32,monomial_scale,5,5,5,0.7402,0.00409145450909576,0.7332949999999999,0.74681,0.03340000000000003,0.015999999999999993,0.22759999999999997,-0.028400000000000026,0.5024058578847552,descriptive_mean_gain_vs_c2m3,exact_relu_positive_scale_symmetry,True
3,32,signed_permutation,5,5,5,0.7242,0.014633523157462797,0.6990000000000001,0.7494,0.04940000000000002,0.0,0.21159999999999995,-0.044400000000000016,0.5024058578847552,no_mean_delta_vs_c2m3,heuristic_relu_not_exact,True
3,32,weight_average,5,5,5,0.5126000000000001,0.07635548441336747,0.36035,0.6201699999999997,0.261,-0.21159999999999995,0.0,-0.256,0.5024058578847552,descriptive_mean_loss_vs_c2m3,ordinary_unaligned_single_model,True
4,16,c2m3_permutation,5,5,5,0.6094,0.02599538420566235,0.5682,0.6574,0.11879999999999999,0.0,0.2354,-0.11879999999999999,0.6375126946437513,baseline,exact_relu_permutation_symmetry,True
4,16,ensemble_upper_bound,5,5,5,0.7612,0.009676776322722364,0.744645,0.7771999999999999,-0.03300000000000003,0.15180000000000002,0.38720000000000004,0.03300000000000003,0.6375126946437513,descriptive_mean_gain_vs_c2m3,extra_capacity_ensemble,False
4,16,greedy_soup,5,5,5,0.7282,0.008351047838445192,0.7135999999999999,0.745525,0.0,0.11879999999999999,0.35419999999999996,0.0,0.6375126946437513,descriptive_mean_gain_vs_c2m3,ordinary_single_model_soup,True
4,16,low_rank_GL_diagnostic,5,0,5,,,,,,,,,0.6375126946437513,not_evaluated,diagnostic_not_single_model_for_relu,False
4,16,monomial_scale,5,5,5,0.6220000000000001,0.021466252583997984,0.5864,0.6611999999999999,0.1062,0.01259999999999999,0.24799999999999994,-0.1062,0.6375126946437513,descriptive_mean_gain_vs_c2m3,exact_relu_positive_scale_symmetry,True
4,16,signed_permutation,5,5,5,0.6094,0.02599538420566235,0.5682,0.6574,0.11879999999999999,0.0,0.2354,-0.11879999999999999,0.6375126946437513,no_mean_delta_vs_c2m3,heuristic_relu_not_exact,True
4,16,weight_average,5,5,5,0.374,0.03874403179845898,0.3192,0.4516899999999999,0.35419999999999996,-0.2354,0.0,-0.35419999999999996,0.6375126946437513,descriptive_mean_loss_vs_c2m3,ordinary_unaligned_single_model,True
4,32,c2m3_permutation,5,5,5,0.7125999999999999,0.010632967600815878,0.6990000000000001,0.7328,0.06300000000000006,0.0,0.21579999999999994,-0.053400000000000045,0.5172114686552545,baseline,exact_relu_permutation_symmetry,True
4,32,ensemble_upper_bound,5,5,5,0.7878000000000001,0.0024779023386727757,0.783,0.7918000000000001,-0.012200000000000011,0.07520000000000007,0.29100000000000004,0.02180000000000002,0.5172114686552545,descriptive_mean_gain_vs_c2m3,extra_capacity_ensemble,False
