experiment,seed,flip_prob,nodes,dim,model_noise,label_noise,n_flipped_edges,edge_agreement,gauge_accuracy,obstruction_score,max_obstruction,n_triangles,oracle_accuracy,naive_accuracy,rank_lift_accuracy,naive_failure,rank_lift_gain,rank_lift_branch_count
mu2,0,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9798177083333334,0.9309895833333334,0.9309895833333334,0.048828125,0.0,1
mu2,1,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9803059895833334,0.9318033854166666,0.9318033854166666,0.04850260416666674,0.0,1
mu2,2,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9773763020833334,0.9288736979166666,0.9288736979166666,0.04850260416666674,0.0,1
mu2,3,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9817708333333334,0.9337565104166666,0.9337565104166666,0.04801432291666674,0.0,1
mu2,4,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9822591145833334,0.9430338541666666,0.9430338541666666,0.03922526041666674,0.0,1
mu2,5,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9803059895833334,0.9300130208333334,0.9300130208333334,0.05029296875,0.0,1
mu2,6,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9763997395833334,0.9361979166666666,0.9361979166666666,0.04020182291666674,0.0,1
mu2,7,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9803059895833334,0.9283854166666666,0.9283854166666666,0.05192057291666674,0.0,1
mu2,8,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.982421875,0.9353841145833334,0.9353841145833334,0.04703776041666663,0.0,1
mu2,9,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.98046875,0.9329427083333334,0.9329427083333334,0.04752604166666663,0.0,1
