experiment,seed,noise_std,nodes,dim,branches,model_noise,label_noise,edge_residual,phase_error,obstruction_score,max_obstruction,n_triangles,oracle_accuracy,naive_accuracy,rank_lift_accuracy,naive_failure,rank_lift_gain,rank_lift_branch_count
u1,0,0.0,12,32,4,0.03,0.02,5.78282669357003e-17,1.1102230246251565e-16,8.352971890712266e-17,5.654319433712919e-16,220.0,0.9835611979166666,0.9295247395833334,0.9295247395833334,0.05403645833333326,0.0,1
u1,1,0.0,12,32,4,0.03,0.02,5.568647927141511e-17,1.1102230246251565e-16,5.1402903942844717e-17,2.8271597168564594e-16,220.0,0.9820963541666666,0.9293619791666666,0.9293619791666666,0.052734375,0.0,1
u1,2,0.0,12,32,4,0.03,0.02,2.1417876642851965e-17,3.700743415417188e-17,3.91947142564191e-17,2.8271597168564594e-16,220.0,0.98046875,0.93017578125,0.93017578125,0.05029296875,0.0,1
u1,3,0.0,12,32,4,0.03,0.02,4.069396562141873e-17,7.401486830834377e-17,5.1402903942844717e-17,5.654319433712919e-16,220.0,0.9793294270833334,0.93310546875,0.93310546875,0.04622395833333337,0.0,1
u1,4,0.0,12,32,4,0.03,0.02,5.997005459998549e-17,1.8503717077085943e-16,9.25252270971205e-17,5.654319433712919e-16,220.0,0.97802734375,0.9306640625,0.9306640625,0.04736328125,0.0,1
u1,5,0.0,12,32,4,0.03,0.02,4.069396562141873e-17,3.700743415417188e-17,6.10409484321281e-17,2.8271597168564594e-16,220.0,0.97900390625,0.9314778645833334,0.9314778645833334,0.04752604166666663,0.0,1
u1,6,0.0,12,32,4,0.03,0.02,5.568647927141511e-17,1.4802973661668753e-16,6.618123882641256e-17,5.654319433712919e-16,220.0,0.98193359375,0.92529296875,0.92529296875,0.056640625,0.0,1
u1,7,0.0,12,32,4,0.03,0.02,1.1994010919997098e-16,2.9605947323337506e-16,7.324913811855371e-17,5.654319433712919e-16,220.0,0.97802734375,0.9347330729166666,0.9347330729166666,0.04329427083333337,0.0,1
u1,8,0.0,12,32,4,0.03,0.02,4.7119328614274324e-17,1.1102230246251565e-16,6.10409484321281e-17,2.8271597168564594e-16,220.0,0.9793294270833334,0.9303385416666666,0.9303385416666666,0.04899088541666674,0.0,1
u1,9,0.0,12,32,4,0.03,0.02,3.212681496427795e-17,3.700743415417188e-17,4.4335004650703573e-17,2.8271597168564594e-16,220.0,0.98046875,0.9368489583333334,0.9368489583333334,0.04361979166666663,0.0,1
