denoising_method,d,k,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,lift_rate,false_lift_rate,period_divisible_index_obstructed_rejection_rate,mean_learned_operator_error_raw,mean_learned_operator_error_denoised,mean_pair_reconstruction_residual_raw,mean_pair_reconstruction_residual_denoised,mean_global_sync_residual,mean_unitary_projection_residual
complex_unitary_projection,2,2,0.0,2,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.76761993635296e-09,1.0554175757623681e-15,4.5860864009503227e-10,1.0524466765022627e-15,,5.502556346463427e-09
complex_unitary_projection,2,2,0.0,4,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.76761993635296e-09,1.0554175757623681e-15,4.5860864009503227e-10,1.0524466765022627e-15,,5.502556346463427e-09
complex_unitary_projection,2,2,0.0001,2,10,0.9,0.0,0.1,0.9,0.9,0.0,0.0,0.9,0.00020129037073836703,0.00010038917621457858,0.000283052112964924,0.0003006925837819152,,9.933899302585176e-05
complex_unitary_projection,2,2,0.0001,4,10,0.9,0.0,0.1,0.9,0.9,0.9,0.0,0.0,0.00020129037073836703,0.00010038917621457858,0.000283052112964924,0.0003006925837819152,,9.933899302585176e-05
complex_unitary_projection,2,2,0.0003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.0003011808014562414,0.0008491523228952001,0.0009020841438224121,,0.00030243076441056107
complex_unitary_projection,2,2,0.0003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.0003011808014562414,0.0008491523228952001,0.0009020841438224121,,0.00030243076441056107
complex_unitary_projection,2,2,0.001,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.0010040375045691796,0.002830211828674872,0.0030070014346116635,,0.0011473530680864287
complex_unitary_projection,2,2,0.001,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.0010040375045691796,0.002830211828674872,0.0030070014346116635,,0.0011473530680864287
complex_unitary_projection,2,2,0.003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003011464583841003,0.008481788838602244,0.009020899310947223,,0.0058092637277913205
complex_unitary_projection,2,2,0.003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003011464583841003,0.008481788838602244,0.009020899310947223,,0.0058092637277913205
complex_unitary_projection,2,2,0.01,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.009950768573779446,0.027959936443760776,0.030037905926803353,,0.05255753292124987
complex_unitary_projection,2,2,0.01,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.009950768573779446,0.027959936443760776,0.030037905926803353,,0.05255753292124987
complex_unitary_projection,2,2,0.03,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.026709646876486866,0.0795807316112472,0.0889030736678587,,0.3186688858099822
complex_unitary_projection,2,2,0.03,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.026709646876486866,0.0795807316112472,0.0889030736678587,,0.3186688858099822
complex_unitary_projection,2,2,0.05,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5022602114537393,0.037179517257435055,0.12772172212995295,0.14551077782609814,,0.5588270973464528
complex_unitary_projection,2,2,0.05,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5022602114537393,0.037179517257435055,0.12772172212995295,0.14551077782609814,,0.5588270973464528
complex_unitary_projection,3,2,0.0,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.449294274397756e-11,1.7388075482766038e-15,9.212474316273447e-11,1.7430237113149793e-15,,9.314807083668828e-11
complex_unitary_projection,3,2,0.0,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.449294274397756e-11,1.7388075482766038e-15,9.212474316273447e-11,1.7430237113149793e-15,,9.314807083668828e-11
complex_unitary_projection,3,2,0.0,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.449294274397756e-11,1.7388075482766038e-15,9.212474316273447e-11,1.7430237113149793e-15,,9.314807083668828e-11
complex_unitary_projection,3,2,0.0001,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.116013021200186e-05,2.0604883296869923e-05,0.00042675271674061474,0.00042533793627198515,,2.0161310825162072e-05
complex_unitary_projection,3,2,0.0001,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.116013021200186e-05,2.0604883296869923e-05,0.00042675271674061474,0.00042533793627198515,,2.0161310825162072e-05
complex_unitary_projection,3,2,0.0001,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.116013021200186e-05,2.0604883296869923e-05,0.00042675271674061474,0.00042533793627198515,,2.0161310825162072e-05
complex_unitary_projection,3,2,0.0003,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00012348201777230303,6.181359414258398e-05,0.001280256495797148,0.0012760139092165082,,6.049046807968634e-05
complex_unitary_projection,3,2,0.0003,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00012348201777230303,6.181359414258398e-05,0.001280256495797148,0.0012760139092165082,,6.049046807968634e-05
complex_unitary_projection,3,2,0.0003,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00012348201777230303,6.181359414258398e-05,0.001280256495797148,0.0012760139092165082,,6.049046807968634e-05
complex_unitary_projection,3,2,0.001,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.0002060332782933603,0.0042674840012310745,0.004253368823795555,,0.00020184271848946517
complex_unitary_projection,3,2,0.001,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.0002060332782933603,0.0042674840012310745,0.004253368823795555,,0.00020184271848946517
complex_unitary_projection,3,2,0.001,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.0002060332782933603,0.0042674840012310745,0.004253368823795555,,0.00020184271848946517
complex_unitary_projection,3,2,0.003,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0006180039158268977,0.012801657609286579,0.012759703562617183,,0.0006106701576522597
complex_unitary_projection,3,2,0.003,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0006180039158268977,0.012801657609286579,0.012759703562617183,,0.0006106701576522597
complex_unitary_projection,3,2,0.003,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0006180039158268977,0.012801657609286579,0.012759703562617183,,0.0006106701576522597
complex_unitary_projection,3,2,0.01,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.0020591759834140185,0.042644606415434654,0.04251561090469933,,0.002217759605488801
complex_unitary_projection,3,2,0.01,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.0020591759834140185,0.042644606415434654,0.04251561090469933,,0.002217759605488801
complex_unitary_projection,3,2,0.01,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.0020591759834140185,0.042644606415434654,0.04251561090469933,,0.002217759605488801
complex_unitary_projection,3,2,0.03,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.006177623022942738,0.12723179131454398,0.1270965427590743,,0.01026045677117129
complex_unitary_projection,3,2,0.03,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.006177623022942738,0.12723179131454398,0.1270965427590743,,0.01026045677117129
complex_unitary_projection,3,2,0.03,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.006177623022942738,0.12723179131454398,0.1270965427590743,,0.01026045677117129
complex_unitary_projection,3,2,0.05,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030412004403691052,0.010314176333564667,0.20977749341197566,0.2103411378548441,,0.0251125565663894
complex_unitary_projection,3,2,0.05,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030412004403691052,0.010314176333564667,0.20977749341197566,0.2103411378548441,,0.0251125565663894
complex_unitary_projection,3,2,0.05,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030412004403691052,0.010314176333564667,0.20977749341197566,0.2103411378548441,,0.0251125565663894
global_chart_synchronization,2,2,0.0,2,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.76761993635296e-09,1.1037414036931937e-15,4.5860864009503227e-10,1.1022743734433633e-15,5.502556113866188e-09,
global_chart_synchronization,2,2,0.0,4,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.76761993635296e-09,1.1037414036931937e-15,4.5860864009503227e-10,1.1022743734433633e-15,5.502556113866188e-09,
global_chart_synchronization,2,2,0.0001,2,10,0.9,0.0,0.1,0.9,0.9,0.0,0.0,0.9,0.00020129037073836703,0.00010039268109604058,0.000283052112964924,0.0003006945534973974,8.146085550275068e-05,
global_chart_synchronization,2,2,0.0001,4,10,0.9,0.0,0.1,0.9,0.9,0.9,0.0,0.0,0.00020129037073836703,0.00010039268109604058,0.000283052112964924,0.0003006945534973974,8.146085550275068e-05,
global_chart_synchronization,2,2,0.0003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.000301210138826342,0.0008491523228952001,0.0009021010274363987,0.00024731717326443404,
global_chart_synchronization,2,2,0.0003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.000301210138826342,0.0008491523228952001,0.0009021010274363987,0.00024731717326443404,
global_chart_synchronization,2,2,0.001,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.001004277269592278,0.002830211828674872,0.0030071558027107313,0.0009266490368115459,
global_chart_synchronization,2,2,0.001,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.001004277269592278,0.002830211828674872,0.0030071558027107313,0.0009266490368115459,
global_chart_synchronization,2,2,0.003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003011400829465252,0.008481788838602244,0.009021416363447781,0.004622909031090879,
global_chart_synchronization,2,2,0.003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003011400829465252,0.008481788838602244,0.009021416363447781,0.004622909031090879,
global_chart_synchronization,2,2,0.01,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.009872068083297963,0.027959936443760776,0.030012859627012813,0.04183374519663956,
global_chart_synchronization,2,2,0.01,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.009872068083297963,0.027959936443760776,0.030012859627012813,0.04183374519663956,
global_chart_synchronization,2,2,0.03,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.02514388239406966,0.0795807316112472,0.0884441971968219,0.25472930393893706,
global_chart_synchronization,2,2,0.03,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.02514388239406966,0.0795807316112472,0.0884441971968219,0.25472930393893706,
global_chart_synchronization,2,2,0.05,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5022602114537393,0.03309336648473905,0.12772172212995295,0.14458124595802727,0.4474163464192557,
