method,d,k,noise_level,candidate_rank,projection_residual_threshold,n,projection_acceptance_rate,certification_rate_before_projection,certification_rate_after_projection,correct_period_rate,correct_index_rate,lift_rate,false_lift_rate,false_positive_central_rate,period_divisible_index_obstructed_rejection_rate,mean_projection_residual,mean_commutator_residual_before,mean_commutator_residual_after,mean_operator_error_raw,mean_operator_error_denoised,certification_gain_over_best_previous
global_sync_then_heisenberg_projection,2,2,0.0,2,0.0001,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,2,0.0003,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,2,0.001,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,2,0.003,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,2,0.01,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,4,0.0001,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,4,0.0003,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,4,0.001,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,4,0.003,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0,4,0.01,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3306212903196958e-15,2.2019888366534887e-15,1.7319121124709866e-16,7.76761993635296e-09,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0001,2,0.0001,10,0.2,0.9,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,-0.7
global_sync_then_heisenberg_projection,2,2,0.0001,2,0.0003,10,1.0,0.9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0001,2,0.001,10,1.0,0.9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0001,2,0.003,10,1.0,0.9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0001,2,0.01,10,1.0,0.9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0001,4,0.0001,10,0.2,0.9,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,-0.7
global_sync_then_heisenberg_projection,2,2,0.0001,4,0.0003,10,1.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0001,4,0.001,10,1.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0001,4,0.003,10,1.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0001,4,0.01,10,1.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00011482833324906153,0.00020735994089428819,1.7319121124709866e-16,0.00020129037073836703,0.0,0.09999999999999998
global_sync_then_heisenberg_projection,2,2,0.0003,2,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0003,2,0.0003,10,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,0.2
global_sync_then_heisenberg_projection,2,2,0.0003,2,0.001,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.0003,2,0.003,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.0003,2,0.01,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.0003,4,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.0003,4,0.0003,10,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,0.2
global_sync_then_heisenberg_projection,2,2,0.0003,4,0.001,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.0003,4,0.003,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.0003,4,0.01,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00034453958075634914,0.0006221695100292704,1.7319121124709866e-16,0.0006083408160144394,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.001,2,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001148895568347864,0.0020743394397494757,1.7319121124709866e-16,0.002171288878831901,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.001,2,0.0003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001148895568347864,0.0020743394397494757,1.7319121124709866e-16,0.002171288878831901,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.001,2,0.001,10,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.001148895568347864,0.0020743394397494757,1.7319121124709866e-16,0.002171288878831901,0.0,0.2
global_sync_then_heisenberg_projection,2,2,0.001,2,0.003,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.001148895568347864,0.0020743394397494757,1.7319121124709866e-16,0.002171288878831901,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.001,2,0.01,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.001148895568347864,0.0020743394397494757,1.7319121124709866e-16,0.002171288878831901,0.0,1.0
global_sync_then_heisenberg_projection,2,2,0.001,4,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001148895568347864,0.0020743394397494757,1.7319121124709866e-16,0.002171288878831901,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.001,4,0.0003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001148895568347864,0.0020743394397494757,1.7319121124709866e-16,0.002171288878831901,0.0,0.0
