dataset,requested_dataset,architecture,width,epochs,lr,max_train_samples,max_test_samples,val_fraction,batch_size,optimizer,weight_decay,scheduler,step_size,gamma,augmentation,seed,device,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,setting_id
mnist,mnist,mlp2,64,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.3264163531197442,0.9131111111111112,0.384686782836914,0.876,0.4183783874511719,0.89,mnist_mlp2_W64_E6_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,64,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.3309118336041768,0.9148888888888888,0.4164789657592773,0.89,0.4194614028930664,0.887,mnist_mlp2_W64_E6_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,64,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.3343066352208455,0.9095555555555556,0.3808819961547851,0.894,0.4265224800109863,0.887,mnist_mlp2_W64_E6_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,64,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.272633333047231,0.9245555555555556,0.2572189674377441,0.926,0.2633339004516601,0.921,mnist_mlp2_W64_E6_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,64,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.2692111875745985,0.9252222222222222,0.2625552082061768,0.922,0.2722028694152832,0.917,mnist_mlp2_W64_E6_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,64,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.2601854797469245,0.9276666666666666,0.3302262840270996,0.904,0.2589321975708007,0.927,mnist_mlp2_W64_E6_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,64,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.2448867831759982,0.9315555555555556,0.334048095703125,0.894,0.3677905540466308,0.898,mnist_mlp2_W64_E10_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,64,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.2459090527428521,0.9337777777777778,0.3755722274780273,0.896,0.3630269546508789,0.9,mnist_mlp2_W64_E10_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,64,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.2584727922545539,0.9286666666666666,0.324672737121582,0.906,0.3793628349304199,0.897,mnist_mlp2_W64_E10_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,64,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.2121446648703681,0.9401111111111112,0.2212528448104858,0.931,0.2281491985321045,0.931,mnist_mlp2_W64_E10_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,64,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.2097731828424665,0.9411111111111112,0.2199051532745361,0.935,0.237204776763916,0.92,mnist_mlp2_W64_E10_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,64,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.1997810891469319,0.944,0.2930901412963867,0.916,0.2205225439071655,0.942,mnist_mlp2_W64_E10_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,128,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.2510010888841417,0.9311111111111112,0.3213623809814453,0.898,0.3660126571655273,0.896,mnist_mlp2_W128_E6_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,128,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.24119094909562,0.9331111111111112,0.3609474716186523,0.89,0.3630447921752929,0.899,mnist_mlp2_W128_E6_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,128,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.2614064222971598,0.9251111111111112,0.3175846328735351,0.902,0.380703125,0.899,mnist_mlp2_W128_E6_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,128,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.2156005728509691,0.9396666666666668,0.2271902875900268,0.936,0.2307597217559814,0.931,mnist_mlp2_W128_E6_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,128,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.2070053253173828,0.9415555555555556,0.2153744773864746,0.935,0.224288462638855,0.93,mnist_mlp2_W128_E6_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,128,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.1996215550104777,0.9436666666666668,0.2772773189544678,0.922,0.2203949165344238,0.933,mnist_mlp2_W128_E6_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,128,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.1873429333368937,0.9484444444444444,0.2916669578552246,0.908,0.3336532917022705,0.906,mnist_mlp2_W128_E10_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,128,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.1715826967027452,0.9542222222222222,0.3452204055786133,0.904,0.3289096126556396,0.911,mnist_mlp2_W128_E10_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,128,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.1957859215736389,0.9451111111111112,0.2813361473083496,0.904,0.3497212390899658,0.9,mnist_mlp2_W128_E10_LR0.001_N5000_adamw_cosine_none
mnist,mnist,mlp2,128,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.1488100340101454,0.9603333333333334,0.190664490699768,0.947,0.1934847688674926,0.941,mnist_mlp2_W128_E10_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,128,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.1408676953580644,0.9616666666666668,0.1766118927001953,0.946,0.1900433382987976,0.944,mnist_mlp2_W128_E10_LR0.001_N10000_adamw_cosine_none
mnist,mnist,mlp2,128,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.1316461279127332,0.965,0.2420892219543457,0.935,0.1765255398750305,0.951,mnist_mlp2_W128_E10_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.5842589738633898,0.7953333333333333,0.5695745620727539,0.79,0.6343179702758789,0.763,fashion_mnist_mlp2_W64_E6_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.606887137942844,0.7795555555555556,0.6156392364501954,0.766,0.657237937927246,0.76,fashion_mnist_mlp2_W64_E6_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.568709112379286,0.804,0.6051027069091797,0.802,0.6294516258239746,0.765,fashion_mnist_mlp2_W64_E6_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.4693750709957546,0.8358888888888889,0.5088074531555176,0.829,0.5621292381286621,0.805,fashion_mnist_mlp2_W64_E6_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.4788352777693007,0.8347777777777777,0.4991204566955566,0.823,0.5624218101501465,0.806,fashion_mnist_mlp2_W64_E6_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.4699320746527777,0.8366666666666667,0.5048195381164551,0.828,0.5559500694274903,0.808,fashion_mnist_mlp2_W64_E6_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.493373441696167,0.8311111111111111,0.4942676620483398,0.818,0.5728661804199219,0.795,fashion_mnist_mlp2_W64_E10_LR0.001_N5000_adamw_cosine_none
