scenario,d,k,period,index,candidate_rank,period_divides_rank,index_divides_rank,classification,selected_method,centrality_score,phase_residual,independent_pair_count,detector_decision,reason
d2_k1_rank2,2.0,1.0,2.0,2.0,2,True,True,central_period_index_lift,period_index_projective_morita_lift,1.2246467991473532e-16,1.7319121124709866e-16,1.0,period_index_lift_success,Central period-index residual detected with period 2 and index 2; candidate rank is divisible by the index.
d2_k2_rank2,2.0,2.0,2.0,4.0,2,True,False,period_divisible_index_obstructed,none,1.2246467991473532e-16,1.7319121124709866e-16,2.0,period_divisible_index_obstructed,Candidate rank 2 is divisible by period 2 but not by index 4; period divisibility alone is insufficient.
d2_k2_rank4,2.0,2.0,2.0,4.0,4,True,True,central_period_index_lift,period_index_projective_morita_lift,1.2246467991473532e-16,1.7319121124709866e-16,2.0,period_index_lift_success,Central period-index residual detected with period 2 and index 4; candidate rank is divisible by the index.
d2_k3_rank2,2.0,3.0,2.0,8.0,2,True,False,period_divisible_index_obstructed,none,1.2246467991473532e-16,1.7319121124709866e-16,3.0,period_divisible_index_obstructed,Candidate rank 2 is divisible by period 2 but not by index 8; period divisibility alone is insufficient.
d2_k3_rank4,2.0,3.0,2.0,8.0,4,True,False,period_divisible_index_obstructed,none,1.2246467991473532e-16,1.7319121124709866e-16,3.0,period_divisible_index_obstructed,Candidate rank 4 is divisible by period 2 but not by index 8; period divisibility alone is insufficient.
d2_k3_rank8,2.0,3.0,2.0,8.0,8,True,True,central_period_index_lift,period_index_projective_morita_lift,1.2246467991473532e-16,1.7319121124709866e-16,3.0,period_index_lift_success,Central period-index residual detected with period 2 and index 8; candidate rank is divisible by the index.
d3_k2_rank3,3.0,2.0,3.0,9.0,3,True,False,period_divisible_index_obstructed,none,2.9548066628047715e-16,3.040470972244059e-16,2.0,period_divisible_index_obstructed,Candidate rank 3 is divisible by period 3 but not by index 9; period divisibility alone is insufficient.
d3_k2_rank6,3.0,2.0,3.0,9.0,6,True,False,period_divisible_index_obstructed,none,2.9548066628047715e-16,3.040470972244059e-16,2.0,period_divisible_index_obstructed,Candidate rank 6 is divisible by period 3 but not by index 9; period divisibility alone is insufficient.
d3_k2_rank9,3.0,2.0,3.0,9.0,9,True,True,central_period_index_lift,period_index_projective_morita_lift,2.9548066628047715e-16,3.040470972244059e-16,2.0,period_index_lift_success,Central period-index residual detected with period 3 and index 9; candidate rank is divisible by the index.
noncentral_control,,,,,3,,,random_noncentral,best_validation_baseline,1.0,inf,,not_central_projective,Residual is noncentral/random; TwistedMerge++ refuses to call it a central twist.
