summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_chose_c2m3,selector_chose_monomial,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,selector_no_test_leakage,pearson_centrality_improvement_vs_monomial_gain,spearman_centrality_improvement_vs_monomial_gain,mean_monomial_centrality_improvement,mean_monomial_accuracy_delta_vs_c2m3,claim,claim_decision,claim_reason
method_summary,overall,all,all,c2m3_greedy_soup,,120.0,20.0,0.8473416666666667,0.0020983685750929084,0.6694169474919638,0.004116666666666667,0.04145833333333333,-0.0001833333333333335,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,c2m3_permutation,,120.0,20.0,0.8058833333333333,0.005329154306352465,0.8823898164749145,0.045575,0.0,-0.04164166666666667,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,ensemble_upper_bound,,120.0,20.0,0.8549666666666667,0.0015885150357091813,0.6452909780184428,-0.003508333333333333,0.04908333333333333,0.007441666666666666,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,greedy_soup,,120.0,20.0,0.847525,0.0020830099188743323,0.6617299599647521,0.003933333333333333,0.04164166666666667,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,monomial_scale,,120.0,20.0,0.8117416666666666,0.004980965109497905,0.8706398741086325,0.03971666666666666,0.005858333333333335,-0.03578333333333333,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,monomial_scaled_greedy_soup,,120.0,20.0,0.8473416666666667,0.0020699089897763747,0.6716687711079916,0.004116666666666667,0.04145833333333333,-0.0001833333333333335,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,validated_ladder_selector,,120.0,20.0,0.8146916666666667,0.004545887972184194,0.8701036195119223,0.036766666666666656,0.008808333333333333,-0.03283333333333333,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,weight_average,,120.0,20.0,0.6543166666666667,0.01093743976907519,1.517436868540446,0.19714166666666666,-0.15156666666666663,-0.19320833333333332,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,c2m3_greedy_soup,,20.0,20.0,0.8180999999999999,0.003363816754505912,0.8717690528869628,0.0031999999999999863,0.0784,0.0,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,c2m3_permutation,,20.0,20.0,0.7397,0.008161881877941736,1.1465041110992433,0.08159999999999998,0.0,-0.0784,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
