setting_id,group,seed,noise,validation_samples,test_samples,method,accuracy,nll,brier,ece,classwise_ece,leakage_hash_passed,logits_sha256
S3_s20_n0.2,S3,20,0.2,400,800,twistedmerge_hodge_lr_uncalibrated,0.84,1.1506517493809443,0.5507361258953951,0.4233190960608997,0.09799049901247121,True,30d967d264fcbc45a38f03e39e18cc11e836e4d613afafe013019289ec2ed46e
S3_s20_n0.2,S3,20,0.2,400,800,twistedmerge_hodge_lr_temperature,0.84,1.0371772398240027,0.47311177972330987,0.31214835905651067,0.07337887001692504,True,30d967d264fcbc45a38f03e39e18cc11e836e4d613afafe013019289ec2ed46e
S3_s20_n0.2,S3,20,0.2,400,800,twistedmerge_hodge_lr_vector,0.775,1.05521645490418,0.48068710569416523,0.25010231205938865,0.07159772650198193,True,30d967d264fcbc45a38f03e39e18cc11e836e4d613afafe013019289ec2ed46e
S3_s20_n0.2,S3,20,0.2,400,800,generic_mixture_of_experts_uncalibrated,0.7575,1.6501728725738674,0.7833015528528198,0.5574648043610305,0.08205272619926929,True,30d967d264fcbc45a38f03e39e18cc11e836e4d613afafe013019289ec2ed46e
S3_s20_n0.2,S3,20,0.2,400,800,generic_mixture_of_experts_temperature,0.7575,1.2639698763487628,0.6118405831040343,0.40309004305757473,0.1020235818601639,True,30d967d264fcbc45a38f03e39e18cc11e836e4d613afafe013019289ec2ed46e
S3_s20_n0.2,S3,20,0.2,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.46,1.482377760463332,0.7031123314614354,0.07746174558427019,0.03301952592841732,True,30d967d264fcbc45a38f03e39e18cc11e836e4d613afafe013019289ec2ed46e
S3_s20_n0.2,S3,20,0.2,400,800,learned_unconstrained_matrix_context_action_temperature,0.46,1.5000859984442374,0.7149830953442544,0.12070124146045408,0.04290884063817981,True,30d967d264fcbc45a38f03e39e18cc11e836e4d613afafe013019289ec2ed46e
S3_s20_n0.5,S3,20,0.5,400,800,twistedmerge_hodge_lr_uncalibrated,0.5675,1.5392736000363911,0.6994557244892823,0.15501297958611646,0.05522414372205034,True,48c38ad1d8488bac65cc0efb0b2029148d0c1d8b0ce8565f790ee272c88da0e2
S3_s20_n0.5,S3,20,0.5,400,800,twistedmerge_hodge_lr_temperature,0.5675,1.534888082309447,0.7076708335013775,0.19281176333048006,0.05601638312775022,True,48c38ad1d8488bac65cc0efb0b2029148d0c1d8b0ce8565f790ee272c88da0e2
S3_s20_n0.5,S3,20,0.5,400,800,twistedmerge_hodge_lr_vector,0.495,1.5526881361114524,0.7139850985859195,0.11361239207592615,0.05699108190827779,True,48c38ad1d8488bac65cc0efb0b2029148d0c1d8b0ce8565f790ee272c88da0e2
S3_s20_n0.5,S3,20,0.5,400,800,generic_mixture_of_experts_uncalibrated,0.42875,1.743061151389049,0.8163418542835827,0.2407024690510077,0.021313434897987166,True,48c38ad1d8488bac65cc0efb0b2029148d0c1d8b0ce8565f790ee272c88da0e2
S3_s20_n0.5,S3,20,0.5,400,800,generic_mixture_of_experts_temperature,0.42875,1.6371323382780703,0.7677246782107594,0.14572603414657792,0.04437521791906738,True,48c38ad1d8488bac65cc0efb0b2029148d0c1d8b0ce8565f790ee272c88da0e2
S3_s20_n0.5,S3,20,0.5,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.29625,1.9615454226834992,0.850833657843066,0.12326356771463763,0.06159947179410752,True,48c38ad1d8488bac65cc0efb0b2029148d0c1d8b0ce8565f790ee272c88da0e2
