group,noise,context_budget,method,accuracy,trainable_parameters,latency_ms
D4,0.2,16,generic_low_rank_context_adapter,0.15525,648.0,0.008978880941867828
D4,0.2,16,generic_mixture_of_experts,0.5558333333333334,72.0,0.008916482329368591
D4,0.2,16,group_structured_without_hodge,0.82825,0.0,0.009145354852080345
D4,0.2,16,hodge_lr_generic_retransport,0.4083333333333333,120.0,0.009104493074119091
D4,0.2,16,learned_unconstrained_matrix_context_action,0.22591666666666668,520.0,0.008958391845226288
D4,0.2,16,random_multiplication_table_control,0.07633333333333334,0.0,0.008604023605585098
D4,0.2,16,shuffled_context_control,0.13183333333333333,0.0,0.008645933121442795
D4,0.2,16,twistedmerge_hodge_lr,0.82825,56.0,0.009458046406507492
D4,0.2,64,generic_low_rank_context_adapter,0.13691666666666666,648.0,0.008395523764193058
D4,0.2,64,generic_mixture_of_experts,0.6998333333333333,72.0,0.009103561751544476
D4,0.2,64,group_structured_without_hodge,0.82575,0.0,0.008521019481122494
D4,0.2,64,hodge_lr_generic_retransport,0.3139166666666667,120.0,0.008895527571439743
D4,0.2,64,learned_unconstrained_matrix_context_action,0.3711666666666667,520.0,0.008770963177084923
D4,0.2,64,random_multiplication_table_control,0.09816666666666667,0.0,0.008791917935013771
D4,0.2,64,shuffled_context_control,0.13391666666666668,0.0,0.008520437404513359
D4,0.2,64,twistedmerge_hodge_lr,0.82575,56.0,0.009103910997509956
D4,0.5,16,generic_low_rank_context_adapter,0.15558333333333335,648.0,0.008583534508943558
D4,0.5,16,generic_mixture_of_experts,0.30183333333333334,72.0,0.008999952115118504
D4,0.5,16,group_structured_without_hodge,0.5685,0.0,0.008875038474798203
D4,0.5,16,hodge_lr_generic_retransport,0.3065833333333333,120.0,0.008750124834477901
D4,0.5,16,learned_unconstrained_matrix_context_action,0.16358333333333333,520.0,0.008646049536764622
D4,0.5,16,random_multiplication_table_control,0.18908333333333333,0.0,0.008562463335692883
D4,0.5,16,shuffled_context_control,0.12341666666666666,0.0,0.008625094778835773
D4,0.5,16,twistedmerge_hodge_lr,0.5685,56.0,0.00914593692868948
D4,0.5,64,generic_low_rank_context_adapter,0.13658333333333333,648.0,0.008541624993085861
D4,0.5,64,generic_mixture_of_experts,0.35408333333333336,72.0,0.0087289372459054
D4,0.5,64,group_structured_without_hodge,0.5660000000000001,0.0,0.00881205778568983
D4,0.5,64,hodge_lr_generic_retransport,0.24491666666666667,120.0,0.008979113772511482
D4,0.5,64,learned_unconstrained_matrix_context_action,0.20191666666666666,520.0,0.00858306884765625
D4,0.5,64,random_multiplication_table_control,0.09183333333333334,0.0,0.009499955922365189
D4,0.5,64,shuffled_context_control,0.1295,0.0,0.008645583875477314
D4,0.5,64,twistedmerge_hodge_lr,0.5660000000000001,56.0,0.00897957943379879
D4,1.0,16,generic_low_rank_context_adapter,0.158,648.0,0.008916016668081284
D4,1.0,16,generic_mixture_of_experts,0.11733333333333333,72.0,0.008834060281515121
D4,1.0,16,group_structured_without_hodge,0.124,0.0,0.00858306884765625
D4,1.0,16,hodge_lr_generic_retransport,0.1405,120.0,0.008417060598731041
D4,1.0,16,learned_unconstrained_matrix_context_action,0.12466666666666666,520.0,0.008875038474798203
D4,1.0,16,random_multiplication_table_control,0.1395,0.0,0.008790986612439156
D4,1.0,16,shuffled_context_control,0.1255,0.0,0.008542090654373169
D4,1.0,16,twistedmerge_hodge_lr,0.124,56.0,0.008916016668081284
D4,1.0,64,generic_low_rank_context_adapter,0.1401666666666667,648.0,0.008417060598731041
D4,1.0,64,generic_mixture_of_experts,0.10866666666666666,72.0,0.009874813258647919
D4,1.0,64,group_structured_without_hodge,0.128,0.0,0.008874805644154549
D4,1.0,64,hodge_lr_generic_retransport,0.12933333333333336,120.0,0.00954093411564827
D4,1.0,64,learned_unconstrained_matrix_context_action,0.12666666666666665,520.0,0.008667120710015297
D4,1.0,64,random_multiplication_table_control,0.08483333333333334,0.0,0.008792150765657425
D4,1.0,64,shuffled_context_control,0.12033333333333333,0.0,0.0085409265011549
D4,1.0,64,twistedmerge_hodge_lr,0.128,56.0,0.010041054338216782
S3,0.2,16,generic_low_rank_context_adapter,0.19083333333333335,462.0,0.022229505702853203
S3,0.2,16,generic_mixture_of_experts,0.6283333333333333,42.0,0.02216699067503214
S3,0.2,16,group_structured_without_hodge,0.8330833333333333,0.0,0.02243742346763611
S3,0.2,16,hodge_lr_generic_retransport,0.4439166666666667,66.0,0.02218747977167368
S3,0.2,16,learned_unconstrained_matrix_context_action,0.32541666666666663,222.0,0.021000043489038944
S3,0.2,16,random_multiplication_table_control,0.23233333333333334,0.0,0.022791908122599125
S3,0.2,16,shuffled_context_control,0.1735,0.0,0.02283346839249134
S3,0.2,16,twistedmerge_hodge_lr,0.8330833333333333,30.0,0.022875028662383556
S3,0.2,64,generic_low_rank_context_adapter,0.1795,462.0,0.02170854713767767
S3,0.2,64,generic_mixture_of_experts,0.7625,42.0,0.022707856260240078
S3,0.2,64,group_structured_without_hodge,0.8329166666666667,0.0,0.02245791256427765
S3,0.2,64,hodge_lr_generic_retransport,0.3443333333333333,66.0,0.02170854713767767
S3,0.2,64,learned_unconstrained_matrix_context_action,0.49366666666666664,222.0,0.02260447945445776
S3,0.2,64,random_multiplication_table_control,0.14908333333333332,0.0,0.022979569621384144
S3,0.2,64,shuffled_context_control,0.17441666666666666,0.0,0.022562569938600063
S3,0.2,64,twistedmerge_hodge_lr,0.8329166666666667,30.0,0.023292028345167637
S3,0.5,16,generic_low_rank_context_adapter,0.19075,462.0,0.022812513634562492
S3,0.5,16,generic_mixture_of_experts,0.34933333333333333,42.0,0.022687483578920364
S3,0.5,16,group_structured_without_hodge,0.5935833333333334,0.0,0.02247956581413746
S3,0.5,16,hodge_lr_generic_retransport,0.34408333333333335,66.0,0.022166408598423004
S3,0.5,16,learned_unconstrained_matrix_context_action,0.2089166666666667,222.0,0.021270476281642914
S3,0.5,16,random_multiplication_table_control,0.27091666666666664,0.0,0.022833002731204033
S3,0.5,16,shuffled_context_control,0.17066666666666666,0.0,0.02264545764774084
S3,0.5,16,twistedmerge_hodge_lr,0.5935833333333334,30.0,0.022707972675561905
S3,0.5,64,generic_low_rank_context_adapter,0.18175000000000002,462.0,0.02195802517235279
S3,0.5,64,generic_mixture_of_experts,0.4265,42.0,0.022333464585244656
S3,0.5,64,group_structured_without_hodge,0.585,0.0,0.022521009668707848
S3,0.5,64,hodge_lr_generic_retransport,0.2768333333333334,66.0,0.021478976123034954
S3,0.5,64,learned_unconstrained_matrix_context_action,0.2725,222.0,0.02339598722755909
S3,0.5,64,random_multiplication_table_control,0.14525000000000002,0.0,0.023145461454987526
S3,0.5,64,shuffled_context_control,0.16883333333333334,0.0,0.022854539565742016
